CN,n_samples,n_materials,avg_formal_charge,s_avg_approx,savg_class,charge_fraction_breakdown
0.0,6,6,4.0,inf,s_avg > 1,4+:1.0000
1.0,22,22,4.0,4.0,s_avg > 1,4+:1.0000
2.0,24,24,4.0,2.0,s_avg > 1,4+:1.0000
3.0,28,28,4.0,1.3333333333333333,s_avg > 1,4+:1.0000
4.0,17,13,4.0,1.0,s_avg ≤ 1,4+:1.0000
5.0,13,13,4.0,0.8,s_avg ≤ 1,4+:1.0000
6.0,500,497,3.9979999999999998,0.6663333333333333,s_avg ≤ 1,3+:0.0020; 4+:0.9980
7.0,51,51,4.0,0.5714285714285714,s_avg ≤ 1,4+:1.0000
8.0,17,17,4.0,0.5,s_avg ≤ 1,4+:1.0000
10.0,1,1,4.0,0.4,s_avg ≤ 1,4+:1.0000
