material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Zr_wyckoff,num_Zr_chemenvs,CN,element,charge_range,is_single_charge
mp-1208780,TbZr6(PO4)9,1.8927420374826915,0.5187734776084073,[6.0],4.0,4.0,4.0,Octahedron,"4c, 4d",1,6.0,Zr,0.0,True
mp-1209472,Rb2Zr(MoO4)3,2.06819048591566,0.0936861691171807,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Zr,0.0,True
mp-1209733,SmZr6(PO4)9,1.896706660007256,0.5109159603115152,[6.0],4.0,4.0,4.0,Octahedron,"4c, 4d",1,6.0,Zr,0.0,True
mp-1210300,PrZr6(PO4)9,1.9026937050460264,0.4971622731999249,[6.0],4.0,4.0,4.0,Octahedron,"4c, 4d",1,6.0,Zr,0.0,True
mp-1210325,Na4Zr2TiMnSi4(O8F)2,1.7974214827237212,0.8572627921727815,[6.0],4.0,4.0,4.0,Octahedron,4g,1,6.0,Zr,0.0,True
mp-1210375,Na2ZrSi4H4O13,1.5580544550524364,1.3827135570768745,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Zr,0.0,True
mp-1210416,Na4CaZr2TiSi4(O8F)2,1.806662070823687,0.844039066543596,[6.0],4.0,4.0,4.0,Octahedron,4g,1,6.0,Zr,0.0,True
mp-1210421,NaCaZrFeSi2O8F,1.8477903226236183,0.7037997833989419,[6.0],4.0,4.0,4.0,Octahedron,4e,1,6.0,Zr,0.0,True
mp-1210430,Na2ZrFeSi2O8F,1.712916616000618,1.0286109122368263,[6.0],4.0,4.0,4.0,Octahedron,4e,1,6.0,Zr,0.0,True
mp-1210579,Na2CaZrSi2O7F2,2.046793797916077,0.1396498016855717,[5.0],4.0,4.0,4.0,Octahedron,4e,1,5.0,Zr,0.0,True
mp-1210786,Na2Ca4ZrNbSi4(O8F)2,1.942007113726868,0.4503233988207183,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Zr,0.0,True
mp-1210816,Na2Ca4YZrSi4(O5F)3,1.834362898377575,0.7484097687844757,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Zr,0.0,True
mp-1210885,NdZr6(PO4)9,1.9001818723850767,0.5034354960903127,[6.0],4.0,4.0,4.0,no_data,no_data,1,6.0,Zr,0.0,True
mp-1211060,Na5Ca7Zr2Ti2Si8(O5F)6,1.796110375186656,0.8433915698845874,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Zr,0.0,True
mp-1211456,La2ZrCuO6,2.080547971483897,0.0929314743426662,[6.0],4.0,4.0,4.0,Octahedron,"2b, 2a",1,6.0,Zr,0.0,True
mp-1211624,K4ZrO4,1.9807783013663576,0.1967136856648338,[4.0],4.0,4.0,4.0,Tetrahedron,2i,1,4.0,Zr,0.0,True
mp-1211889,K2ZrFe(PO4)3,1.9665361802601489,0.2975717579528255,[6.0],4.0,4.0,4.0,no_data,no_data,1,6.0,Zr,0.0,True
mp-1212494,LuZr6(PO4)9,1.8835236073226425,0.5429408777294378,[6.0],4.0,4.0,4.0,Octahedron,"4c, 4d",1,6.0,Zr,0.0,True
mp-1213237,HoZr6(PO4)9,1.8829866909354265,0.5462467700487889,[6.0],4.0,4.0,4.0,Octahedron,"4c, 4d",1,6.0,Zr,0.0,True
mp-1213567,DyZr6(PO4)9,1.8930071651811755,0.5202541515046535,[6.0],4.0,4.0,4.0,Octahedron,"4c, 4d",1,6.0,Zr,0.0,True
mp-1213575,ErZr6(PO4)9,1.89895030547448,0.5120306784378468,[6.0],4.0,4.0,4.0,Octahedron,"4c, 4d",1,6.0,Zr,0.0,True
mp-1213641,GdZr6(PO4)9,1.895392337530414,0.5140078971768501,[6.0],4.0,4.0,4.0,Octahedron,"4c, 4d",1,6.0,Zr,0.0,True
mp-1213813,Cs2ZrMn(PO4)3,1.9426497224352004,0.4156657508340603,[6.0],4.0,4.0,4.0,Octahedron,4a,1,6.0,Zr,0.0,True
mp-1214231,BaZr(AsO4)2,1.945277148533144,0.4149351636203704,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True
mp-1214740,Ba2Zr2(SiO4)3,2.122891737471986,-0.0388638225446188,[6.0],4.0,4.0,4.0,no_data,no_data,1,6.0,Zr,0.0,True
mp-1215249,ZrNb2ZnO8,2.2397568818909948,-0.2698466199246325,[6.0],4.0,4.0,4.0,Octahedron,1d,1,6.0,Zr,0.0,True
mp-1215342,Zr6P2O,2.707245988705723,-0.3586403822173708,"[1.0, 0, 2.0]",1.3333333333333333,1.0,2.0,"Square pyramid, Triangular non-coplanar",2i,2,1.0,Zr,1.0,False
mp-1215342,Zr6P2O,2.707245988705723,-0.3586403822173708,"[1.0, 0, 2.0]",1.3333333333333333,1.0,2.0,"Square pyramid, Triangular non-coplanar",2i,2,0.0,Zr,1.0,False
mp-1215342,Zr6P2O,2.707245988705723,-0.3586403822173708,"[1.0, 0, 2.0]",1.3333333333333333,1.0,2.0,"Square pyramid, Triangular non-coplanar",2i,2,2.0,Zr,1.0,False
mp-1215390,Zr4Br4O,2.1534128170545923,-0.0382654625043758,"[0, 1.0, 3.0]",1.6666666666666667,1.0,2.0,"Octahedron, Tetrahedron, Triangular non-coplanar",1a,3,0.0,Zr,1.0,False
