element,CN,n_points,beta,beta0,method
Ba,13.0,10,-0.5843236394744113,1.7490820797342432,OLS
Li,1.0,30,-0.8527052862340179,1.8503528155499347,Huber
Li,2.0,33,-0.831230268242541,1.715866592933033,Huber
Li,3.0,230,-0.7316141783114151,1.5034408610370584,Huber
Li,4.0,2782,-0.7280969915124934,1.4753244133439836,Huber
Li,5.0,1056,-0.6404562262526196,1.362661896747949,Huber
Li,6.0,1933,-0.5730571605994477,1.2453971908963142,Huber
Li,7.0,46,-0.5526381808921894,1.285769186013374,Huber
Li,8.0,33,-0.5112443594780889,1.232385760109928,Huber
Na,1.0,5,-0.5719993079332059,1.4171335184670841,Huber
Na,2.0,32,-0.6027469173205121,1.4767014028189243,Huber
Na,3.0,85,-0.6035175279029837,1.509239790591046,Huber
Na,4.0,387,-0.6276896572354752,1.5395910356014568,Huber
Na,5.0,502,-0.5878271633922757,1.4592444334274686,Huber
Na,6.0,2396,-0.4935354346718063,1.2729862774901464,Huber
Na,7.0,759,-0.4809486857424795,1.241201096980795,Huber
Na,8.0,1170,-0.4744349104137354,1.2375190763592212,Huber
Na,9.0,150,-0.462214598635562,1.2306379552333002,Huber
Na,10.0,33,-0.41397123992082224,1.143512999399574,Huber
Na,11.0,7,-0.46393718316626825,1.2814198513730353,Huber
Na,12.0,79,-0.3928307071464864,1.105503624063488,Huber
K,1.0,15,-0.673171997932106,1.9867999183720997,Huber
K,2.0,37,-0.7608367970206888,2.1178834874049866,Huber
K,3.0,41,-0.7183370087442659,2.0306870737968667,Huber
K,4.0,133,-0.6010674863722391,1.7116360326593187,Huber
K,5.0,151,-0.5893218987244475,1.680141099391562,Huber
K,6.0,360,-0.5288283726339224,1.529616660988866,Huber
K,7.0,230,-0.5054403435241114,1.474069885096399,Huber
K,8.0,295,-0.46937798574037826,1.3890596144389407,Huber
K,9.0,267,-0.44559169130333454,1.3395344693750812,Huber
K,10.0,188,-0.42887822792278646,1.3017079244097158,Huber
K,11.0,25,-0.3875876441518583,1.2082346880384074,Huber
K,12.0,109,-0.39018338563275073,1.1991707738977606,Huber
K,13.0,11,-0.3968608943605387,1.2252566324785965,Huber
K,15.0,8,-0.4013028497217986,1.2380547237627553,Huber
Rb,1.0,8,-1.1263218041771599,2.950198712725711,Huber
Rb,2.0,13,-0.725285408251752,2.1108071898886673,Huber
Rb,3.0,25,-0.6343683083780611,1.900298346996831,Huber
Rb,4.0,83,-0.6291417998493624,1.8914695294812884,Huber
Rb,5.0,98,-0.5990576338039061,1.8061530574585953,Huber
Rb,6.0,136,-0.5446220216089618,1.6706372925512074,Huber
Rb,7.0,71,-0.5155701318988856,1.5795025913905447,Huber
Rb,8.0,116,-0.4502899217317799,1.4104583176902339,Huber
Rb,9.0,97,-0.45110762105764074,1.412147506523156,Huber
Rb,10.0,93,-0.4417428970225589,1.396987147573845,Huber
Rb,11.0,13,-0.4409487596769874,1.4121085653882197,Huber
Rb,12.0,78,-0.33800544969876883,1.108074093450589,Huber
Rb,15.0,5,-0.3668132282204868,1.1850341767706136,Huber
Cs,1.0,5,-0.7261585181212115,2.3055499244632465,Huber
Cs,2.0,12,-0.92611174511664,2.8508779591090923,Huber
Cs,3.0,26,-0.6331412146023094,2.029767696759493,Huber
Cs,4.0,57,-0.6527508413560135,2.0629733877061094,Huber
Cs,5.0,67,-0.6109156210493029,1.951277057621795,Huber
Cs,6.0,111,-0.5409314115601259,1.7594625566100155,Huber
Cs,7.0,57,-0.5035104003063202,1.6540535214820122,Huber
Cs,8.0,82,-0.45581532154884175,1.5155268612616284,Huber
Cs,9.0,82,-0.4437852512363831,1.4820949274790596,Huber
Cs,10.0,73,-0.4432915810141889,1.4874659560304968,Huber
Cs,11.0,20,-0.43753856040960004,1.4772417580629642,Huber
Cs,12.0,42,-0.37740969148935316,1.2841860158767227,Huber
Be,3.0,17,-1.8514437899448473,2.9613462067879968,Huber
Be,4.0,126,-1.4358474431179056,2.360005806508084,Huber
Mg,4.0,167,-1.0931162035276414,2.229131741261738,Huber
Mg,5.0,107,-1.0875646230718654,2.250957230241637,Huber
Mg,6.0,1084,-0.9184051576945507,1.9306458286514676,Huber
Mg,8.0,8,-0.697808101603006,1.6105990296548984,Huber
Ca,1.0,7,-0.9660416338237339,2.344935517437282,Huber
Ca,3.0,10,-0.8357643402213155,2.059245732468053,Huber
Ca,4.0,44,-0.8951266640353008,2.1966925801158554,Huber
Ca,5.0,79,-0.9149523288366916,2.2232283728070708,Huber
Ca,6.0,738,-0.8727079610661194,2.0857985059722117,Huber
Ca,7.0,372,-0.8107964974425528,2.0099266624876573,Huber
Ca,8.0,795,-0.7583980026927475,1.902099883294933,Huber
Ca,9.0,153,-0.6696650959453323,1.727285731895877,Huber
Ca,10.0,20,-0.6686343423594565,1.7326720900174009,Huber
Ca,12.0,29,-0.5799651070936875,1.5711803817059158,Huber
Sr,1.0,10,-0.9563580174652755,2.419139416250166,Huber
Sr,2.0,13,-0.6357673730114937,1.7011109226784968,Huber
Sr,3.0,5,-0.8042398057176905,2.118383657075938,Huber
Sr,4.0,73,-0.7232625054660117,1.996088322603619,Huber
Sr,5.0,30,-0.7783051975530989,2.0820307536593714,Huber
Sr,6.0,207,-0.8156559187075848,2.1481882653301385,Huber
Sr,7.0,184,-0.8009171078742039,2.1194020499771704,Huber
Sr,8.0,635,-0.7655857975961973,2.062362887334508,Huber
Sr,9.0,503,-0.6748470318366296,1.8330932530460866,Huber
Sr,10.0,145,-0.6102582588032359,1.704565265156841,Huber
Sr,11.0,55,-0.5339762611136203,1.5048356341777613,Huber
Sr,12.0,301,-0.5533533281625017,1.5727703610183905,Huber
Ba,1.0,18,-0.906423817394541,2.5072323337519453,Huber
Ba,2.0,27,-0.9010929440051628,2.48640039134921,Huber
Ba,3.0,32,-0.7733794180654406,2.1890886839394548,Huber
Ba,4.0,42,-0.8170113976913279,2.320544543461779,Huber
Ba,5.0,38,-0.7877988804875099,2.239940821816295,Huber
Ba,6.0,236,-0.7256000950045823,2.082544248970911,Huber
Ba,7.0,162,-0.7638732478567962,2.1885887278164624,Huber
Ba,8.0,418,-0.7110869313563816,2.0616231315001667,Huber
Ba,9.0,488,-0.6688866638218673,1.9524842673896206,Huber
Ba,10.0,468,-0.6122945966157335,1.8100569026052569,Huber
Ba,11.0,124,-0.6079910495629555,1.8159853322962323,Huber
Ba,12.0,644,-0.5587187777328613,1.6746930089367615,Huber
Ba,13.0,10,-0.5843580026110571,1.7495577211371873,Huber
Li,1.0,30,-0.8097584331192327,1.784550154232699,RANSAC
Li,2.0,33,-0.8851305300740866,1.7981042753153784,RANSAC
Li,3.0,230,-0.8116015903896185,1.6400960043029988,RANSAC
Li,4.0,2782,-0.7244211963889957,1.4705605531793502,RANSAC
Li,5.0,1056,-0.6347343314715882,1.356833624185591,RANSAC
Li,6.0,1933,-0.5727558631574301,1.2490133642684078,RANSAC
Li,7.0,46,-0.551615477193895,1.2851318967949825,RANSAC
Li,8.0,33,-0.5114829393509133,1.232649457889831,RANSAC
Na,1.0,5,-0.583170412029349,1.4173679808455137,RANSAC
Na,2.0,32,-0.6105471398439557,1.4883585083857092,RANSAC
Na,3.0,85,-0.595186120718378,1.4984907490829666,RANSAC
Na,4.0,387,-0.620469975144783,1.5264096354434402,RANSAC
Na,5.0,502,-0.5924473697149386,1.4688777623679499,RANSAC
Na,6.0,2396,-0.49824208577747214,1.2841189218966105,RANSAC
Na,7.0,759,-0.48978187516672783,1.2632878508435366,RANSAC
Na,8.0,1170,-0.4732611470830001,1.2337079934218644,RANSAC
Na,9.0,150,-0.4570880448328241,1.2255926613384973,RANSAC
Na,10.0,33,-0.4186263128722723,1.157720068328397,RANSAC
Na,11.0,7,-0.4650195435204315,1.2819027280723578,RANSAC
Na,12.0,79,-0.38471176211108055,1.0804065310895148,RANSAC
K,1.0,15,-0.644665755920465,1.9188114546902744,RANSAC
K,2.0,37,-0.5916833596561066,1.6867682329047187,RANSAC
K,3.0,41,-0.5535541711525044,1.6047884695226948,RANSAC
K,4.0,133,-0.6068184785448332,1.7315344560858077,RANSAC
K,5.0,151,-0.589173339463572,1.6840732517812715,RANSAC
K,6.0,360,-0.5223716623163395,1.5161153320268377,RANSAC
K,7.0,230,-0.503573562633915,1.468680623018831,RANSAC
K,8.0,295,-0.4646590012832785,1.3800954824950376,RANSAC
K,9.0,267,-0.4497526720773298,1.3532032167479693,RANSAC
K,10.0,188,-0.43647782219282294,1.3260109052955311,RANSAC
K,11.0,25,-0.3812741900647464,1.1983497903821552,RANSAC
K,12.0,109,-0.3872377804738343,1.1905944321474622,RANSAC
K,13.0,11,-0.39442324390394695,1.2154879632752225,RANSAC
K,15.0,8,-0.40536822518037713,1.250601252055671,RANSAC
Rb,1.0,8,-1.0260583086731827,2.7786813709108333,RANSAC
Rb,2.0,13,-0.6480613082704055,1.9172617029121808,RANSAC
Rb,3.0,25,-0.6173513155972499,1.861408920121429,RANSAC
Rb,4.0,83,-0.639777387569895,1.9237482808365904,RANSAC
Rb,5.0,98,-0.5965206072294614,1.802100301955254,RANSAC
Rb,6.0,136,-0.5346648511496234,1.6509711398372013,RANSAC
Rb,7.0,71,-0.5145094326369789,1.5791544760892462,RANSAC
Rb,8.0,116,-0.44481471416353763,1.3922551627048438,RANSAC
Rb,9.0,97,-0.4532383705551312,1.418901353619927,RANSAC
Rb,10.0,93,-0.4429911040171081,1.4014025633536589,RANSAC
Rb,11.0,13,-0.44365134844093174,1.4177819652425565,RANSAC
Rb,12.0,78,-0.35637151514622073,1.1670229323520325,RANSAC
Rb,15.0,5,-0.3619493778648739,1.1716764577362173,RANSAC
Cs,1.0,5,-0.7293373313658218,2.3068392047985813,RANSAC
Cs,2.0,12,-0.927079320556484,2.834548232361289,RANSAC
Cs,3.0,26,-0.6685837637543451,2.1357440335031477,RANSAC
Cs,4.0,57,-0.6682876631942617,2.1116619273018675,RANSAC
Cs,5.0,67,-0.612782222237054,1.9607120673449847,RANSAC
Cs,6.0,111,-0.5462902700774567,1.776042322113035,RANSAC
Cs,7.0,57,-0.5014434921376993,1.6477894300352238,RANSAC
Cs,8.0,82,-0.4626397217017391,1.5333023212995702,RANSAC
Cs,9.0,82,-0.4374072396432916,1.4649082272254732,RANSAC
Cs,10.0,73,-0.44033014017220823,1.4863660509432672,RANSAC
Cs,11.0,20,-0.43566283009679646,1.4725131683869104,RANSAC
Cs,12.0,42,-0.38208854596124503,1.3028682035092165,RANSAC
Be,3.0,17,-2.5181594001230914,3.8945208166730985,RANSAC
Be,4.0,126,-1.4407433706242863,2.3705071303412515,RANSAC
Mg,4.0,167,-1.0602723896818873,2.1696185934486465,RANSAC
Mg,5.0,107,-1.0793892047844034,2.2385010045121985,RANSAC
Mg,6.0,1084,-0.9203291840114177,1.9345005293777042,RANSAC
Mg,8.0,8,-0.7087765746529172,1.6451417757639724,RANSAC
Ca,1.0,7,-0.9650901738840867,2.34074912166449,RANSAC
Ca,3.0,10,-0.8061966192414671,1.9950495790752358,RANSAC
Ca,4.0,44,-0.896380536138843,2.210750182852352,RANSAC
Ca,5.0,79,-1.0554855601325925,2.517717114676708,RANSAC
Ca,6.0,738,-0.872352835999544,2.081519886846238,RANSAC
Ca,7.0,372,-0.8122221116842399,2.0166817393936,RANSAC
