material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Cr_wyckoff,num_Cr_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1012789,LiCr3P3O13,1.9009325962220955,0.1433469981329798,"[5.0, 6.0]",3.333333333333333,3.0,4.0,"Octahedron, Square pyramid","2a, 2e",2,5.0,Cr,1.0,False,,,,,,,,,,,,,,0,"Octahedron, Square pyramid"
mp-1012789,LiCr3P3O13,1.9009325962220955,0.1433469981329798,"[5.0, 6.0]",3.333333333333333,3.0,4.0,"Octahedron, Square pyramid","2a, 2e",2,6.0,Cr,1.0,False,2.0,6.0,1.8705654530713494,2.0972651323785776,1.9688472377959318,0.0762313826807317,0.22669967930722823,93.36968484614346,34.879917083398546,2.472755464462558,162.7673694503058,6.0,1.0,1,"Octahedron, Square pyramid"
mp-1012789,LiCr3P3O13,1.9009325962220955,0.1433469981329798,"[5.0, 6.0]",3.333333333333333,3.0,4.0,"Octahedron, Square pyramid","2a, 2e",2,6.0,Cr,1.0,False,3.0,6.0,1.87056545307135,2.0972651323785776,1.9688472377959325,0.07623138268073137,0.22669967930722756,93.36968484614347,34.879917083398546,2.472755464462558,162.76736945030584,6.0,1.0,2,"Octahedron, Square pyramid"
mp-1012789,LiCr3P3O13,1.9009325962220955,0.1433469981329798,"[5.0, 6.0]",3.333333333333333,3.0,4.0,"Octahedron, Square pyramid","2a, 2e",2,6.0,Cr,1.0,False,4.0,6.0,1.9074112559243972,3.1855886352168787,2.1611066602159315,0.4593622008065866,1.2781773792924815,79.18099742078284,34.9142983579731,4.115725390086942,158.57694246406032,6.0,1.0,3,"Octahedron, Square pyramid"
mp-1012789,LiCr3P3O13,1.9009325962220955,0.1433469981329798,"[5.0, 6.0]",3.333333333333333,3.0,4.0,"Octahedron, Square pyramid","2a, 2e",2,6.0,Cr,1.0,False,5.0,6.0,1.9983833778045321,2.0572003906096192,2.024835268087075,0.024373277518238118,0.05881701280508711,54.68551156589924,20.767431143273257,17.3011815024996,103.14280866387034,6.0,1.0,4,"Octahedron, Square pyramid"
mp-1012789,LiCr3P3O13,1.9009325962220955,0.1433469981329798,"[5.0, 6.0]",3.333333333333333,3.0,4.0,"Octahedron, Square pyramid","2a, 2e",2,6.0,Cr,1.0,False,6.0,6.0,1.9074112559243963,3.185588635216879,2.1611066602159315,0.4593622008065868,1.2781773792924829,79.18099742078284,34.91429835797311,4.115725390086942,158.57694246406032,6.0,1.0,5,"Octahedron, Square pyramid"
mp-1012789,LiCr3P3O13,1.9009325962220955,0.1433469981329798,"[5.0, 6.0]",3.333333333333333,3.0,4.0,"Octahedron, Square pyramid","2a, 2e",2,6.0,Cr,1.0,False,7.0,6.0,1.9983833778045321,2.0572003906096192,2.024835268087075,0.02437327751823813,0.05881701280508711,46.38346465764515,18.811373065405938,15.824752597181593,80.76034647933972,6.0,1.0,6,"Octahedron, Square pyramid"
mp-1013922,LiCr2P2O9,1.8640656677333536,0.2135729551773587,[6.0],3.5,3.0,4.0,Octahedron,"4a, 4c",1,6.0,Cr,1.0,False,4.0,6.0,1.8512633327412058,2.0310762187778937,1.9465926114008079,0.061152514436388854,0.17981288603668788,94.36134532095778,36.197585431209404,3.3735303463776805,169.8877961809265,6.0,1.0,1,Octahedron
mp-1013922,LiCr2P2O9,1.8640656677333536,0.2135729551773587,[6.0],3.5,3.0,4.0,Octahedron,"4a, 4c",1,6.0,Cr,1.0,False,5.0,6.0,1.8512706152778675,2.0310882231883,1.9465993998193065,0.06115114924967983,0.17981760791043233,94.36138037090063,36.19762525163387,3.373601811525755,169.88769608978978,6.0,1.0,2,Octahedron
mp-1013922,LiCr2P2O9,1.8640656677333536,0.2135729551773587,[6.0],3.5,3.0,4.0,Octahedron,"4a, 4c",1,6.0,Cr,1.0,False,6.0,6.0,1.8512706152778675,2.031076218777896,1.9465938251569568,0.06115062247808498,0.1798056035000284,68.93817558736677,30.916804336011836,3.373546018876898,95.25613203060665,6.0,1.0,3,Octahedron
mp-1013922,LiCr2P2O9,1.8640656677333536,0.2135729551773587,[6.0],3.5,3.0,4.0,Octahedron,"4a, 4c",1,6.0,Cr,1.0,False,7.0,6.0,1.8512770953511801,2.0310920532662013,1.946597544250521,0.06115258508507332,0.17981495791502122,68.93814953037412,30.91681810551712,3.3735303463776805,95.25610840122341,6.0,1.0,4,Octahedron
mp-1013922,LiCr2P2O9,1.8640656677333536,0.2135729551773587,[6.0],3.5,3.0,4.0,Octahedron,"4a, 4c",1,6.0,Cr,1.0,False,8.0,6.0,2.002060750024193,2.0396549617038344,2.023983617284116,0.015970488696077617,0.037594211679641276,47.7263218184369,26.914826904701012,12.821717542320613,84.73841029622224,6.0,1.0,5,Octahedron
mp-1013922,LiCr2P2O9,1.8640656677333536,0.2135729551773587,[6.0],3.5,3.0,4.0,Octahedron,"4a, 4c",1,6.0,Cr,1.0,False,9.0,6.0,2.002061662560991,2.0396462705192353,2.0239820722500848,0.015968231468161675,0.037584607958244476,107.99995873349728,36.69407697058419,76.2691320560459,179.99993648130635,6.0,1.0,6,Octahedron
