material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Nb_wyckoff,num_Nb_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-10062,Ba2NdNb(CuO4)2,1.9967618794807405,0.0196332189284944,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True,3.0,6.0,1.9990282927239988,2.001033,2.000364764241333,0.0009450280727692292,0.0020047072760012163,72.0,36.0,0.0,90.0,2.0,0.3333333333333333,1,Octahedron
mp-1022808,Ba2NbFeO6,1.8384990136570127,1.0636693095636685,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Nb,0.0,True,8.0,6.0,1.9805244587730335,2.0869948718413953,2.033759663736103,0.05323520176537963,0.1064704130683618,54.896038191748815,26.28446836435359,9.041653600971316,92.57730578331194,6.0,1.0,1,Octahedron
mp-1022808,Ba2NbFeO6,1.8384990136570127,1.0636693095636685,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Nb,0.0,True,9.0,6.0,1.980524458773035,2.086994871841395,2.0337596637361033,0.05323520176537903,0.1064704130683598,100.11581126250705,38.96590353402316,26.757223587375645,177.47231097144683,6.0,1.0,2,Octahedron
mp-1022808,Ba2NbFeO6,1.8384990136570127,1.0636693095636685,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Nb,0.0,True,10.0,6.0,1.9805244587730353,2.086994871841394,2.033759663736103,0.053235201765378555,0.1064704130683587,100.11581126250705,38.96590353402316,26.757223587375645,177.47231097144683,6.0,1.0,3,Octahedron
mp-1022808,Ba2NbFeO6,1.8384990136570127,1.0636693095636685,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Nb,0.0,True,11.0,6.0,1.980524458773033,2.0869948718413953,2.033759663736103,0.053235201765380186,0.10647041306836225,100.11581126250704,38.96590353402312,26.75722358737572,177.47231097144655,6.0,1.0,4,Octahedron
mp-1022809,Ba4NbFeO8,1.684223229559088,2.0308118463214297,[6.0],5.0,5.0,5.0,Octahedron,4e,1,6.0,Nb,0.0,True,16.0,6.0,1.9218525541168783,2.186647766737351,2.043135199198202,0.10643410820601276,0.2647952126204729,106.71023885608696,33.712226454695696,84.46128231740828,177.46296957273984,3.0,0.5,1,Octahedron
mp-1022809,Ba4NbFeO8,1.684223229559088,2.0308118463214297,[6.0],5.0,5.0,5.0,Octahedron,4e,1,6.0,Nb,0.0,True,17.0,6.0,1.921852554116879,2.1866477667373516,2.0431351991982023,0.10643410820601303,0.2647952126204727,99.35953827850155,38.45654038684854,24.990711176004417,177.46296957273927,3.0,0.5,2,Octahedron
mp-1022809,Ba4NbFeO8,1.684223229559088,2.0308118463214297,[6.0],5.0,5.0,5.0,Octahedron,4e,1,6.0,Nb,0.0,True,18.0,6.0,1.9218525541168785,2.186647766737349,2.043135199198202,0.10643410820601272,0.26479521262047045,106.71023885608695,33.712226454695674,84.46128231740828,177.46296957273955,3.0,0.5,3,Octahedron
mp-1022809,Ba4NbFeO8,1.684223229559088,2.0308118463214297,[6.0],5.0,5.0,5.0,Octahedron,4e,1,6.0,Nb,0.0,True,19.0,6.0,1.9218525541168778,2.1866477667373503,2.043135199198202,0.1064341082060127,0.26479521262047245,99.3595382785016,38.4565403868486,24.99071117600439,177.46296957273984,3.0,0.5,4,Octahedron
mp-1046744,Mg2Nb2CoO8,1.948261373320306,0.7882775365360489,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Nb,0.0,True,4.0,6.0,1.8506550602489733,2.425795686830893,2.062281217597575,0.17841767767610323,0.5751406265819197,74.11467442448246,33.006838720054745,19.31788371646074,126.16895911063828,6.0,1.0,1,Octahedron
