material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Nb_wyckoff,num_Nb_chemenvs,CN,element,charge_range,is_single_charge
mp-768142,Li13Nb14ZnO42,2.024012847152816,0.0717102454071592,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,1a,1,6.0,Nb,1.0,False
mp-768142,Li13Nb14ZnO42,2.024012847152816,0.0717102454071592,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,1a,1,6.0,Nb,1.0,False
mp-768342,SrNb2O4,2.0069171248759,0.2191070459212127,[6.0],3.0,3.0,3.0,Trigonal prism,"4c, 4d",1,6.0,Nb,0.0,True
mp-769319,LiNb(OF)2,1.9543245685323565,1.2823759008281796,[4.0],5.0,5.0,5.0,Octahedron,4e,1,4.0,Nb,0.0,True
mp-769502,Li4Nb2Fe3O10,2.043094479771912,0.0895081129437948,[6.0],5.0,5.0,5.0,Octahedron,4i,1,6.0,Nb,0.0,True
mp-770219,NbAsO4,2.0632513782041846,0.128530272728876,[6.0],5.0,5.0,5.0,Octahedron,4a,1,6.0,Nb,0.0,True
mp-770649,Li5NbO5,1.986812329833187,0.1706936377569535,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True
mp-770744,Li4Nb2Fe3Sn3O16,1.8298768901555087,1.3799827627460082,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True
mp-770799,Li5NbO5,1.9526345603089788,0.8249982516011025,[5.0],5.0,5.0,5.0,Trigonal bipyramid,2e,1,5.0,Nb,0.0,True
mp-770958,Li4NbFe3O8,1.893194532612414,0.8052988280108115,[6.0],5.0,5.0,5.0,Octahedron,1c,1,6.0,Nb,0.0,True
mp-771059,Li4Nb2Co3Sn3O16,1.8491329667933745,1.1893395444617505,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True
mp-771129,Li4Ti3Nb2Ni3O16,1.8781616270097456,0.9760612035009948,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Nb,0.0,True
mp-771326,NbFe5(PO4)6,1.823347839550665,0.971580211853966,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True
mp-771705,LiMnNbO4,1.8596093041464123,0.980812900893957,[6.0],5.0,5.0,5.0,Octahedron,"2d, 2b",1,6.0,Nb,0.0,True
mp-771816,Gd3NbO7,1.952304629967412,0.36760312791152,[6.0],5.0,5.0,5.0,Octahedron,4c,1,6.0,Nb,0.0,True
mp-771821,LiNbCoO4,2.0746818484456977,0.8507431956938435,[4.0],5.0,5.0,5.0,Tetrahedron,4c,1,4.0,Nb,0.0,True
mp-771834,Tb3NbO7,1.9477447387280664,0.3949173450360945,[6.0],5.0,5.0,5.0,Octahedron,4c,1,6.0,Nb,0.0,True
mp-771882,NbVO5,1.9558744543945727,0.3036907184385309,[6.0],5.0,5.0,5.0,Octahedron,4e,1,6.0,Nb,0.0,True
mp-771892,LiNbFeO4,2.015339944479389,0.5686888002689465,[4.0],5.0,5.0,5.0,Tetrahedron,"1b, 1a, 2c",1,4.0,Nb,0.0,True
