material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Rh_wyckoff,num_Rh_chemenvs,CN,element,charge_range,is_single_charge
mp-1221278,Na3Cd(RhO2)8,2.032406072474405,0.0515395521897135,"[6.0, 6.0]",3.5,3.0,4.0,no_data,no_data,1,6.0,Rh,1.0,False
mp-1221278,Na3Cd(RhO2)8,2.032406072474405,0.0515395521897135,"[6.0, 6.0]",3.5,3.0,4.0,no_data,no_data,1,6.0,Rh,1.0,False
mp-1222349,LiGeRhO4,1.9765831512663945,0.1327485424042713,[6.0],3.0,3.0,3.0,Octahedron,2b,1,6.0,Rh,0.0,True
mp-1222352,LiTiRhO4,2.008380072725412,0.0991259451487364,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Rh,0.0,True
mp-1222353,LiMnRhO4,1.924426653712682,0.1633190314067105,[6.0],3.0,3.0,3.0,Octahedron,2b,1,6.0,Rh,0.0,True
mp-1222456,LiRuRhO4,1.978935847680741,0.1323345460098114,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Rh,0.0,True
mp-1222530,LiFe2Rh3O8,1.922225018593693,0.2116833305937701,[6.0],3.0,3.0,3.0,Octahedron,3b,1,6.0,Rh,0.0,True
mp-1222686,LiCuRu2(RhO4)2,1.9374923579742829,0.1885046949327632,[6.0],3.0,3.0,3.0,Octahedron,2d,1,6.0,Rh,0.0,True
mp-1223163,La4ZnCu(RhO6)2,2.051217257346413,-0.0393339612358192,[6.0],4.0,4.0,4.0,Octahedron,"1a, 1h",1,6.0,Rh,0.0,True
mp-1223214,La2NiRhO6,2.007435129392728,0.0713910890840902,[6.0],4.0,4.0,4.0,Octahedron,4e,1,6.0,Rh,0.0,True
mp-1223365,La2CuRhO6,2.054723864442358,-0.0156150779434281,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Rh,0.0,True
mp-1223691,La3ZnCuRh2PbO12,1.9814363482431632,0.1427721060761672,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Rh,0.0,True
mp-1227404,Ca2IrRhO6,1.8317035559814272,0.478395571397742,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Rh,0.0,True
mp-1227633,Be3Bi(RhO2)9,1.855055964852522,0.323566080797297,[6.0],3.0,3.0,3.0,Octahedron,6f,1,6.0,Rh,0.0,True
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False
mp-1228344,Ba6Ho2Al2Rh2O15,1.353606683155263,1.3710592633666514,[5.0],3.0,3.0,3.0,Square pyramid,2c,1,5.0,Rh,0.0,True
mp-1228749,AsRhO4,1.9531559499449955,0.1062888744552566,[6.0],3.0,3.0,3.0,Octahedron,1c,1,6.0,Rh,0.0,True
mp-1229239,BiRh7Pb2O15,2.027710017516178,0.0505821241863949,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"8h, 2a, 2b, 4e, 4d",1,6.0,Rh,1.0,False
mp-1229239,BiRh7Pb2O15,2.027710017516178,0.0505821241863949,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"8h, 2a, 2b, 4e, 4d",1,6.0,Rh,1.0,False
mp-18444,Sr3CuRhO6,2.008564959189288,0.0950738402185279,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Rh,0.0,True
mp-28870,PRhO4,2.018866809962467,0.0184457975452388,[6.0],3.0,3.0,3.0,Octahedron,"4g, 2a",1,6.0,Rh,0.0,True
mp-3317,SmRhO3,1.9124986191355224,0.2200032350028683,[6.0],3.0,3.0,3.0,Octahedron,4b,1,6.0,Rh,0.0,True
mp-4048,Sr6(RhO3)5,1.9928977328526791,0.0801992507307281,"[6.0, 6.0]",3.5,3.0,4.0,"Trigonal prism, Octahedron","1b, 2c",2,6.0,Rh,1.0,False
mp-4048,Sr6(RhO3)5,1.9928977328526791,0.0801992507307281,"[6.0, 6.0]",3.5,3.0,4.0,"Trigonal prism, Octahedron","1b, 2c",2,6.0,Rh,1.0,False
mp-4582,NdRhO3,1.9190814908886693,0.2147132002657129,[6.0],3.0,3.0,3.0,Octahedron,4b,1,6.0,Rh,0.0,True
mp-4789,PrRhO3,1.9330902515174124,0.1957091391827012,[6.0],3.0,3.0,3.0,Octahedron,4b,1,6.0,Rh,0.0,True
