material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Cd_wyckoff,num_Cd_chemenvs,CN,element,charge_range,is_single_charge
mp-1006058,UCd2O5,2.2213744224715417,0.0695676293507447,[4.0],2.0,2.0,2.0,Square-face capped trigonal prism,4f,1,4.0,Cd,0.0,True
mp-1102318,LiCdBO3,0.2816359149654046,2.3362119030480923,[5.0],2.0,2.0,2.0,Trigonal bipyramid,2i,1,5.0,Cd,0.0,True
mp-1173705,NaCdIn2(PO4)3,2.348436274436187,-0.0036163024294853,[6.0],2.0,2.0,2.0,Trigonal prism,2e,1,6.0,Cd,0.0,True
mp-1173728,Na2MnCdFe(PO4)3,2.089634331973876,0.238794954025439,[6.0],2.0,2.0,2.0,"Octahedron, Dodecahedron with triangular faces - p2345 plane normalized","1b, 1a",2,6.0,Cd,0.0,True
mp-1173819,Na3Cd4P6H10(ClO8)3,2.169413078098494,0.1325916631980117,[4.0],2.0,2.0,2.0,Octahedron,1a,1,4.0,Cd,0.0,True
mp-1173827,NaCdFe(PO4)2,1.9276310381277504,0.365086864166431,[6.0],2.0,2.0,2.0,"Octahedron, Pentagonal bipyramid, Trigonal prism",1a,3,6.0,Cd,0.0,True
mp-1181899,Cd(BrO2)2,2.252390078815691,0.1012572425887422,[6.0],2.0,2.0,2.0,Octahedron,2c,1,6.0,Cd,0.0,True
mp-1183876,CdHg2SeO6,2.374300264371281,-0.0030092967325168,[6.0],2.0,2.0,2.0,Octahedron,2i,1,6.0,Cd,0.0,True
mp-1188876,Sr2UCdO6,2.476797194681844,-0.1151915191206609,[6.0],2.0,2.0,2.0,Octahedron,2b,1,6.0,Cd,0.0,True
mp-1189868,Cd4BiB3O10,1.5718952440989762,0.7183536271299001,"[6.0, 8.0]",2.0,2.0,2.0,"Hexagonal bipyramid, Octahedron",2b,2,6.0,Cd,0.0,True
mp-1189868,Cd4BiB3O10,1.5718952440989762,0.7183536271299001,"[6.0, 8.0]",2.0,2.0,2.0,"Hexagonal bipyramid, Octahedron",2b,2,8.0,Cd,0.0,True
mp-1190335,BaCdAs2O7,1.8973068311991528,0.4545777999139572,[6.0],2.0,2.0,2.0,Octahedron,2i,1,6.0,Cd,0.0,True
mp-1190367,SrCdAs2O7,1.8332934857483991,0.4936413661173802,[6.0],2.0,2.0,2.0,Octahedron,2i,1,6.0,Cd,0.0,True
mp-1190488,Al4CdO7,1.575424176152413,0.7740197665282942,[5.0],2.0,2.0,2.0,Trigonal bipyramid,2e,1,5.0,Cd,0.0,True
mp-1191189,Cd2Sb2O7,2.0119025490558022,0.3156533841430043,[8.0],2.0,2.0,2.0,Hexagonal bipyramid,4d,1,8.0,Cd,0.0,True
mp-1191962,CdIClO3,2.455877334852381,-0.0582464541071614,[4.0],2.0,2.0,2.0,Octahedron,4e,1,4.0,Cd,0.0,True
mp-1192091,Cd3(BO3)2,1.9138959830068625,0.3901076385347614,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Trigonal prism",2i,2,5.0,Cd,0.0,True
mp-1192091,Cd3(BO3)2,1.9138959830068625,0.3901076385347614,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Trigonal prism",2i,2,6.0,Cd,0.0,True
mp-1192772,NaCdPO4,1.419718599707405,0.8815927447172156,[6.0],2.0,2.0,2.0,Octahedron,4a,1,6.0,Cd,0.0,True
mp-1194532,Cd2Ni6Te3PbO18,1.667471693844788,0.5650789297908898,[6.0],2.0,2.0,2.0,Trigonal prism,4f,1,6.0,Cd,0.0,True
mp-1194560,Rb2CdP2O7,2.376428161781247,-0.1188951594893477,[5.0],2.0,2.0,2.0,Trigonal bipyramid,4e,1,5.0,Cd,0.0,True
mp-1194602,CdH2SO5,2.2476300658935977,0.0780054782267282,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Cd,0.0,True
mp-1194787,Cd2B6PbO12,2.105069872092142,0.2798830473757237,"[6.0, 7.0]",2.0,2.0,2.0,"Octahedron, Square-face capped trigonal prism",4e,2,6.0,Cd,0.0,True
mp-1194787,Cd2B6PbO12,2.105069872092142,0.2798830473757237,"[6.0, 7.0]",2.0,2.0,2.0,"Octahedron, Square-face capped trigonal prism",4e,2,7.0,Cd,0.0,True
mp-1195165,CdCuAsHO5,1.9178140505379784,0.435415173035398,[7.0],2.0,2.0,2.0,Square-face capped trigonal prism,4c,1,7.0,Cd,0.0,True
mp-1195436,Cd3BPO7,1.746081134016436,0.5923626557653165,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Pentagonal bipyramid",4a,2,5.0,Cd,0.0,True
