material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,La_wyckoff,num_La_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1019777,K2La2B2O7,2.163751784242512,0.4289839788638591,[8.0],3.0,3.0,3.0,"Square antiprism, Square-face bicapped trigonal prism",4e,2,8.0,La,0.0,True,8.0,8.0,2.409184653020943,2.6638733094743055,2.540376808826495,0.0686071609612454,0.2546886564533626,95.01033654445366,33.11227565385893,30.546368987366808,148.36845127084837,8.0,1.0,1,"Square antiprism, Square-face bicapped trigonal prism"
mp-1019777,K2La2B2O7,2.163751784242512,0.4289839788638591,[8.0],3.0,3.0,3.0,"Square antiprism, Square-face bicapped trigonal prism",4e,2,8.0,La,0.0,True,9.0,8.0,2.409184653020943,2.663873309474304,2.5403768088264953,0.06860716096124517,0.25468865645336125,59.94546540122768,30.21245339085369,9.518710098297609,148.36845127084842,8.0,1.0,2,"Square antiprism, Square-face bicapped trigonal prism"
mp-1019777,K2La2B2O7,2.163751784242512,0.4289839788638591,[8.0],3.0,3.0,3.0,"Square antiprism, Square-face bicapped trigonal prism",4e,2,8.0,La,0.0,True,10.0,8.0,2.4091846530209424,2.663873309474303,2.540376808826495,0.06860716096124492,0.25468865645336036,95.01033654445364,33.11227565385893,30.546368987366794,148.3684512708484,8.0,1.0,3,"Square antiprism, Square-face bicapped trigonal prism"
mp-1019777,K2La2B2O7,2.163751784242512,0.4289839788638591,[8.0],3.0,3.0,3.0,"Square antiprism, Square-face bicapped trigonal prism",4e,2,8.0,La,0.0,True,11.0,8.0,2.4091846530209415,2.6638733094743037,2.540376808826495,0.06860716096124524,0.25468865645336214,59.945465401227644,30.21245339085368,9.518710098297532,148.36845127084834,8.0,1.0,4,"Square antiprism, Square-face bicapped trigonal prism"
mp-1019777,K2La2B2O7,2.163751784242512,0.4289839788638591,[8.0],3.0,3.0,3.0,"Square antiprism, Square-face bicapped trigonal prism",4e,2,8.0,La,0.0,True,12.0,8.0,2.3839398372462433,2.792852316348838,2.588684058748347,0.11898092799444152,0.4089124791025949,71.53031627541729,32.36763785384472,15.803158052468119,162.2849397357305,8.0,1.0,5,"Square antiprism, Square-face bicapped trigonal prism"
mp-1019777,K2La2B2O7,2.163751784242512,0.4289839788638591,[8.0],3.0,3.0,3.0,"Square antiprism, Square-face bicapped trigonal prism",4e,2,8.0,La,0.0,True,13.0,8.0,2.383939837246243,2.7928523163488386,2.5886840587483473,0.11898092799444192,0.40891247910259576,100.21259402351724,31.509406701459806,52.449499081204266,162.28493973573046,8.0,1.0,6,"Square antiprism, Square-face bicapped trigonal prism"
mp-1019777,K2La2B2O7,2.163751784242512,0.4289839788638591,[8.0],3.0,3.0,3.0,"Square antiprism, Square-face bicapped trigonal prism",4e,2,8.0,La,0.0,True,14.0,8.0,2.383939837246241,2.792852316348838,2.5886840587483473,0.11898092799444271,0.4089124791025971,71.53031627541729,32.36763785384472,15.803158052468074,162.2849397357305,8.0,1.0,7,"Square antiprism, Square-face bicapped trigonal prism"
mp-1019777,K2La2B2O7,2.163751784242512,0.4289839788638591,[8.0],3.0,3.0,3.0,"Square antiprism, Square-face bicapped trigonal prism",4e,2,8.0,La,0.0,True,15.0,8.0,2.383939837246242,2.7928523163488386,2.588684058748347,0.11898092799444188,0.40891247910259665,100.21259402351724,31.509406701459802,52.44949908120425,162.28493973573046,8.0,1.0,8,"Square antiprism, Square-face bicapped trigonal prism"
mp-1019793,K3La(PO4)2,2.781798441931577,-0.2955730460506519,[7.0],3.0,3.0,3.0,Square-face capped trigonal prism,2e,1,7.0,La,0.0,True,6.0,7.0,2.3976265570928934,2.592832273526423,2.5138581561660986,0.07677818134325565,0.19520571643352946,61.60473347371629,31.77224369346286,18.649603638064907,149.36542250850707,7.0,1.0,1,Square-face capped trigonal prism
mp-1019793,K3La(PO4)2,2.781798441931577,-0.2955730460506519,[7.0],3.0,3.0,3.0,Square-face capped trigonal prism,2e,1,7.0,La,0.0,True,7.0,7.0,2.397626557092893,2.5928322735264233,2.513858156166098,0.07677818134325541,0.19520571643353035,61.60473347371629,31.77224369346286,18.649603638064907,149.36542250850707,7.0,1.0,2,Square-face capped trigonal prism
mp-1019892,La2B8O15,2.135113193282106,0.4746316398751951,[11.0],3.0,3.0,3.0,Diminished icosahedron,4g,1,11.0,La,0.0,True,0.0,11.0,2.3287653194006213,2.9470166863580776,2.6997339248746925,0.17670931306074106,0.6182513669574563,43.17729873741811,23.053903762590878,0.0,87.6666010796231,11.0,1.0,1,Diminished icosahedron
mp-1019892,La2B8O15,2.135113193282106,0.4746316398751951,[11.0],3.0,3.0,3.0,Diminished icosahedron,4g,1,11.0,La,0.0,True,1.0,11.0,2.328765319400623,2.9470166863580785,2.6997339248746917,0.1767093130607407,0.6182513669574554,72.76332270688216,37.28412684013842,0.0,155.32754409073362,11.0,1.0,2,Diminished icosahedron
mp-1019892,La2B8O15,2.135113193282106,0.4746316398751951,[11.0],3.0,3.0,3.0,Diminished icosahedron,4g,1,11.0,La,0.0,True,2.0,11.0,2.328765319400623,2.947016686358079,2.6997339248746917,0.17670931306074086,0.6182513669574559,47.9832496026967,23.900377187666813,0.0,87.66660107962313,11.0,1.0,3,Diminished icosahedron
mp-1019892,La2B8O15,2.135113193282106,0.4746316398751951,[11.0],3.0,3.0,3.0,Diminished icosahedron,4g,1,11.0,La,0.0,True,3.0,11.0,2.328765319400623,2.947016686358078,2.699733924874692,0.1767093130607409,0.618251366957455,67.09344726328295,40.161310073436674,0.0,155.32754409073365,11.0,1.0,4,Diminished icosahedron
mp-1019894,La4B10O21,2.270382531615867,0.3304706204178755,"[10.0, 11.0]",3.0,3.0,3.0,"Square-face bicapped square antiprism, Pentagonal-face capped pentagonal antiprism",4e,2,10.0,La,0.0,True,0.0,10.0,2.48003023407302,2.829437493616587,2.663312995300614,0.10692872302699885,0.34940725954356733,97.98166774074248,33.651174771942166,48.793346838760606,174.12844534774058,10.0,1.0,1,"Square-face bicapped square antiprism, Pentagonal-face capped pentagonal antiprism"
mp-1019894,La4B10O21,2.270382531615867,0.3304706204178755,"[10.0, 11.0]",3.0,3.0,3.0,"Square-face bicapped square antiprism, Pentagonal-face capped pentagonal antiprism",4e,2,10.0,La,0.0,True,1.0,10.0,2.4800302340730194,2.8294374936165863,2.6633129953006134,0.10692872302699861,0.3494072595435669,85.40913316206847,35.9108442110909,9.713305026543932,168.16266222373406,10.0,1.0,2,"Square-face bicapped square antiprism, Pentagonal-face capped pentagonal antiprism"
mp-1019894,La4B10O21,2.270382531615867,0.3304706204178755,"[10.0, 11.0]",3.0,3.0,3.0,"Square-face bicapped square antiprism, Pentagonal-face capped pentagonal antiprism",4e,2,10.0,La,0.0,True,2.0,10.0,2.48003023407302,2.8294374936165863,2.6633129953006134,0.10692872302699843,0.34940725954356644,97.98166774074248,33.651174771942166,48.79334683876065,174.12844534774052,10.0,1.0,3,"Square-face bicapped square antiprism, Pentagonal-face capped pentagonal antiprism"
