CN,n_rows,n_unique_materials,R0_mean,B_mean,mean_charge_mean
0.0,13,13,2.0949795162276907,0.5100590351382303,3.0
1.0,25,25,2.2460490053157063,0.27976922544771815,2.973333333333333
2.0,8,8,1.974714565903424,0.5445037763819282,3.0
3.0,24,24,2.225446993988755,0.34175529332289206,3.0
4.0,28,28,2.24175646869995,0.29587909415041985,2.976190476190476
5.0,30,30,2.166279698413253,0.42459397285650874,3.0
6.0,136,136,2.2051331451855702,0.32752148955656996,2.993872549019608
7.0,154,154,2.129604776832118,0.48116411181520713,2.99025974025974
8.0,414,414,1.9840684558135777,0.6275678919783491,2.9818840579710146
9.0,226,226,2.1376630483228816,0.455350764493949,2.9830383480825957
10.0,64,64,2.213547543623104,0.3924400317693094,2.9401041666666665
11.0,25,25,2.0614466706087655,0.5039972879685707,2.9
12.0,111,111,2.3388227122763006,0.2922707610164367,2.951951951951952
