material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,La_wyckoff,num_La_chemenvs,CN,element,charge_range,is_single_charge
mp-1019777,K2La2B2O7,2.163751784242512,0.4289839788638591,[8.0],3.0,3.0,3.0,"Square antiprism, Square-face bicapped trigonal prism",4e,2,8.0,La,0.0,True
mp-1019793,K3La(PO4)2,2.781798441931577,-0.2955730460506519,[7.0],3.0,3.0,3.0,Square-face capped trigonal prism,2e,1,7.0,La,0.0,True
mp-1019892,La2B8O15,2.135113193282106,0.4746316398751951,[11.0],3.0,3.0,3.0,Diminished icosahedron,4g,1,11.0,La,0.0,True
mp-1019894,La4B10O21,2.270382531615867,0.3304706204178755,"[10.0, 11.0]",3.0,3.0,3.0,"Square-face bicapped square antiprism, Pentagonal-face capped pentagonal antiprism",4e,2,10.0,La,0.0,True
mp-1019894,La4B10O21,2.270382531615867,0.3304706204178755,"[10.0, 11.0]",3.0,3.0,3.0,"Square-face bicapped square antiprism, Pentagonal-face capped pentagonal antiprism",4e,2,11.0,La,0.0,True
mp-1019895,La3BN2O3,2.006380072799721,0.579300132548101,"[4.0, 5.0]",3.0,3.0,3.0,"Square antiprism, Square-face bicapped trigonal prism",4c,2,4.0,La,0.0,True
mp-1019895,La3BN2O3,2.006380072799721,0.579300132548101,"[4.0, 5.0]",3.0,3.0,3.0,"Square antiprism, Square-face bicapped trigonal prism",4c,2,5.0,La,0.0,True
mp-1019896,La5S4NO2,2.43020650787395,0.0036545954864614,"[0, 1.0, 3.0, 4.0]",3.0,3.0,3.0,"Square antiprism, Square-face capped trigonal prism, Face-capped octahedron, Trigonal prism",2i,4,0.0,La,0.0,True
mp-1019896,La5S4NO2,2.43020650787395,0.0036545954864614,"[0, 1.0, 3.0, 4.0]",3.0,3.0,3.0,"Square antiprism, Square-face capped trigonal prism, Face-capped octahedron, Trigonal prism",2i,4,1.0,La,0.0,True
mp-1019896,La5S4NO2,2.43020650787395,0.0036545954864614,"[0, 1.0, 3.0, 4.0]",3.0,3.0,3.0,"Square antiprism, Square-face capped trigonal prism, Face-capped octahedron, Trigonal prism",2i,4,3.0,La,0.0,True
mp-1019896,La5S4NO2,2.43020650787395,0.0036545954864614,"[0, 1.0, 3.0, 4.0]",3.0,3.0,3.0,"Square antiprism, Square-face capped trigonal prism, Face-capped octahedron, Trigonal prism",2i,4,4.0,La,0.0,True
mp-1019968,LaZn(BO2)5,2.0426557230921865,0.4778613152946868,[10.0],3.0,3.0,3.0,Square-face bicapped square antiprism,4e,1,10.0,La,0.0,True
mp-1020057,LiLaO2,2.4133196232328347,0.1739038413529183,[7.0],3.0,3.0,3.0,Square-face capped trigonal prism,4e,1,7.0,La,0.0,True
mp-1020648,NaLaSiO4,2.5852689873008536,-0.0311349930217086,[8.0],3.0,3.0,3.0,"Square antiprism, Dodecahedron with triangular faces - p2345 plane normalized",4a,2,8.0,La,0.0,True
mp-10320,La2MgRhO6,1.4265870622017205,1.3189611729476174,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,4e,1,8.0,La,0.0,True
mp-10321,La2ZnRhO6,1.311091552546308,1.4268597672583083,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,4e,1,8.0,La,0.0,True
mp-1040126,LiLaMg30O32,2.2178258647934213,0.1256469031397427,[6.0],3.0,3.0,3.0,Octahedron,1b,1,6.0,La,0.0,True
mp-1040140,LiLaMg30O32,1.954012948861712,0.5068339055101483,[6.0],3.0,3.0,3.0,Octahedron,1c,1,6.0,La,0.0,True
mp-1040806,CaLaTaCrO6,1.151030337711251,1.6540010646078778,[7.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,4a,1,7.0,La,0.0,True
mp-1043825,CaLaTiFeO6,1.4762465195337455,1.1249188121077422,[8.0],3.0,3.0,3.0,Tricapped triangular prism (two square-face caps and one triangular-face cap),4a,1,8.0,La,0.0,True
mp-1043864,CaLaFeSbO6,1.1367815080223431,1.4893510655706357,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,1a,1,8.0,La,0.0,True
mp-1043874,CaLaFeNiO6,1.5943919177986774,0.9970479931743188,[8.0],3.0,3.0,3.0,Tricapped triangular prism (two square-face caps and one triangular-face cap),2a,1,8.0,La,0.0,True
mp-1043894,CaLaFeCoO6,0.5178442618556999,1.9573174161748867,[9.0],3.0,3.0,3.0,Tricapped triangular prism (two square-face caps and one triangular-face cap),2a,1,9.0,La,0.0,True
mp-1043895,CaLaCrFeO6,1.6012285438487903,1.0055375406276723,[8.0],3.0,3.0,3.0,Tricapped triangular prism (two square-face caps and one triangular-face cap),2a,1,8.0,La,0.0,True
mp-1043903,CaLaFeCuO6,1.685282773444133,0.9012620842997264,[8.0],3.0,3.0,3.0,Tricapped triangular prism (two square-face caps and one triangular-face cap),2a,1,8.0,La,0.0,True
mp-1043924,CaLaVFeO6,1.6735162782236994,0.93163273298719,[8.0],3.0,3.0,3.0,Tricapped triangular prism (two square-face caps and one triangular-face cap),2a,1,8.0,La,0.0,True
mp-1043948,CaLaFeSnO6,1.212494277004841,1.41119219708087,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,2a,1,8.0,La,0.0,True
mp-1043970,CaLaTaFeO6,1.3479493105827631,1.2552559498979896,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,4a,1,8.0,La,0.0,True
mp-1044000,CaLaFeMoO6,1.4123179925324991,1.2156636696218868,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,2a,1,8.0,La,0.0,True
mp-1044027,CaLaFeWO6,1.3602459012217345,1.2576226025416908,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,1a,1,8.0,La,0.0,True
mp-1048852,CaLaCr2O6,1.9119871347577508,0.4570185637757524,[8.0],2.0,2.0,2.0,Tricapped triangular prism (two square-face caps and one triangular-face cap),2a,1,8.0,La,0.0,True
mp-1048855,CaLaVCrO6,1.391648641772084,1.2039052830354382,[8.0],3.0,3.0,3.0,Tricapped triangular prism (two square-face caps and one triangular-face cap),2a,1,8.0,La,0.0,True
mp-1048863,CaLaCrMoO6,1.426731084833628,1.1721818241188884,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,1a,1,8.0,La,0.0,True
mp-1048919,CaLaCrSnO6,1.2083926839603234,1.4207796652272382,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,2a,1,8.0,La,0.0,True
mp-1077929,La2CuO4,2.0052879104456807,0.5248402184221556,[8.0],3.0,3.0,3.0,Cube,2e,1,8.0,La,0.0,True
mp-1078409,Ba2LaBiO6,2.3030340929366395,0.0972526475416992,[6.0],3.0,3.0,3.0,Octahedron,1c,1,6.0,La,0.0,True
mp-1095626,La2P2AuO,2.664593177363096,-0.3344968598304774,"[1.0, 3.0]",3.0,3.0,3.0,"Square-face capped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized",2i,2,1.0,La,0.0,True
mp-1095626,La2P2AuO,2.664593177363096,-0.3344968598304774,"[1.0, 3.0]",3.0,3.0,3.0,"Square-face capped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized",2i,2,3.0,La,0.0,True
mp-1102291,La3TaO7,1.925675840612032,0.6921813820237233,"[8.0, 6.0]",3.0,3.0,3.0,"Cube, Octahedron","1a, 2f",2,8.0,La,0.0,True
mp-1102291,La3TaO7,1.925675840612032,0.6921813820237233,"[8.0, 6.0]",3.0,3.0,3.0,"Cube, Octahedron","1a, 2f",2,6.0,La,0.0,True
mp-1104307,La3SbO3,1.864731128382641,0.858782855310389,[4.0],3.0,3.0,3.0,"Square non-coplanar, See-saw",2i,2,4.0,La,0.0,True
mp-1104930,KLaTiO4,1.7589907878804116,0.8293822020154635,[9.0],3.0,3.0,3.0,Tricapped triangular prism (three square-face caps),2c,1,9.0,La,0.0,True
mp-1105199,RbLaMnWO6,2.705842206874395,-0.0786104283736388,[8.0],3.0,3.0,3.0,Diminished icosahedron,2a,1,8.0,La,0.0,True
mp-1105217,BaLa2PdO5,0.3151040535829866,2.383626890710777,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,4h,1,8.0,La,0.0,True
mp-1105566,KLaMnWO6,2.795057239587229,-0.179342499564802,[8.0],3.0,3.0,3.0,Tricapped triangular prism (two square-face caps and one triangular-face cap),2a,1,8.0,La,0.0,True
mp-1105823,NaLaFeWO6,1.27993519667807,1.655046067322728,[7.0],3.0,3.0,3.0,Square-face bicapped square antiprism,2a,1,7.0,La,0.0,True
mp-1147637,La2Cu2O5,1.8099272639969808,0.8162761761505374,[8.0],3.0,3.0,3.0,Cube,4j,1,8.0,La,0.0,True
mp-11623,LaInO3,0.7815435021143877,2.0974817429086743,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,4c,1,8.0,La,0.0,True
mp-1172881,La6Ti3Se9O5,2.3193118184447847,0.2870517790750863,"[0, 1.0, 3.0, 5.0]",3.0,3.0,3.0,"Square antiprism, Square-face bicapped trigonal prism, Tricapped triangular prism (three square-face caps), Square-face capped trigonal prism",2i,4,0.0,La,0.0,True
mp-1172881,La6Ti3Se9O5,2.3193118184447847,0.2870517790750863,"[0, 1.0, 3.0, 5.0]",3.0,3.0,3.0,"Square antiprism, Square-face bicapped trigonal prism, Tricapped triangular prism (three square-face caps), Square-face capped trigonal prism",2i,4,1.0,La,0.0,True
mp-1172881,La6Ti3Se9O5,2.3193118184447847,0.2870517790750863,"[0, 1.0, 3.0, 5.0]",3.0,3.0,3.0,"Square antiprism, Square-face bicapped trigonal prism, Tricapped triangular prism (three square-face caps), Square-face capped trigonal prism",2i,4,3.0,La,0.0,True
mp-1172881,La6Ti3Se9O5,2.3193118184447847,0.2870517790750863,"[0, 1.0, 3.0, 5.0]",3.0,3.0,3.0,"Square antiprism, Square-face bicapped trigonal prism, Tricapped triangular prism (three square-face caps), Square-face capped trigonal prism",2i,4,5.0,La,0.0,True
mp-1173082,Na3Sr4La3Ti10O30,1.97960718703742,0.5963914320202266,"[8.0, 12.0]",3.0,3.0,3.0,Cuboctahedron,"1a, 2c",1,8.0,La,0.0,True
mp-1173082,Na3Sr4La3Ti10O30,1.97960718703742,0.5963914320202266,"[8.0, 12.0]",3.0,3.0,3.0,Cuboctahedron,"1a, 2c",1,12.0,La,0.0,True
mp-1173168,SrLaTaNiO6,2.1958080025949607,0.5470964302563488,"[5.0, 7.0]",3.0,3.0,3.0,"Square-face capped square prism, Diminished icosahedron, Pentagonal antiprism",1a,3,5.0,La,0.0,True
mp-1173168,SrLaTaNiO6,2.1958080025949607,0.5470964302563488,"[5.0, 7.0]",3.0,3.0,3.0,"Square-face capped square prism, Diminished icosahedron, Pentagonal antiprism",1a,3,7.0,La,0.0,True
mp-1173171,SrLaFeSnO6,1.1130497660616534,1.555289456570954,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,4a,1,8.0,La,0.0,True
mp-1173173,SrLaGaCuO5,2.362802122772364,0.1883167584624238,[7.0],3.0,3.0,3.0,Dodecahedron with triangular faces - p2345 plane normalized,1a,1,7.0,La,0.0,True
mp-1173178,SrLaCuRuO6,1.384788340348039,1.2196374793470297,[8.0],3.0,3.0,3.0,Square antiprism,2a,1,8.0,La,0.0,True
mp-1173198,Sr6La4Zn3(RuO10)2,1.933872684902428,0.6910659956554094,"[8.0, 9.0]",3.0,3.0,3.0,"Square-face bicapped trigonal prism, Tricapped triangular prism (three square-face caps)",1a,2,8.0,La,0.0,True
mp-1173198,Sr6La4Zn3(RuO10)2,1.933872684902428,0.6910659956554094,"[8.0, 9.0]",3.0,3.0,3.0,"Square-face bicapped trigonal prism, Tricapped triangular prism (three square-face caps)",1a,2,9.0,La,0.0,True
mp-1173222,Sr3LaCuRuO8,1.779198613432189,0.8126757823298864,[9.0],3.0,3.0,3.0,Tricapped triangular prism (three square-face caps),1a,1,9.0,La,0.0,True
mp-1173238,Sr3La3Zn2RuO12,1.6697286373232587,0.8967801962848106,[9.0],3.0,3.0,3.0,Tricapped triangular prism (three square-face caps),1a,1,9.0,La,0.0,True
mp-1173241,Sr3La7Ga(Co3O10)3,2.319598524790388,0.2816233936799532,"[9.0, 12.0]",3.0,3.0,3.0,"Square-face bicapped square antiprism, Diminished icosahedron, Cuboctahedron, Tridiminished icosahedron","1a, 1b, 2c",4,9.0,La,0.0,True
mp-1173241,Sr3La7Ga(Co3O10)3,2.319598524790388,0.2816233936799532,"[9.0, 12.0]",3.0,3.0,3.0,"Square-face bicapped square antiprism, Diminished icosahedron, Cuboctahedron, Tridiminished icosahedron","1a, 1b, 2c",4,12.0,La,0.0,True
mp-1173242,Sr3LaTa2(CoO6)2,2.76011384195476,0.0343886038017779,[12.0],3.0,3.0,3.0,Cuboctahedron,"1a, 1d",1,12.0,La,0.0,True
mp-1173245,Sr6La3Ti3Cu3O20,2.3809949802159127,0.2293526344952386,[9.0],3.0,3.0,3.0,Tricapped triangular prism (three square-face caps),1a,1,9.0,La,0.0,True
mp-1173247,Sr3LaCu2HgBiO10,1.7103944888758271,0.8142282603978842,[9.0],3.0,3.0,3.0,Tricapped triangular prism (three square-face caps),1a,1,9.0,La,0.0,True
mp-1173266,Sr2La2MgRuO8,1.8209020770214004,0.796938008559288,[9.0],3.0,3.0,3.0,Tricapped triangular prism (three square-face caps),2i,1,9.0,La,0.0,True
mp-1173267,Sr2La2MgMnO8,2.1570200872074894,0.4447375688741283,[9.0],3.0,3.0,3.0,Tricapped triangular prism (three square-face caps),2i,1,9.0,La,0.0,True
mp-1173271,Sr2La6FeCu7O20,2.29982017400152,0.3176367392456841,"[8.0, 10.0]",3.0,3.0,3.0,Bicapped square prism (adjacent faces),1b,1,8.0,La,0.0,True
mp-1173271,Sr2La6FeCu7O20,2.29982017400152,0.3176367392456841,"[8.0, 10.0]",3.0,3.0,3.0,Bicapped square prism (adjacent faces),1b,1,10.0,La,0.0,True
mp-1173276,Sr2La2FeCu3O10,2.6191366469024,0.0505945095452436,[10.0],3.0,3.0,3.0,Bicapped square prism (adjacent faces),4h,1,10.0,La,0.0,True
mp-1173567,NaLaMgWO6,0.4976035227913306,1.744972686712837,[11.0],3.0,3.0,3.0,Diminished icosahedron,2e,1,11.0,La,0.0,True
mp-1173608,NaLa5Mg4(WO6)4,2.4178207183893976,0.1855092805244713,"[11.0, 5.0, 7.0]",3.0,3.0,3.0,"Diminished icosahedron, Bicapped octahedron (cap faces with one atom in common)","1a, 2b",2,11.0,La,0.0,True
