CN,dominant_geometry,dominant_count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,dominant_fraction
1.0,"Cube, Square-face capped trigonal prism",2,1,2.174906107102665,2.174906107102665,0.0,1.0,1.0
2.0,"Trigonal prism, Triangular non-coplanar, Pentagonal pyramid",4,1,2.6985129576989437,2.756899447897104,0.058386490198160446,1.0,0.36363636363636365
3.0,Square non-coplanar,12,2,2.5220734833807823,2.546352471167219,0.018005282393049323,1.0,0.18181818181818182
4.0,Tetrahedron,35,8,2.1457283167456866,2.197440946456696,0.04771585809148008,0.6857142857142857,0.2845528455284553
5.0,Square pyramid,16,5,2.5639330541122276,2.7570895784927507,0.1531680832260188,0.8857142857142858,0.16494845360824742
6.0,Octahedron,171,43,2.169067909011786,2.3897540864496203,0.16064467176720174,0.9186274509803921,0.6063829787234043
7.0,Square-face capped trigonal prism,17,7,2.1285311271121627,2.361559056354473,0.1707975340020381,1.0,0.22666666666666666
8.0,Cube,19,7,2.2267516765762867,2.445935423543798,0.12659080967260908,1.0,0.1919191919191919
9.0,Tricapped triangular prism (one square-face cap and two triangular-face caps),5,4,2.7212291371312434,3.0275622176782444,0.15489899850435696,1.0,0.16666666666666666
10.0,Pentagonal antiprism,2,2,,,,,0.15384615384615385
11.0,Pentagonal-face capped pentagonal antiprism,7,7,,,,,0.875
12.0,Cuboctahedron,6,6,,,,,0.5454545454545454
14.0,no_data,2,2,,,,,1.0
15.0,no_data,2,2,,,,,0.6666666666666666
