CN,n_rows,n_unique_materials,R0_mean,B_mean,mean_charge_mean
1.0,1,1,1.9638662004040133,0.5319449624755792,3.0
2.0,6,6,2.3474538549122412,0.27242944100959066,1.3333333333333333
3.0,18,18,2.5509551166242614,0.13493104003905732,1.0277777777777777
4.0,36,35,2.6070560816104895,-1.1839661161226285,2.2222222222222223
5.0,25,24,2.154436366409294,0.4512698474303059,1.58
6.0,89,88,2.2501289399066016,0.48709229022290323,2.1320224719101124
7.0,32,32,1.9896947482485057,0.577631416051735,1.5365625
8.0,33,33,2.252457219121017,0.4736221560430452,1.5581818181818183
9.0,24,23,2.5791610062882593,0.2308157967159746,1.0
10.0,13,13,2.69618232050987,0.18637206638384504,1.0
11.0,8,8,2.6315624468930268,0.20799835502924224,1.0
12.0,11,11,2.922363076906446,0.11894862761767545,1.0
14.0,2,2,2.606589762344787,0.2378632830767912,1.0
15.0,3,3,2.0491827135975553,0.46477400900272875,1.0
