material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Tl_wyckoff,num_Tl_chemenvs,CN,element,charge_range,is_single_charge
mp-1194963,Tl2P4Pd3O14,2.110575592548239,0.4852660322016886,[8.0],1.0,1.0,1.0,Bicapped square prism (opposite faces),4h,1,8.0,Tl,0.0,True
mp-1196113,TlP(HO2)2,2.122792485079388,0.4662498841167705,"[6.0, 7.0, 8.0]",1.0,1.0,1.0,"Square-face bicapped trigonal prism, Square-face capped trigonal prism",2i,2,6.0,Tl,0.0,True
mp-1196113,TlP(HO2)2,2.122792485079388,0.4662498841167705,"[6.0, 7.0, 8.0]",1.0,1.0,1.0,"Square-face bicapped trigonal prism, Square-face capped trigonal prism",2i,2,7.0,Tl,0.0,True
mp-1196113,TlP(HO2)2,2.122792485079388,0.4662498841167705,"[6.0, 7.0, 8.0]",1.0,1.0,1.0,"Square-face bicapped trigonal prism, Square-face capped trigonal prism",2i,2,8.0,Tl,0.0,True
mp-1196566,Tl2TeH6SeO10,3.235066733785225,-0.0553522977634628,"[7.0, 8.0]",1.0,1.0,1.0,"Square-face bicapped trigonal prism, Tricapped triangular prism (three square-face caps)",4e,2,7.0,Tl,0.0,True
mp-1196566,Tl2TeH6SeO10,3.235066733785225,-0.0553522977634628,"[7.0, 8.0]",1.0,1.0,1.0,"Square-face bicapped trigonal prism, Tricapped triangular prism (three square-face caps)",4e,2,8.0,Tl,0.0,True
mp-1199029,TlP2HO7,2.05684135922228,0.3091076169873854,[6.0],3.0,3.0,3.0,Octahedron,4e,1,6.0,Tl,0.0,True
mp-1199100,Al2Tl3(PO4)3,2.63175088773932,0.2315414549566942,"[12.0, 2.0, 5.0]",1.0,1.0,1.0,"Tricapped octahedron (all 3 cap faces share one atom), Tricapped octahedron (cap faces are aligned), Truncated tetrahedron",4a,3,12.0,Tl,0.0,True
mp-1199100,Al2Tl3(PO4)3,2.63175088773932,0.2315414549566942,"[12.0, 2.0, 5.0]",1.0,1.0,1.0,"Tricapped octahedron (all 3 cap faces share one atom), Tricapped octahedron (cap faces are aligned), Truncated tetrahedron",4a,3,2.0,Tl,0.0,True
mp-1199100,Al2Tl3(PO4)3,2.63175088773932,0.2315414549566942,"[12.0, 2.0, 5.0]",1.0,1.0,1.0,"Tricapped octahedron (all 3 cap faces share one atom), Tricapped octahedron (cap faces are aligned), Truncated tetrahedron",4a,3,5.0,Tl,0.0,True
mp-1204480,Tl2Ag3(PO4)3,1.8272969369965728,0.6520331111092597,[6.0],3.0,3.0,3.0,Octahedron,4f,1,6.0,Tl,0.0,True
mp-1207730,YTl(MoO4)2,2.711412915443572,0.2024160605854005,[11.0],1.0,1.0,1.0,Pentagonal-face capped pentagonal antiprism,4c,1,11.0,Tl,0.0,True
mp-1207819,TmTl(MoO4)2,2.7627471048044243,0.1722450165206516,[11.0],1.0,1.0,1.0,Pentagonal-face capped pentagonal antiprism,4c,1,11.0,Tl,0.0,True
mp-1208013,TlV(SO4)2,2.8658881266398355,0.1417334015316493,[12.0],1.0,1.0,1.0,Cuboctahedron,1b,1,12.0,Tl,0.0,True
mp-1208039,TlGa(SO4)2,2.528354579832228,0.2492265441397031,[12.0],1.0,1.0,1.0,Icosahedron,1b,1,12.0,Tl,0.0,True
mp-1208041,TlCr(SO4)2,2.596633434610345,0.2368686313347284,[12.0],1.0,1.0,1.0,Cuboctahedron,1b,1,12.0,Tl,0.0,True
