material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Tl_wyckoff,num_Tl_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1191858,Tl4CuTeO6,2.302824221147516,0.3089904149000785,"[2.0, 3.0, 5.0]",1.0,1.0,1.0,"See-saw, Square pyramid, Triangular non-coplanar",2i,3,3.0,Tl,0.0,True,6.0,3.0,2.4970082707874215,2.9729402020899474,2.6920213570842324,0.20357251016587413,0.47593193130252587,77.5280378200853,20.082972628112948,62.62851469076261,105.91799619044512,3.0,1.0,3,"See-saw, Square pyramid, Triangular non-coplanar"
mp-1191858,Tl4CuTeO6,2.302824221147516,0.3089904149000785,"[2.0, 3.0, 5.0]",1.0,1.0,1.0,"See-saw, Square pyramid, Triangular non-coplanar",2i,3,3.0,Tl,0.0,True,7.0,3.0,2.497008270787421,2.972940202089948,2.6920213570842324,0.2035725101658746,0.47593193130252676,77.52803782008532,20.082972628112948,62.62851469076261,105.91799619044512,3.0,1.0,4,"See-saw, Square pyramid, Triangular non-coplanar"
mp-1191858,Tl4CuTeO6,2.302824221147516,0.3089904149000785,"[2.0, 3.0, 5.0]",1.0,1.0,1.0,"See-saw, Square pyramid, Triangular non-coplanar",2i,3,5.0,Tl,0.0,True,0.0,5.0,2.4450467618325105,3.1548347108918673,2.777443298933437,0.24795780326149755,0.7097879490593568,51.06692393144096,19.80492696075761,21.163170818480758,84.90711162077457,5.0,1.0,1,"See-saw, Square pyramid, Triangular non-coplanar"
mp-1191858,Tl4CuTeO6,2.302824221147516,0.3089904149000785,"[2.0, 3.0, 5.0]",1.0,1.0,1.0,"See-saw, Square pyramid, Triangular non-coplanar",2i,3,5.0,Tl,0.0,True,1.0,5.0,2.4450467618325087,3.1548347108918673,2.777443298933436,0.24795780326149816,0.7097879490593586,51.06692393144097,19.8049269607576,21.163170818480793,84.90711162077457,5.0,1.0,2,"See-saw, Square pyramid, Triangular non-coplanar"
mp-1191912,NaTl3Cu4(TeO6)2,2.0470663537639133,0.4769878664960892,[6.0],1.0,1.0,1.0,Octahedron,"2h, 1b",1,6.0,Tl,0.0,True,1.0,6.0,2.6352239144150404,3.039375755824959,2.8536485091349113,0.16660635272980867,0.40415184140991833,99.99965033650207,40.044687063983034,18.847868407793353,141.8666583667653,6.0,1.0,1,Octahedron
mp-1191912,NaTl3Cu4(TeO6)2,2.0470663537639133,0.4769878664960892,[6.0],1.0,1.0,1.0,Octahedron,"2h, 1b",1,6.0,Tl,0.0,True,2.0,6.0,2.6352239144150404,3.039375755824959,2.8536485091349117,0.16660635272980884,0.40415184140991833,99.99965033650206,40.04468706398302,18.847868407793353,141.8666583667653,6.0,1.0,2,Octahedron
mp-1191912,NaTl3Cu4(TeO6)2,2.0470663537639133,0.4769878664960892,[6.0],1.0,1.0,1.0,Octahedron,"2h, 1b",1,6.0,Tl,0.0,True,3.0,6.0,2.822860730974066,3.0970316067819077,3.00564131484596,0.12924539032505275,0.2741708758078416,71.66528039989551,31.15127850622839,31.906876838039864,121.17041665640937,6.0,1.0,3,Octahedron
mp-1194570,TlBi(SO4)2,3.1911637548155545,0.038698813391164,"[12.0, 14.0]",1.0,1.0,1.0,no_data,no_data,1,12.0,Tl,0.0,True,,,,,,,,,,,,,,0,no_data
mp-1194570,TlBi(SO4)2,3.1911637548155545,0.038698813391164,"[12.0, 14.0]",1.0,1.0,1.0,no_data,no_data,1,14.0,Tl,0.0,True,,,,,,,,,,,,,,0,no_data
mp-1194829,Tl2PO3,2.2846456363741647,0.3649221744079254,"[3.0, 5.0]",1.0,1.0,1.0,Square pyramid,8c,1,3.0,Tl,0.0,True,,,,,,,,,,,,,,0,Square pyramid
mp-1194829,Tl2PO3,2.2846456363741647,0.3649221744079254,"[3.0, 5.0]",1.0,1.0,1.0,Square pyramid,8c,1,5.0,Tl,0.0,True,8.0,5.0,2.6085681210615186,3.1140835794144706,2.842181663041452,0.1686090300529802,0.505515458352952,61.82887334030405,30.745697730509274,16.95516516949986,101.92447351698331,5.0,1.0,1,Square pyramid
mp-1194829,Tl2PO3,2.2846456363741647,0.3649221744079254,"[3.0, 5.0]",1.0,1.0,1.0,Square pyramid,8c,1,5.0,Tl,0.0,True,9.0,5.0,2.6085681210615186,3.11408357941447,2.8421816630414525,0.16860903005297978,0.5055154583529515,55.75690127486687,33.803726862134965,11.790590312157859,93.1244865331172,5.0,1.0,2,Square pyramid
mp-1194829,Tl2PO3,2.2846456363741647,0.3649221744079254,"[3.0, 5.0]",1.0,1.0,1.0,Square pyramid,8c,1,5.0,Tl,0.0,True,10.0,5.0,2.6085681210615195,3.11408357941447,2.8421816630414525,0.16860903005297978,0.5055154583529506,68.2686110175745,29.29199026581729,22.650623672591447,126.3019835630625,5.0,1.0,3,Square pyramid
mp-1194829,Tl2PO3,2.2846456363741647,0.3649221744079254,"[3.0, 5.0]",1.0,1.0,1.0,Square pyramid,8c,1,5.0,Tl,0.0,True,11.0,5.0,2.6085681210615186,3.1140835794144714,2.8421816630414525,0.16860903005298025,0.5055154583529529,74.99047033090483,32.28522549661346,18.42957415081876,117.93582979395096,5.0,1.0,4,Square pyramid
mp-1194829,Tl2PO3,2.2846456363741647,0.3649221744079254,"[3.0, 5.0]",1.0,1.0,1.0,Square pyramid,8c,1,5.0,Tl,0.0,True,12.0,5.0,2.6085681210615186,3.1140835794144714,2.842181663041454,0.16860903005298025,0.5055154583529529,61.82887334030405,30.745697730509278,16.95516516949984,101.9244735169833,5.0,1.0,5,Square pyramid
mp-1194829,Tl2PO3,2.2846456363741647,0.3649221744079254,"[3.0, 5.0]",1.0,1.0,1.0,Square pyramid,8c,1,5.0,Tl,0.0,True,13.0,5.0,2.608568121061519,3.1140835794144723,2.8421816630414525,0.1686090300529805,0.5055154583529533,55.75690127486685,33.80372686213499,11.790590312157796,93.12448653311722,5.0,1.0,6,Square pyramid
mp-1194829,Tl2PO3,2.2846456363741647,0.3649221744079254,"[3.0, 5.0]",1.0,1.0,1.0,Square pyramid,8c,1,5.0,Tl,0.0,True,14.0,5.0,2.608568121061519,3.1140835794144706,2.842181663041453,0.1686090300529799,0.5055154583529515,68.2686110175745,29.29199026581729,22.65062367259148,126.30198356306254,5.0,1.0,7,Square pyramid
mp-1194829,Tl2PO3,2.2846456363741647,0.3649221744079254,"[3.0, 5.0]",1.0,1.0,1.0,Square pyramid,8c,1,5.0,Tl,0.0,True,15.0,5.0,2.6085681210615204,3.1140835794144697,2.8421816630414525,0.16860903005297936,0.5055154583529493,74.9904703309048,32.28522549661344,18.42957415081876,117.93582979395092,5.0,1.0,8,Square pyramid
mp-1194874,TlB3O5,1.4735791346016318,0.8385630932425345,[5.0],1.0,1.0,1.0,End-trigonal-face capped trigonal prism,4f,1,5.0,Tl,0.0,True,0.0,5.0,2.6988220060746215,2.8911790249797096,2.8161577433468197,0.06802769002046821,0.19235701890508805,69.0636208582508,32.532204770427725,20.181040218023888,127.19070805179844,5.0,1.0,1,End-trigonal-face capped trigonal prism
mp-1194874,TlB3O5,1.4735791346016318,0.8385630932425345,[5.0],1.0,1.0,1.0,End-trigonal-face capped trigonal prism,4f,1,5.0,Tl,0.0,True,1.0,5.0,2.6988220060746224,2.89117902497971,2.81615774334682,0.0680276900204679,0.1923570189050876,103.91693101194774,35.611841792600636,49.80787335587997,158.0050011252956,5.0,1.0,2,End-trigonal-face capped trigonal prism
mp-1194874,TlB3O5,1.4735791346016318,0.8385630932425345,[5.0],1.0,1.0,1.0,End-trigonal-face capped trigonal prism,4f,1,5.0,Tl,0.0,True,2.0,5.0,2.698822006074623,2.8911790249797105,2.81615774334682,0.06802769002046773,0.1923570189050876,69.0636208582508,32.53220477042773,20.181040218023888,127.19070805179844,5.0,1.0,3,End-trigonal-face capped trigonal prism
mp-1194874,TlB3O5,1.4735791346016318,0.8385630932425345,[5.0],1.0,1.0,1.0,End-trigonal-face capped trigonal prism,4f,1,5.0,Tl,0.0,True,3.0,5.0,2.6988220060746215,2.89117902497971,2.8161577433468197,0.06802769002046816,0.1923570189050885,103.91693101194771,35.61184179260064,49.80787335587997,158.0050011252956,5.0,1.0,4,End-trigonal-face capped trigonal prism
mp-1194963,Tl2P4Pd3O14,2.110575592548239,0.4852660322016886,[8.0],1.0,1.0,1.0,Bicapped square prism (opposite faces),4h,1,8.0,Tl,0.0,True,,,,,,,,,,,,,,0,Bicapped square prism (opposite faces)
mp-1196113,TlP(HO2)2,2.122792485079388,0.4662498841167705,"[6.0, 7.0, 8.0]",1.0,1.0,1.0,"Square-face bicapped trigonal prism, Square-face capped trigonal prism",2i,2,6.0,Tl,0.0,True,0.0,6.0,2.898818951340107,3.163313096879819,2.997312863995013,0.0925303328759123,0.26449414553971184,70.89563549743674,35.26645682038823,16.799693901455647,140.3027987663036,6.0,1.0,1,"Square-face bicapped trigonal prism, Square-face capped trigonal prism"
mp-1196113,TlP(HO2)2,2.122792485079388,0.4662498841167705,"[6.0, 7.0, 8.0]",1.0,1.0,1.0,"Square-face bicapped trigonal prism, Square-face capped trigonal prism",2i,2,6.0,Tl,0.0,True,1.0,6.0,2.898818951340108,3.1633130968798184,2.997312863995012,0.09253033287591222,0.2644941455397105,70.89563549743676,35.26645682038823,16.799693901455626,140.30279876630357,6.0,1.0,2,"Square-face bicapped trigonal prism, Square-face capped trigonal prism"
mp-1196113,TlP(HO2)2,2.122792485079388,0.4662498841167705,"[6.0, 7.0, 8.0]",1.0,1.0,1.0,"Square-face bicapped trigonal prism, Square-face capped trigonal prism",2i,2,6.0,Tl,0.0,True,2.0,6.0,2.8735369994511877,3.144369824501576,2.979136510763985,0.09721225457895981,0.2708328250503884,86.25998108533673,33.71899101718165,25.610489762300734,155.96851834247835,6.0,1.0,3,"Square-face bicapped trigonal prism, Square-face capped trigonal prism"
mp-1196113,TlP(HO2)2,2.122792485079388,0.4662498841167705,"[6.0, 7.0, 8.0]",1.0,1.0,1.0,"Square-face bicapped trigonal prism, Square-face capped trigonal prism",2i,2,6.0,Tl,0.0,True,3.0,6.0,2.873536999451189,3.144369824501573,2.979136510763985,0.09721225457895924,0.270832825050384,86.25998108533675,33.71899101718166,25.610489762300734,155.96851834247838,6.0,1.0,4,"Square-face bicapped trigonal prism, Square-face capped trigonal prism"
mp-1196113,TlP(HO2)2,2.122792485079388,0.4662498841167705,"[6.0, 7.0, 8.0]",1.0,1.0,1.0,"Square-face bicapped trigonal prism, Square-face capped trigonal prism",2i,2,7.0,Tl,0.0,True,4.0,7.0,2.7655619333724304,3.1823464217487327,3.0364586606513186,0.13478004344031172,0.41678448837630233,69.5343948499228,30.00820950354115,13.357096322551323,132.02490662306857,7.0,1.0,1,"Square-face bicapped trigonal prism, Square-face capped trigonal prism"
mp-1196113,TlP(HO2)2,2.122792485079388,0.4662498841167705,"[6.0, 7.0, 8.0]",1.0,1.0,1.0,"Square-face bicapped trigonal prism, Square-face capped trigonal prism",2i,2,7.0,Tl,0.0,True,5.0,7.0,2.7655619333724313,3.182346421748731,3.0364586606513178,0.1347800434403113,0.41678448837629967,69.53439484992279,30.008209503541146,13.357096322551323,132.02490662306855,7.0,1.0,2,"Square-face bicapped trigonal prism, Square-face capped trigonal prism"
mp-1196113,TlP(HO2)2,2.122792485079388,0.4662498841167705,"[6.0, 7.0, 8.0]",1.0,1.0,1.0,"Square-face bicapped trigonal prism, Square-face capped trigonal prism",2i,2,8.0,Tl,0.0,True,,,,,,,,,,,,,,0,"Square-face bicapped trigonal prism, Square-face capped trigonal prism"
mp-1196566,Tl2TeH6SeO10,3.235066733785225,-0.0553522977634628,"[7.0, 8.0]",1.0,1.0,1.0,"Square-face bicapped trigonal prism, Tricapped triangular prism (three square-face caps)",4e,2,7.0,Tl,0.0,True,,,,,,,,,,,,,,0,"Square-face bicapped trigonal prism, Tricapped triangular prism (three square-face caps)"
mp-1196566,Tl2TeH6SeO10,3.235066733785225,-0.0553522977634628,"[7.0, 8.0]",1.0,1.0,1.0,"Square-face bicapped trigonal prism, Tricapped triangular prism (three square-face caps)",4e,2,8.0,Tl,0.0,True,0.0,8.0,2.916201621529327,3.176564302937454,3.0702748427284643,0.08785656943638903,0.260362681408127,56.886390029834054,24.51464307203345,11.80669934417314,105.99664213180397,8.0,1.0,1,"Square-face bicapped trigonal prism, Tricapped triangular prism (three square-face caps)"
mp-1196566,Tl2TeH6SeO10,3.235066733785225,-0.0553522977634628,"[7.0, 8.0]",1.0,1.0,1.0,"Square-face bicapped trigonal prism, Tricapped triangular prism (three square-face caps)",4e,2,8.0,Tl,0.0,True,1.0,8.0,2.9162016215293267,3.1765643029374555,3.0702748427284643,0.08785656943638916,0.2603626814081288,90.25633330099443,33.91997841634531,16.84450078193612,161.22206603750683,8.0,1.0,2,"Square-face bicapped trigonal prism, Tricapped triangular prism (three square-face caps)"
mp-1196566,Tl2TeH6SeO10,3.235066733785225,-0.0553522977634628,"[7.0, 8.0]",1.0,1.0,1.0,"Square-face bicapped trigonal prism, Tricapped triangular prism (three square-face caps)",4e,2,8.0,Tl,0.0,True,2.0,8.0,2.9162016215293285,3.176564302937454,3.0702748427284643,0.08785656943638827,0.2603626814081257,56.886390029834054,24.514643072033447,11.806699344173202,105.99664213180397,8.0,1.0,3,"Square-face bicapped trigonal prism, Tricapped triangular prism (three square-face caps)"
mp-1196566,Tl2TeH6SeO10,3.235066733785225,-0.0553522977634628,"[7.0, 8.0]",1.0,1.0,1.0,"Square-face bicapped trigonal prism, Tricapped triangular prism (three square-face caps)",4e,2,8.0,Tl,0.0,True,3.0,8.0,2.9162016215293285,3.176564302937454,3.0702748427284643,0.0878565694363886,0.2603626814081257,90.25633330099444,33.9199784163453,16.84450078193612,161.22206603750686,8.0,1.0,4,"Square-face bicapped trigonal prism, Tricapped triangular prism (three square-face caps)"
mp-1199029,TlP2HO7,2.05684135922228,0.3091076169873854,[6.0],3.0,3.0,3.0,Octahedron,4e,1,6.0,Tl,0.0,True,,,,,,,,,,,,,,0,Octahedron
mp-1199100,Al2Tl3(PO4)3,2.63175088773932,0.2315414549566942,"[12.0, 2.0, 5.0]",1.0,1.0,1.0,"Tricapped octahedron (all 3 cap faces share one atom), Tricapped octahedron (cap faces are aligned), Truncated tetrahedron",4a,3,12.0,Tl,0.0,True,,,,,,,,,,,,,,0,"Tricapped octahedron (all 3 cap faces share one atom), Tricapped octahedron (cap faces are aligned), Truncated tetrahedron"
mp-1199100,Al2Tl3(PO4)3,2.63175088773932,0.2315414549566942,"[12.0, 2.0, 5.0]",1.0,1.0,1.0,"Tricapped octahedron (all 3 cap faces share one atom), Tricapped octahedron (cap faces are aligned), Truncated tetrahedron",4a,3,2.0,Tl,0.0,True,,,,,,,,,,,,,,0,"Tricapped octahedron (all 3 cap faces share one atom), Tricapped octahedron (cap faces are aligned), Truncated tetrahedron"
mp-1199100,Al2Tl3(PO4)3,2.63175088773932,0.2315414549566942,"[12.0, 2.0, 5.0]",1.0,1.0,1.0,"Tricapped octahedron (all 3 cap faces share one atom), Tricapped octahedron (cap faces are aligned), Truncated tetrahedron",4a,3,5.0,Tl,0.0,True,12.0,5.0,2.7587657922489655,3.151638999477983,2.9476227344571906,0.15763978310940785,0.39287320722901775,84.27209971214818,31.868738697602524,23.7288802923041,138.54226217864962,5.0,1.0,1,"Tricapped octahedron (all 3 cap faces share one atom), Tricapped octahedron (cap faces are aligned), Truncated tetrahedron"
mp-1199100,Al2Tl3(PO4)3,2.63175088773932,0.2315414549566942,"[12.0, 2.0, 5.0]",1.0,1.0,1.0,"Tricapped octahedron (all 3 cap faces share one atom), Tricapped octahedron (cap faces are aligned), Truncated tetrahedron",4a,3,5.0,Tl,0.0,True,13.0,5.0,2.758765792248966,3.151638999477981,2.94762273445719,0.15763978310940716,0.3928732072290151,84.27209971214816,31.86873869760253,23.7288802923041,138.54226217864965,5.0,1.0,2,"Tricapped octahedron (all 3 cap faces share one atom), Tricapped octahedron (cap faces are aligned), Truncated tetrahedron"
mp-1199100,Al2Tl3(PO4)3,2.63175088773932,0.2315414549566942,"[12.0, 2.0, 5.0]",1.0,1.0,1.0,"Tricapped octahedron (all 3 cap faces share one atom), Tricapped octahedron (cap faces are aligned), Truncated tetrahedron",4a,3,5.0,Tl,0.0,True,14.0,5.0,2.7587657922489646,3.15163899947798,2.9476227344571893,0.15763978310940718,0.39287320722901553,86.10853740959492,38.27947564262303,17.243100282641514,137.1233475838555,5.0,1.0,3,"Tricapped octahedron (all 3 cap faces share one atom), Tricapped octahedron (cap faces are aligned), Truncated tetrahedron"
mp-1199100,Al2Tl3(PO4)3,2.63175088773932,0.2315414549566942,"[12.0, 2.0, 5.0]",1.0,1.0,1.0,"Tricapped octahedron (all 3 cap faces share one atom), Tricapped octahedron (cap faces are aligned), Truncated tetrahedron",4a,3,5.0,Tl,0.0,True,15.0,5.0,2.7587657922489655,3.151638999477979,2.94762273445719,0.15763978310940657,0.39287320722901375,86.1085374095949,38.27947564262303,17.24310028264153,137.1233475838555,5.0,1.0,4,"Tricapped octahedron (all 3 cap faces share one atom), Tricapped octahedron (cap faces are aligned), Truncated tetrahedron"
mp-1199100,Al2Tl3(PO4)3,2.63175088773932,0.2315414549566942,"[12.0, 2.0, 5.0]",1.0,1.0,1.0,"Tricapped octahedron (all 3 cap faces share one atom), Tricapped octahedron (cap faces are aligned), Truncated tetrahedron",4a,3,5.0,Tl,0.0,True,16.0,5.0,2.7884013351516597,3.160905845860114,2.949289799744842,0.1430858473586768,0.37250451070845436,84.39898353907589,31.734593735504532,23.49633043442791,138.02309364312487,5.0,1.0,5,"Tricapped octahedron (all 3 cap faces share one atom), Tricapped octahedron (cap faces are aligned), Truncated tetrahedron"
mp-1199100,Al2Tl3(PO4)3,2.63175088773932,0.2315414549566942,"[12.0, 2.0, 5.0]",1.0,1.0,1.0,"Tricapped octahedron (all 3 cap faces share one atom), Tricapped octahedron (cap faces are aligned), Truncated tetrahedron",4a,3,5.0,Tl,0.0,True,17.0,5.0,2.7884013351516588,3.1609058458601145,2.949289241155847,0.1430855125396769,0.3725045107084557,37.988147829251126,21.906194728164863,8.05659929227419,68.34119908232871,5.0,1.0,6,"Tricapped octahedron (all 3 cap faces share one atom), Tricapped octahedron (cap faces are aligned), Truncated tetrahedron"
mp-1199100,Al2Tl3(PO4)3,2.63175088773932,0.2315414549566942,"[12.0, 2.0, 5.0]",1.0,1.0,1.0,"Tricapped octahedron (all 3 cap faces share one atom), Tricapped octahedron (cap faces are aligned), Truncated tetrahedron",4a,3,5.0,Tl,0.0,True,18.0,5.0,2.788401335151659,3.1609058458601145,2.949289799744842,0.1430858473586772,0.37250451070845525,44.99096870057119,22.9419424323495,7.405725448468161,76.34539146305742,5.0,1.0,7,"Tricapped octahedron (all 3 cap faces share one atom), Tricapped octahedron (cap faces are aligned), Truncated tetrahedron"
mp-1199100,Al2Tl3(PO4)3,2.63175088773932,0.2315414549566942,"[12.0, 2.0, 5.0]",1.0,1.0,1.0,"Tricapped octahedron (all 3 cap faces share one atom), Tricapped octahedron (cap faces are aligned), Truncated tetrahedron",4a,3,5.0,Tl,0.0,True,19.0,5.0,2.78840133515166,3.160905845860114,2.949289241155848,0.14308551253967675,0.3725045107084539,86.18915612207425,38.61198329836059,17.161304544586333,139.56384374730348,5.0,1.0,8,"Tricapped octahedron (all 3 cap faces share one atom), Tricapped octahedron (cap faces are aligned), Truncated tetrahedron"
mp-1204480,Tl2Ag3(PO4)3,1.8272969369965728,0.6520331111092597,[6.0],3.0,3.0,3.0,Octahedron,4f,1,6.0,Tl,0.0,True,0.0,6.0,2.19216228012357,2.3745258007306638,2.277446395107182,0.06343710892710167,0.18236352060709393,86.70783291535503,35.45421865644791,21.666694244999785,163.66392080711353,6.0,1.0,1,Octahedron
mp-1204480,Tl2Ag3(PO4)3,1.8272969369965728,0.6520331111092597,[6.0],3.0,3.0,3.0,Octahedron,4f,1,6.0,Tl,0.0,True,1.0,6.0,2.1921622801235716,2.374525800730664,2.2774463951071824,0.0634371089271018,0.1823635206070926,78.39793222383705,28.784123314393568,19.5463707093893,126.37638526008358,6.0,1.0,2,Octahedron
mp-1204480,Tl2Ag3(PO4)3,1.8272969369965728,0.6520331111092597,[6.0],3.0,3.0,3.0,Octahedron,4f,1,6.0,Tl,0.0,True,2.0,6.0,2.192162280123571,2.3745258007306647,2.2774463951071824,0.06343710892710186,0.1823635206070935,86.707832915355,35.45421865644791,21.666694244999785,163.66392080711356,6.0,1.0,3,Octahedron
