material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Tl_wyckoff,num_Tl_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1025154,UTl2O4,3.074706935776933,-0.0015211272409708,[9.0],1.0,1.0,1.0,Tricapped triangular prism (three square-face caps),2e,1,9.0,Tl,0.0,True,1.0,9.0,2.839364154986945,3.0743433389212984,3.044918836479612,0.07269598189838054,0.23497918393435357,83.83511983755392,48.97662988906164,0.0,135.14424852411332,9.0,1.0,1,Tricapped triangular prism (three square-face caps)
mp-1025154,UTl2O4,3.074706935776933,-0.0015211272409708,[9.0],1.0,1.0,1.0,Tricapped triangular prism (three square-face caps),2e,1,9.0,Tl,0.0,True,2.0,9.0,2.8393591497468553,3.0743424724108888,3.0449191748065436,0.07269785591967448,0.23498332266403343,41.40921885816388,27.722330640523424,0.0,94.40515578479172,9.0,1.0,2,Tricapped triangular prism (three square-face caps)
mp-1105306,TlCrO3,0.5592569334851503,2.147525066320596,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,4c,1,8.0,Tl,0.0,True,0.0,8.0,2.2496355520616733,2.7958070405522184,2.482076985045333,0.2225055510649864,0.5461714884905451,94.41247846499644,33.431194397895275,15.837399246404551,159.39173398832497,8.0,1.0,1,Square-face bicapped trigonal prism
mp-1105306,TlCrO3,0.5592569334851503,2.147525066320596,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,4c,1,8.0,Tl,0.0,True,1.0,8.0,2.2496355520616733,2.7958070405522193,2.4820769850453335,0.2225055510649867,0.546171488490546,49.432568754825276,19.404793676548575,22.236214138478324,90.78302923385606,8.0,1.0,2,Square-face bicapped trigonal prism
mp-1105306,TlCrO3,0.5592569334851503,2.147525066320596,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,4c,1,8.0,Tl,0.0,True,2.0,8.0,2.2496355520616724,2.795807040552217,2.4820769850453326,0.22250555106498632,0.5461714884905446,94.41247846499644,33.43119439789526,15.837399246404576,159.39173398832492,8.0,1.0,3,Square-face bicapped trigonal prism
mp-1105306,TlCrO3,0.5592569334851503,2.147525066320596,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,4c,1,8.0,Tl,0.0,True,3.0,8.0,2.249635552061672,2.7958070405522184,2.4820769850453335,0.2225055510649867,0.5461714884905464,49.43256875482526,19.404793676548575,22.236214138478356,90.78302923385603,8.0,1.0,4,Square-face bicapped trigonal prism
mp-1173221,Sr4Ca2TlCu4PbO14,1.5438985944306705,1.311499176413586,[6.0],3.0,3.0,3.0,Octahedron,1b,1,6.0,Tl,0.0,True,6.0,6.0,2.081573276298941,2.6873659998541317,2.4854350920024015,0.2855734285462279,0.6057927235551905,64.64683491960277,74.80528727138369,0.0,180.0,2.0,0.3333333333333333,1,Octahedron
mp-1178146,K2TlPCO7,1.4061213129185712,1.2997593431925631,[6.0],3.0,3.0,3.0,Octahedron,2e,1,6.0,Tl,0.0,True,4.0,6.0,2.214978654107152,2.383110960783726,2.321136366096568,0.05805362362881429,0.1681323066765743,87.20553572051858,36.14186246163611,3.3490017382630537,172.80593194871244,6.0,1.0,1,Octahedron
mp-1178146,K2TlPCO7,1.4061213129185712,1.2997593431925631,[6.0],3.0,3.0,3.0,Octahedron,2e,1,6.0,Tl,0.0,True,5.0,6.0,2.214978654107152,2.3831109607837258,2.321136366096567,0.05805362362881434,0.16813230667657386,87.20553572051858,36.14186246163611,3.3490017382630537,172.80593194871244,6.0,1.0,2,Octahedron
mp-1178147,K3TlPCO7,3.687767907928253,-1.6098680974318094,[6.0],3.0,3.0,3.0,Octahedron,2e,1,6.0,Tl,0.0,True,6.0,6.0,2.464240577503137,2.709174243591577,2.5807500327393806,0.09099622771694502,0.24493366608844003,87.68369445133546,36.938747596404056,4.863155686527359,173.24699562015337,6.0,1.0,1,Octahedron
mp-1178147,K3TlPCO7,3.687767907928253,-1.6098680974318094,[6.0],3.0,3.0,3.0,Octahedron,2e,1,6.0,Tl,0.0,True,7.0,6.0,2.4642405775031357,2.709174243591579,2.5807500327393806,0.09099622771694572,0.24493366608844314,87.68369445133544,36.93874759640406,4.863155686527209,173.24699562015323,6.0,1.0,2,Octahedron
mp-1190230,TlPHO3,3.158689123705634,-0.009880640291445,[7.0],1.0,1.0,1.0,Square-face capped trigonal prism,4e,1,7.0,Tl,0.0,True,,,,,,,,,,,,,,0,Square-face capped trigonal prism
mp-1191720,TlAgTeO3,2.511987987480869,0.228886682605567,[5.0],1.0,1.0,1.0,Octahedron,4c,1,5.0,Tl,0.0,True,0.0,5.0,2.618231973108958,3.162728686026332,2.834646010697011,0.1927414919226601,0.5444967129173741,77.5125982893581,53.907819524651046,8.537736462515939e-07,166.75039585061052,5.0,1.0,1,Octahedron
mp-1191720,TlAgTeO3,2.511987987480869,0.228886682605567,[5.0],1.0,1.0,1.0,Octahedron,4c,1,5.0,Tl,0.0,True,1.0,5.0,2.618231972880454,3.16272868600802,2.8346469151003646,0.19274104413281787,0.544496713127566,77.51256325519769,53.907839258827934,0.0,166.7503958493958,5.0,1.0,2,Octahedron
mp-1191720,TlAgTeO3,2.511987987480869,0.228886682605567,[5.0],1.0,1.0,1.0,Octahedron,4c,1,5.0,Tl,0.0,True,2.0,5.0,2.618231973085437,3.1627286859266044,2.8346460106830156,0.19274149189513812,0.5444967128411675,53.82646804645093,27.425042720246644,0.0,89.0396909854185,5.0,1.0,3,Octahedron
mp-1191720,TlAgTeO3,2.511987987480869,0.228886682605567,[5.0],1.0,1.0,1.0,Octahedron,4c,1,5.0,Tl,0.0,True,3.0,5.0,2.618231972912913,3.162728685967043,2.8346470919564988,0.19274095652988885,0.54449671305413,58.504798428410595,25.83221476169652,0.0,89.39791516695114,5.0,1.0,4,Octahedron
mp-1191858,Tl4CuTeO6,2.302824221147516,0.3089904149000785,"[2.0, 3.0, 5.0]",1.0,1.0,1.0,"See-saw, Square pyramid, Triangular non-coplanar",2i,3,2.0,Tl,0.0,True,,,,,,,,,,,,,,0,"See-saw, Square pyramid, Triangular non-coplanar"
mp-1191858,Tl4CuTeO6,2.302824221147516,0.3089904149000785,"[2.0, 3.0, 5.0]",1.0,1.0,1.0,"See-saw, Square pyramid, Triangular non-coplanar",2i,3,3.0,Tl,0.0,True,2.0,3.0,2.4683249752186454,2.621190295923936,2.547185239538963,0.06250136719386974,0.15286532070529057,63.64973973099929,26.940305890920524,29.581508405419022,95.45500406288805,3.0,1.0,1,"See-saw, Square pyramid, Triangular non-coplanar"
mp-1191858,Tl4CuTeO6,2.302824221147516,0.3089904149000785,"[2.0, 3.0, 5.0]",1.0,1.0,1.0,"See-saw, Square pyramid, Triangular non-coplanar",2i,3,3.0,Tl,0.0,True,3.0,3.0,2.4683249752186467,2.621190295923937,2.5471852395389636,0.06250136719386956,0.15286532070529013,63.64973973099927,26.940305890920513,29.581508405419033,95.45500406288804,3.0,1.0,2,"See-saw, Square pyramid, Triangular non-coplanar"
