CN,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean
1.0,2,1,2.174906107102665,2.174906107102665,0.0,1.0
2.0,11,6,2.540269178068334,2.5694624231674146,0.029193245099080438,1.0
3.0,66,18,2.591125346800243,2.636492002875919,0.04681048660264478,1.0
4.0,123,35,2.385361922718883,2.5035860511434036,0.11036950774824517,0.8934782608695652
5.0,97,24,2.5830095963849766,2.7623921004662706,0.13547824271900993,0.9659574468085106
6.0,282,88,2.3352102757028863,2.525702506997745,0.14273844151598622,0.9401234567901235
7.0,75,32,2.3900878406703043,2.6307304740752255,0.14200324634590614,1.0
8.0,99,33,2.5732390460994963,2.775502882330594,0.1308677829352137,1.0
9.0,30,23,2.8502434705114994,3.0479137209088423,0.11621374827456184,1.0
10.0,13,13,,,,
11.0,8,8,,,,
12.0,11,11,,,,
14.0,2,2,,,,
15.0,3,3,,,,
