CN,dominant_geometry,dominant_count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,dominant_fraction
1.0,Octahedron,27,7,1.961449891399537,1.961449891399537,0.0,1.0,1.0
2.0,Octahedron,3,3,1.9702231422710188,1.970223142271019,2.003661519061467e-16,1.0,1.0
3.0,Trigonal plane,8,1,1.8643008109835648,1.8655169808416145,0.001611289096012239,1.0,0.8888888888888888
4.0,Tetrahedron,71,19,1.93446728870606,1.9611008808918247,0.024592971441863606,1.0,0.3622448979591837
5.0,Octahedron,56,21,2.0328261212078633,2.072570621104211,0.03406103662127722,0.9829787234042554,0.3181818181818182
6.0,Octahedron,5809,878,1.976337373205232,2.0340474739316035,0.051635807845639016,0.9997697576699477,0.925
8.0,Cube,6,2,2.1472241351879755,2.285477078885616,0.1407669510367968,1.0,1.0
