material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ni_wyckoff,num_Ni_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1040979,Zn(NiO2)2,1.8966882210791725,0.1222867762578885,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron",1a,2,6.0,Ni,0.0,True,11.0,6.0,1.9199549267850693,2.08917199942999,1.9821826847918798,0.07288734426244124,0.16921707264492092,57.497860741392415,27.40844136851397,23.583476041440136,101.11878950488052,6.0,1.0,6,"Tetrahedron, Octahedron"
mp-1040979,Zn(NiO2)2,1.8966882210791725,0.1222867762578885,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron",1a,2,6.0,Ni,0.0,True,12.0,6.0,1.8833873370428778,1.9255059723095522,1.902401025730903,0.012989111991035286,0.042118635266674476,79.27262893088388,35.97352921077342,26.017883457029352,177.74538712363224,6.0,1.0,7,"Tetrahedron, Octahedron"
mp-1040979,Zn(NiO2)2,1.8966882210791725,0.1222867762578885,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron",1a,2,6.0,Ni,0.0,True,13.0,6.0,1.8792971860182437,2.060794260917173,1.9741976030332715,0.06791078432139254,0.18149707489892952,63.458392888811325,29.173363099651404,22.769237183210056,110.64515231246864,6.0,1.0,8,"Tetrahedron, Octahedron"
mp-1040979,Zn(NiO2)2,1.8966882210791725,0.1222867762578885,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron",1a,2,6.0,Ni,0.0,True,14.0,6.0,2.0310838027410116,2.088152877014416,2.0558938952114523,0.021002564969801372,0.057069074273404574,60.0102970491781,24.188382010969768,22.480605467016282,88.88886889433209,6.0,1.0,9,"Tetrahedron, Octahedron"
mp-1040979,Zn(NiO2)2,1.8966882210791725,0.1222867762578885,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron",1a,2,6.0,Ni,0.0,True,15.0,6.0,1.9134753305144834,2.0862356992388627,1.9773309333681723,0.07393816413784288,0.17276036872437928,64.93940431535873,25.135939942940603,28.88753318201936,100.73322270236798,6.0,1.0,10,"Tetrahedron, Octahedron"
mp-1040979,Zn(NiO2)2,1.8966882210791725,0.1222867762578885,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron",1a,2,6.0,Ni,0.0,True,16.0,6.0,1.8944105363812183,2.0336256088217444,1.9792918685912246,0.05016674640703296,0.1392150724405261,107.60496699602199,35.64047386380768,78.93382585471434,178.49025525193122,6.0,1.0,11,"Tetrahedron, Octahedron"
mp-1041000,Mg(NiO2)2,1.7456834190858808,0.3591169279534734,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","3d, 1a, 1b",2,4.0,Ni,0.0,True,17.0,4.0,1.8601331426399978,1.8650407166645129,1.8638137520871092,0.0021250008558638864,0.004907574024515027,52.391025216198585,26.62831687975317,21.39658113684273,82.06717046818925,4.0,1.0,1,"Tetrahedron, Octahedron"
mp-1041000,Mg(NiO2)2,1.7456834190858808,0.3591169279534734,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","3d, 1a, 1b",2,6.0,Ni,0.0,True,6.0,6.0,1.9197176232601791,2.0873784607400214,1.968934423871849,0.06456541445088661,0.16766083747984228,60.973927516783505,24.087267135793493,22.0519821035896,88.45355915412073,6.0,1.0,1,"Tetrahedron, Octahedron"
mp-1041000,Mg(NiO2)2,1.7456834190858808,0.3591169279534734,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","3d, 1a, 1b",2,6.0,Ni,0.0,True,7.0,6.0,1.9197132495210054,2.0873783401724157,1.968932760880188,0.06456645708943193,0.16766509065141033,100.16360999208402,38.72999382955735,29.90716935287462,178.82504807229898,6.0,1.0,2,"Tetrahedron, Octahedron"
mp-1041000,Mg(NiO2)2,1.7456834190858808,0.3591169279534734,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","3d, 1a, 1b",2,6.0,Ni,0.0,True,8.0,6.0,1.9657748824662071,2.0127589711985263,1.9851247034549846,0.016218267977507674,0.046984088732319185,60.3418599468828,23.514760745838178,25.527555654837855,86.13488772708287,6.0,1.0,3,"Tetrahedron, Octahedron"
mp-1041000,Mg(NiO2)2,1.7456834190858808,0.3591169279534734,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","3d, 1a, 1b",2,6.0,Ni,0.0,True,9.0,6.0,1.9197132495210065,2.0873783401724157,1.9689327608801885,0.06456645708943187,0.16766509065140922,86.24793668874209,38.157578449699734,22.052102128669002,178.54330936257588,6.0,1.0,4,"Tetrahedron, Octahedron"
mp-1041000,Mg(NiO2)2,1.7456834190858808,0.3591169279534734,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","3d, 1a, 1b",2,6.0,Ni,0.0,True,10.0,6.0,2.034742186368337,2.0467535478609924,2.040748483284741,0.006004996489799699,0.012011361492655581,59.86437516711205,26.84304317987658,29.885950265957952,104.49219339511627,6.0,1.0,5,"Tetrahedron, Octahedron"
mp-1041000,Mg(NiO2)2,1.7456834190858808,0.3591169279534734,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","3d, 1a, 1b",2,6.0,Ni,0.0,True,11.0,6.0,1.9657748634361019,2.0127588477614795,1.9851255020246346,0.0162182899198749,0.04698398432537765,85.63849909022103,37.321886568411294,25.527461112491537,177.34268673387464,6.0,1.0,6,"Tetrahedron, Octahedron"
mp-1041000,Mg(NiO2)2,1.7456834190858808,0.3591169279534734,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","3d, 1a, 1b",2,6.0,Ni,0.0,True,12.0,6.0,1.9848893822064235,2.03047584848517,2.0058170962181325,0.018022307760172364,0.04558646627874663,107.46500373612288,35.171328136828095,83.25287928054966,177.6317307928448,6.0,1.0,7,"Tetrahedron, Octahedron"
mp-1041000,Mg(NiO2)2,1.7456834190858808,0.3591169279534734,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","3d, 1a, 1b",2,6.0,Ni,0.0,True,13.0,6.0,1.965774863436103,2.0127588477614786,1.9851255020246343,0.016218289919874763,0.04698398432537565,99.88815957168416,38.40868739072858,29.02242111660721,179.37949145383823,6.0,1.0,8,"Tetrahedron, Octahedron"
mp-1041000,Mg(NiO2)2,1.7456834190858808,0.3591169279534734,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","3d, 1a, 1b",2,6.0,Ni,0.0,True,14.0,6.0,1.9848849560593733,2.030480292868463,2.005817859908628,0.018023677172196956,0.04559533680908978,59.25299558374182,27.357817428918025,23.698279631664384,105.6695571907602,6.0,1.0,9,"Tetrahedron, Octahedron"
mp-1041000,Mg(NiO2)2,1.7456834190858808,0.3591169279534734,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","3d, 1a, 1b",2,6.0,Ni,0.0,True,15.0,6.0,1.9428018664844269,1.9676471077607625,1.9552251235798142,0.01242069410816126,0.024845241276335583,107.89735230661088,36.13540659198188,84.10258296235341,179.4888519316275,6.0,1.0,10,"Tetrahedron, Octahedron"
mp-1041000,Mg(NiO2)2,1.7456834190858808,0.3591169279534734,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","3d, 1a, 1b",2,6.0,Ni,0.0,True,16.0,6.0,1.984884956059372,2.030480292868464,2.0058178599086287,0.018023677172197522,0.045595336809092,59.25299558374182,27.357817428918022,23.698279631664384,105.6695571907602,6.0,1.0,11,"Tetrahedron, Octahedron"
mp-1041166,Mg(NiO2)2,1.8582403830328864,0.1928485085051763,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","2b, 1a",2,4.0,Ni,0.0,True,12.0,4.0,1.9621009919664634,2.0393010806365086,1.9836801304506113,0.03216664339525033,0.07720008867004524,62.818528714465565,38.12719213989272,20.205100315031256,107.45208954645598,4.0,1.0,1,"Tetrahedron, Octahedron"
mp-1041166,Mg(NiO2)2,1.8582403830328864,0.1928485085051763,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","2b, 1a",2,4.0,Ni,0.0,True,17.0,4.0,1.8606163884003817,1.9012780675193726,1.8720264672791123,0.01701028636636709,0.04066167911899088,89.99198027289698,19.4810048006648,69.96096791028835,109.69039779680607,4.0,1.0,2,"Tetrahedron, Octahedron"
mp-1041166,Mg(NiO2)2,1.8582403830328864,0.1928485085051763,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","2b, 1a",2,6.0,Ni,0.0,True,6.0,6.0,1.9058828205906155,2.0785610028420094,1.968630921842382,0.06293794289509311,0.17267818225139386,95.58686905988353,43.79025414422068,21.758160102173914,179.42572823177827,6.0,1.0,1,"Tetrahedron, Octahedron"
mp-1041166,Mg(NiO2)2,1.8582403830328864,0.1928485085051763,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","2b, 1a",2,6.0,Ni,0.0,True,7.0,6.0,1.9058828205906155,2.0785610028420094,1.9686309218423819,0.0629379428950934,0.17267818225139386,95.58686905988355,43.79025414422076,21.75816010217395,179.4257282317789,6.0,1.0,2,"Tetrahedron, Octahedron"
mp-1041166,Mg(NiO2)2,1.8582403830328864,0.1928485085051763,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","2b, 1a",2,6.0,Ni,0.0,True,8.0,6.0,1.9077918695313931,2.0206702258424967,1.9739386622785393,0.04614242505346777,0.11287835631110354,58.24797753107734,27.632295290226352,22.21158379024544,104.40158794533856,6.0,1.0,3,"Tetrahedron, Octahedron"
mp-1041166,Mg(NiO2)2,1.8582403830328864,0.1928485085051763,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","2b, 1a",2,6.0,Ni,0.0,True,9.0,6.0,1.9113327641916542,2.1191451624780315,1.9765965559590792,0.08335635322888396,0.20781239828637732,87.38263681144912,43.26043073584817,28.702937629362637,179.27216037968282,6.0,1.0,4,"Tetrahedron, Octahedron"
mp-1041166,Mg(NiO2)2,1.8582403830328864,0.1928485085051763,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","2b, 1a",2,6.0,Ni,0.0,True,10.0,6.0,1.9077918695313931,2.0206702258424967,1.97393866227854,0.04614242505346779,0.11287835631110354,58.247977531077346,27.63229529022636,22.21158379024541,104.40158794533856,6.0,1.0,5,"Tetrahedron, Octahedron"
mp-1041166,Mg(NiO2)2,1.8582403830328864,0.1928485085051763,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","2b, 1a",2,6.0,Ni,0.0,True,11.0,6.0,1.9061408152892763,2.0849058207739937,1.9682336328228247,0.07270616625402966,0.1787650054847174,107.8611462226284,36.21619290128722,82.40473994751798,179.80367437997347,6.0,1.0,6,"Tetrahedron, Octahedron"
mp-1041166,Mg(NiO2)2,1.8582403830328864,0.1928485085051763,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","2b, 1a",2,6.0,Ni,0.0,True,13.0,6.0,1.9487235306966608,2.0563337000042385,2.0051970996491653,0.03416087057849299,0.10761016930757772,95.12682925329933,42.460332925697834,26.70570355674532,175.6795943247156,6.0,1.0,7,"Tetrahedron, Octahedron"
mp-1041166,Mg(NiO2)2,1.8582403830328864,0.1928485085051763,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","2b, 1a",2,6.0,Ni,0.0,True,14.0,6.0,1.9008126170027384,2.059101321179598,1.9619177692109426,0.06121677794280562,0.1582887041768597,107.6340966746205,35.548270910102715,83.30134679049414,179.07275564555613,6.0,1.0,8,"Tetrahedron, Octahedron"
mp-1041166,Mg(NiO2)2,1.8582403830328864,0.1928485085051763,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","2b, 1a",2,6.0,Ni,0.0,True,15.0,6.0,1.9487235306966613,2.0563337000042394,2.0051970996491657,0.03416087057849309,0.10761016930757816,95.12682925329936,42.460332925697834,26.705703556745338,175.6795943247156,6.0,1.0,9,"Tetrahedron, Octahedron"
mp-1041166,Mg(NiO2)2,1.8582403830328864,0.1928485085051763,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","2b, 1a",2,6.0,Ni,0.0,True,16.0,6.0,1.997600086654999,2.0243038577352332,2.008230600437948,0.009337466488385536,0.02670377108023425,87.82348268173268,43.93360351378556,25.972577821615513,177.9033711526606,6.0,1.0,10,"Tetrahedron, Octahedron"
mp-1041663,Ca(NiO2)2,1.209645511979027,1.4822643423179336,[6.0],3.0,3.0,3.0,Octahedron,8e,1,6.0,Ni,0.0,True,4.0,6.0,1.8893709731765675,2.4912336434401103,2.0576612128656957,0.2228557635985636,0.6018626702635428,62.203910442569956,33.952941787716085,0.0,108.83010631856644,6.0,1.0,1,Octahedron
mp-1041663,Ca(NiO2)2,1.209645511979027,1.4822643423179336,[6.0],3.0,3.0,3.0,Octahedron,8e,1,6.0,Ni,0.0,True,5.0,6.0,1.8893709731765675,2.4912336434401103,2.057661212865696,0.22285576359856368,0.6018626702635428,80.78278794521826,38.8389970108599,0.0,175.2639477458061,6.0,1.0,2,Octahedron
mp-1041663,Ca(NiO2)2,1.209645511979027,1.4822643423179336,[6.0],3.0,3.0,3.0,Octahedron,8e,1,6.0,Ni,0.0,True,6.0,6.0,1.889370973176568,2.4912336434401094,2.0576612128656966,0.22285576359856313,0.6018626702635415,72.7265444405965,43.98122932174297,0.0,175.2639477458061,6.0,1.0,3,Octahedron
mp-1041663,Ca(NiO2)2,1.209645511979027,1.4822643423179336,[6.0],3.0,3.0,3.0,Octahedron,8e,1,6.0,Ni,0.0,True,7.0,6.0,1.8893709731765669,2.4912336434401103,2.057661212865696,0.22285576359856366,0.6018626702635435,49.8430573447165,33.94730788189198,0.0,93.7453320147388,6.0,1.0,4,Octahedron
mp-1041663,Ca(NiO2)2,1.209645511979027,1.4822643423179336,[6.0],3.0,3.0,3.0,Octahedron,8e,1,6.0,Ni,0.0,True,8.0,6.0,1.8893709731765673,2.491233643440109,2.0576612128656966,0.22285576359856304,0.6018626702635417,48.469031801834035,33.15377973166771,0.0,93.73339593679333,6.0,1.0,5,Octahedron
mp-1041663,Ca(NiO2)2,1.209645511979027,1.4822643423179336,[6.0],3.0,3.0,3.0,Octahedron,8e,1,6.0,Ni,0.0,True,9.0,6.0,1.889370973176567,2.4912336434401103,2.0576612128656957,0.2228557635985636,0.6018626702635432,72.7265444641728,43.98122928275763,0.0,175.2639477458061,6.0,1.0,6,Octahedron
mp-1041663,Ca(NiO2)2,1.209645511979027,1.4822643423179336,[6.0],3.0,3.0,3.0,Octahedron,8e,1,6.0,Ni,0.0,True,10.0,6.0,1.8893709731765673,2.4912336434401094,2.0576612128656957,0.22285576359856324,0.6018626702635421,80.78278800213651,38.83899689247336,8.537736462515939e-07,175.2639477458061,6.0,1.0,7,Octahedron
mp-1041663,Ca(NiO2)2,1.209645511979027,1.4822643423179336,[6.0],3.0,3.0,3.0,Octahedron,8e,1,6.0,Ni,0.0,True,11.0,6.0,1.8893709731765678,2.4912336434401094,2.0576612128656957,0.22285576359856307,0.6018626702635417,72.70903635582253,33.40984851438209,0.0,108.83010631856644,6.0,1.0,8,Octahedron
mp-1041887,MgSi2NiO6,1.553978361349889,0.5820845835077568,[5.0],2.0,2.0,2.0,Octahedron,8c,1,5.0,Ni,0.0,True,,,,,,,,,,,,,,0,Octahedron
mp-1042016,CaNiP2O7,1.9522282260661303,0.1220192288571776,[5.0],2.0,2.0,2.0,Square pyramid,2i,1,5.0,Ni,0.0,True,,,,,,,,,,,,,,0,Square pyramid
mp-1042060,MgNiP2O7,1.87036530675012,0.2038553675983429,[5.0],2.0,2.0,2.0,Trigonal bipyramid,4i,1,5.0,Ni,0.0,True,,,,,,,,,,,,,,0,Trigonal bipyramid
mp-1042104,ZnNiP2O7,1.839997626786276,0.2226481490669414,[5.0],2.0,2.0,2.0,Trigonal bipyramid,4i,1,5.0,Ni,0.0,True,,,,,,,,,,,,,,0,Trigonal bipyramid
mp-1042795,ZnNiAs2O7,1.8548726320320017,0.1594001797943934,[5.0],2.0,2.0,2.0,Trigonal bipyramid,4e,1,5.0,Ni,0.0,True,,,,,,,,,,,,,,0,Trigonal bipyramid
mp-1042817,MgNiAs2O7,1.889975742167029,0.1551965181270666,[5.0],2.0,2.0,2.0,Square pyramid,4e,1,5.0,Ni,0.0,True,,,,,,,,,,,,,,0,Square pyramid
mp-1042887,CaNiAs2O7,1.79766927254333,0.2564475485903251,[5.0],2.0,2.0,2.0,Square pyramid,4e,1,5.0,Ni,0.0,True,,,,,,,,,,,,,,0,Square pyramid
mp-1043031,MgTiNiP2O9,1.93662873096018,0.1182842962961771,[6.0],2.0,2.0,2.0,Octahedron,4a,1,6.0,Ni,0.0,True,8.0,6.0,2.0267098538723487,2.151920514302477,2.0736289610416,0.05572312596918287,0.1252106604301284,46.993006237987565,26.847096093139566,9.604005697168288,83.74290526038573,6.0,1.0,1,Octahedron
mp-1043031,MgTiNiP2O9,1.93662873096018,0.1182842962961771,[6.0],2.0,2.0,2.0,Octahedron,4a,1,6.0,Ni,0.0,True,9.0,6.0,2.0267098538723483,2.151920514302476,2.073628961041599,0.05572312596918277,0.12521066043012796,108.0,36.69411583930501,76.81272510271712,180.0,6.0,1.0,2,Octahedron
mp-1043031,MgTiNiP2O9,1.93662873096018,0.1182842962961771,[6.0],2.0,2.0,2.0,Octahedron,4a,1,6.0,Ni,0.0,True,10.0,6.0,2.0267098538723483,2.151920514302478,2.0736289610415994,0.05572312596918329,0.12521066043012974,56.46315827143582,27.36952463940927,25.097828328589316,102.93569664854402,6.0,1.0,3,Octahedron
mp-1043031,MgTiNiP2O9,1.93662873096018,0.1182842962961771,[6.0],2.0,2.0,2.0,Octahedron,4a,1,6.0,Ni,0.0,True,11.0,6.0,2.0267098538723474,2.151920514302477,2.0736289610416,0.055723125969183225,0.12521066043012974,54.37956546977819,21.29682393684376,12.873659581663109,79.58887905269202,6.0,1.0,4,Octahedron
mp-1043092,CaTiNiP2O9,2.1302792240542345,-0.0398537089096796,[6.0],2.0,2.0,2.0,Octahedron,4a,1,6.0,Ni,0.0,True,8.0,6.0,2.0634323781740895,2.109246616876292,2.0841211786236915,0.018964861071849557,0.04581423870220247,47.51613833023181,26.41856826724586,11.971754248492292,84.83283037347188,6.0,1.0,1,Octahedron
mp-1043092,CaTiNiP2O9,2.1302792240542345,-0.0398537089096796,[6.0],2.0,2.0,2.0,Octahedron,4a,1,6.0,Ni,0.0,True,9.0,6.0,2.0634323781740886,2.109246616876291,2.084121178623691,0.018964861071849408,0.04581423870220247,107.99999991950544,36.83517481486931,75.07600353330324,180.0,6.0,1.0,2,Octahedron
mp-1043092,CaTiNiP2O9,2.1302792240542345,-0.0398537089096796,[6.0],2.0,2.0,2.0,Octahedron,4a,1,6.0,Ni,0.0,True,10.0,6.0,2.063432378174089,2.109246616876292,2.0841211786236915,0.01896486107184949,0.045814238702202914,55.39719650778222,26.4742173278637,25.430196215102193,99.12074621809487,6.0,1.0,3,Octahedron
mp-1043092,CaTiNiP2O9,2.1302792240542345,-0.0398537089096796,[6.0],2.0,2.0,2.0,Octahedron,4a,1,6.0,Ni,0.0,True,11.0,6.0,2.0634323781740886,2.109246616876293,2.084121178623692,0.01896486107185006,0.045814238702204246,54.60212330280307,21.256773765235646,13.297255868988945,80.39437220241655,6.0,1.0,4,Octahedron
mp-1043125,CaMnNiP2O9,2.031422638435273,0.0303532344106729,[6.0],2.0,2.0,2.0,Octahedron,4a,1,6.0,Ni,0.0,True,8.0,6.0,2.0449119430866296,2.092458903619893,2.066577197257431,0.019638605106631454,0.04754696053326324,45.07502624778259,25.26355701862235,12.070050487467556,82.49016016193674,6.0,1.0,1,Octahedron
mp-1043125,CaMnNiP2O9,2.031422638435273,0.0303532344106729,[6.0],2.0,2.0,2.0,Octahedron,4a,1,6.0,Ni,0.0,True,9.0,6.0,2.0449119430866296,2.0924589036198937,2.0665771972574314,0.01963860510663152,0.047546960533264127,55.27093757309077,26.59430322463037,26.225565102585204,99.53423780239113,6.0,1.0,2,Octahedron
mp-1043125,CaMnNiP2O9,2.031422638435273,0.0303532344106729,[6.0],2.0,2.0,2.0,Octahedron,4a,1,6.0,Ni,0.0,True,10.0,6.0,2.044911943086629,2.0924589036198937,2.0665771972574314,0.01963860510663209,0.04754696053326457,107.99999991950544,36.984298192379335,73.89112046518385,180.0,6.0,1.0,3,Octahedron
mp-1043125,CaMnNiP2O9,2.031422638435273,0.0303532344106729,[6.0],2.0,2.0,2.0,Octahedron,4a,1,6.0,Ni,0.0,True,11.0,6.0,2.044911943086629,2.0924589036198933,2.066577197257432,0.019638605106631832,0.047546960533264127,47.65910254376645,26.66654207293791,11.9496864786049,85.0845557207734,6.0,1.0,4,Octahedron
mp-1043130,CaFeNiP2O9,2.0119590963049,0.0448388549255838,[6.0],3.0,3.0,3.0,Octahedron,4b,1,6.0,Ni,0.0,True,8.0,6.0,2.0297747510909003,2.0549366516873477,2.044206543276601,0.010600539529781112,0.025161900596447406,44.42249317501339,19.898879782618636,16.312160879721983,85.1554688226034,6.0,1.0,1,Octahedron
mp-1043130,CaFeNiP2O9,2.0119590963049,0.0448388549255838,[6.0],3.0,3.0,3.0,Octahedron,4b,1,6.0,Ni,0.0,True,9.0,6.0,2.029774751090901,2.0549366516873473,2.0442065432766015,0.010600539529780935,0.025161900596446074,49.41461120202546,24.669633669360376,9.959803673093893,85.12159251776517,6.0,1.0,2,Octahedron
mp-1043130,CaFeNiP2O9,2.0119590963049,0.0448388549255838,[6.0],3.0,3.0,3.0,Octahedron,4b,1,6.0,Ni,0.0,True,10.0,6.0,2.0297747510909017,2.0549366516873473,2.0442065432766015,0.010600539529780809,0.02516190059644563,56.804395016340344,33.82173366796602,9.959803673093893,107.45040820555087,6.0,1.0,3,Octahedron
