material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ni_wyckoff,num_Ni_chemenvs,CN,element,charge_range,is_single_charge
mp-1218450,Sr3La(NiO4)2,1.958637773026704,0.0349051293674768,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"1a, 1b",1,6.0,Ni,1.0,False
mp-1218450,Sr3La(NiO4)2,1.958637773026704,0.0349051293674768,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"1a, 1b",1,6.0,Ni,1.0,False
mp-1218491,SrCaNiWO6,2.0050813181614844,0.0887574356935201,[6.0],2.0,2.0,2.0,Octahedron,2a,1,6.0,Ni,0.0,True
mp-1218601,Sr3CaNi2(WO6)2,1.87708095021926,0.2027438491712558,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Ni,0.0,True
mp-1218689,Sr2V11NiO22,1.6859872748567504,0.3779773100682989,[5.0],2.0,2.0,2.0,Trigonal bipyramid,1b,1,5.0,Ni,0.0,True
mp-1218709,Sr2NiO3F,2.393281846619306,-0.6814826432723342,[5.0],3.0,3.0,3.0,Octahedron,1a,1,5.0,Ni,0.0,True
mp-1218716,Sr2Pr2TlNi2O9,2.313064320695706,-0.3535449862744019,[6.0],3.5,3.5,3.5,Octahedron,2c,1,6.0,Ni,0.0,True
mp-1218719,Sr2Sm2TlNi2O9,2.3459867128447605,-0.4520808967904771,[6.0],3.5,3.5,3.5,Octahedron,2c,1,6.0,Ni,0.0,True
mp-1218722,Sr2Pr2CrNiO8,2.9671361923870787,-1.2858307888337273,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Ni,0.0,True
mp-1218757,Sr2La2TlNi2O9,2.26161204304423,-0.25034598209067,[6.0],3.5,3.5,3.5,Octahedron,2c,1,6.0,Ni,0.0,True
mp-1218767,Sr2Nd2TlNi2O9,2.314998231994445,-0.377159674494685,[6.0],3.5,3.5,3.5,Octahedron,2c,1,6.0,Ni,0.0,True
mp-1218819,Sr2Gd2TlNi2O9,2.3409441556629464,-0.4464674600932533,[6.0],3.5,3.5,3.5,Octahedron,2c,1,6.0,Ni,0.0,True
mp-1219308,ScNiBO4,1.927214844857487,0.1644971279296179,[6.0],2.0,2.0,2.0,Octahedron,2a,1,6.0,Ni,0.0,True
mp-1219319,Sm2CoNiO6,1.7667525892106295,0.2425664605946709,[6.0],2.0,2.0,2.0,Octahedron,2c,1,6.0,Ni,0.0,True
