CN,dominant_geometry,dominant_count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,dominant_fraction
1.0,"Octahedron, Metabidiminished icosahedron",1,1,,,,,0.5
2.0,"Tetrahedron, Linear, Square plane, T-shaped, See-saw, Trigonal bipyramid",108,1,2.215474641673489,2.2411496933380155,0.025675051664526445,1.0,0.24324324324324326
3.0,"Tetrahedron, Linear, Square plane, T-shaped, See-saw, Trigonal bipyramid",64,1,2.2548751091615737,2.4700482967088844,0.27629135943971056,1.0,0.21262458471760798
4.0,"Square pyramid, Square-face capped trigonal prism, Trigonal prism",36,1,2.359240364414912,2.5029003509497714,0.14628362785381047,1.0,0.10434782608695652
5.0,Trigonal bipyramid,24,6,2.2466789185816984,2.386997977932192,0.10555909585273615,1.0,0.15894039735099338
6.0,Octahedron,105,23,2.2981931857374516,2.4760978693150286,0.1547668399311535,1.0,0.2638190954773869
7.0,"Square-face bicapped trigonal prism, Pentagonal bipyramid",30,3,2.5045255986517407,2.720543826482317,0.1731695615166172,1.0,0.2912621359223301
8.0,Cube,12,4,2.532817151155337,2.6407124795044337,0.09858195887624877,1.0,0.1188118811881188
9.0,"Bicapped square prism (adjacent faces), Tridiminished icosahedron",8,1,2.4560875005396983,2.70835260138754,0.19507548058280152,1.0,0.5333333333333333
10.0,Bicapped square prism (adjacent faces),2,1,2.390224859962631,2.7730126193933495,0.27896679998788426,1.0,0.5
12.0,"Icosahedron, Square-face capped trigonal prism, Octahedron",4,1,2.623910824215301,2.8662907136609714,0.18108844145816597,1.0,1.0
