CN,n_rows,n_unique_materials,R0_mean,B_mean,mean_charge_mean
1.0,2,2,2.3677954077360983,0.07847159724116105,1.0
2.0,49,44,1.943861799574227,0.35212456750542437,1.0973469387755104
3.0,50,45,1.914586871606592,0.43043292078687,1.0954000000000002
4.0,88,85,1.9593908183885267,0.352420008194307,1.1522727272727273
5.0,44,44,1.9681060726816064,0.3653050739185044,1.1571969696969697
6.0,86,83,2.154328701021701,0.2459323881962418,1.1627906976744187
7.0,22,22,2.0859561733390284,0.31029505716378114,1.196969696969697
8.0,34,34,1.9891976097922215,0.34566108738925666,1.0661764705882353
9.0,4,4,1.5210230755919882,0.60828947571996,1.0
10.0,2,2,1.5767910582444735,0.527722497337284,1.0
12.0,1,1,1.9604975729436904,0.3656656594655731,1.0
