material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ag_wyckoff,num_Ag_chemenvs,CN,element,charge_range,is_single_charge
mp-553910,KV4Ag11O16,1.472403392631841,0.6759570438532805,"[2.0, 4.0, 5.0]",1.0,1.0,1.0,"Tetrahedron, See-saw, Square pyramid, Square plane","8c, 4b",4,4.0,Ag,0.0,True
mp-553910,KV4Ag11O16,1.472403392631841,0.6759570438532805,"[2.0, 4.0, 5.0]",1.0,1.0,1.0,"Tetrahedron, See-saw, Square pyramid, Square plane","8c, 4b",4,5.0,Ag,0.0,True
mp-553919,Ag6Mo2ClO7F3,2.505620421537408,-0.0345877712676419,"[3.0, 4.0]",1.0,1.0,1.0,"Square-face capped trigonal prism, Trigonal prism",3d,2,3.0,Ag,0.0,True
mp-553919,Ag6Mo2ClO7F3,2.505620421537408,-0.0345877712676419,"[3.0, 4.0]",1.0,1.0,1.0,"Square-face capped trigonal prism, Trigonal prism",3d,2,4.0,Ag,0.0,True
mp-553924,Ag4PIO4,2.106424602853358,0.2516463585858123,"[2.0, 3.0, 3.0, 4.0]",1.0,1.0,1.0,"Tetrahedron, See-saw","4f, 2e",2,2.0,Ag,0.0,True
mp-553924,Ag4PIO4,2.106424602853358,0.2516463585858123,"[2.0, 3.0, 3.0, 4.0]",1.0,1.0,1.0,"Tetrahedron, See-saw","4f, 2e",2,3.0,Ag,0.0,True
mp-553924,Ag4PIO4,2.106424602853358,0.2516463585858123,"[2.0, 3.0, 3.0, 4.0]",1.0,1.0,1.0,"Tetrahedron, See-saw","4f, 2e",2,3.0,Ag,0.0,True
mp-553924,Ag4PIO4,2.106424602853358,0.2516463585858123,"[2.0, 3.0, 3.0, 4.0]",1.0,1.0,1.0,"Tetrahedron, See-saw","4f, 2e",2,4.0,Ag,0.0,True
mp-553936,K2Ag4Pd3(NO2)12,1.0201888812612243,0.8540880860147195,[7.0],1.0,1.0,1.0,no_data,no_data,1,7.0,Ag,0.0,True
mp-553949,Ag2Hg2(TeO4)3,2.301985918250037,0.1001985760160794,[6.0],1.0,1.0,1.0,Pentagonal pyramid,4e,1,6.0,Ag,0.0,True
mp-554259,SrAgB7O12,0.8803857569949901,1.1654580207671164,[4.0],1.0,1.0,1.0,Trigonal bipyramid,4f,1,4.0,Ag,0.0,True
mp-554357,Ag4TeO5,2.651439867855001,-0.0319028970634312,"[5.0, 6.0]",1.0,1.0,1.0,"Trigonal bipyramid, Trigonal prism, Octahedron","2d, 4f, 2e",3,5.0,Ag,0.0,True
mp-554357,Ag4TeO5,2.651439867855001,-0.0319028970634312,"[5.0, 6.0]",1.0,1.0,1.0,"Trigonal bipyramid, Trigonal prism, Octahedron","2d, 4f, 2e",3,6.0,Ag,0.0,True
mp-554763,NpAgSeO5,2.428423485214357,0.1169864731931688,"[5.0, 8.0]",1.0,1.0,1.0,"Bicapped octahedron (cap faces with one atom in common), Square-face capped trigonal prism",2i,2,5.0,Ag,0.0,True
mp-554763,NpAgSeO5,2.428423485214357,0.1169864731931688,"[5.0, 8.0]",1.0,1.0,1.0,"Bicapped octahedron (cap faces with one atom in common), Square-face capped trigonal prism",2i,2,8.0,Ag,0.0,True
mp-554873,Ag2B8O13,1.9611010128058912,0.327056870564244,"[4.0, 8.0]",1.0,1.0,1.0,"Square-face capped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized",4e,2,4.0,Ag,0.0,True
mp-554873,Ag2B8O13,1.9611010128058912,0.327056870564244,"[4.0, 8.0]",1.0,1.0,1.0,"Square-face capped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized",4e,2,8.0,Ag,0.0,True
mp-555015,SiAg6SO8,1.983566016751925,0.3261928414711916,[4.0],1.0,1.0,1.0,"Tetrahedron, Square non-coplanar","8f, 4e",2,4.0,Ag,0.0,True
mp-555515,CuAg4TeO6,2.27384395595341,0.2359654898624797,[6.0],1.0,1.0,1.0,Octahedron,"2d, 4f, 2e",1,6.0,Ag,0.0,True
mp-555565,Ag5(PbO3)2,1.8968743204698533,0.4871480835543321,"[2.0, 3.0]",1.2,1.2,1.2,"Linear, Trigonal plane, Triangular non-coplanar","3c, 1a",3,2.0,Ag,0.0,True
mp-555565,Ag5(PbO3)2,1.8968743204698533,0.4871480835543321,"[2.0, 3.0]",1.2,1.2,1.2,"Linear, Trigonal plane, Triangular non-coplanar","3c, 1a",3,3.0,Ag,0.0,True
mp-555746,InAg3(PO4)2,1.5530659805473688,0.6273300388030993,"[6.0, 8.0]",1.0,1.0,1.0,"Hexagonal bipyramid, Octahedron","2i, 1c",2,6.0,Ag,0.0,True
mp-555746,InAg3(PO4)2,1.5530659805473688,0.6273300388030993,"[6.0, 8.0]",1.0,1.0,1.0,"Hexagonal bipyramid, Octahedron","2i, 1c",2,8.0,Ag,0.0,True
mp-5563,Ag5GeO4,2.262737024312888,0.1165858663324472,"[2.0, 3.0, 4.0]",1.0,1.0,1.0,"See-saw, Angular, Triangular non-coplanar, Pentagonal plane",4e,4,2.0,Ag,0.0,True
mp-5563,Ag5GeO4,2.262737024312888,0.1165858663324472,"[2.0, 3.0, 4.0]",1.0,1.0,1.0,"See-saw, Angular, Triangular non-coplanar, Pentagonal plane",4e,4,3.0,Ag,0.0,True
mp-5563,Ag5GeO4,2.262737024312888,0.1165858663324472,"[2.0, 3.0, 4.0]",1.0,1.0,1.0,"See-saw, Angular, Triangular non-coplanar, Pentagonal plane",4e,4,4.0,Ag,0.0,True
mp-556345,Ag2BrNO3,1.723060922154626,0.4773053049526357,"[4.0, 6.0]",1.0,1.0,1.0,"Hexagonal bipyramid, Square antiprism",4c,2,4.0,Ag,0.0,True
