element,c1,c2,n_points
Be,-1.4145080865752409,0.3325639819135296,2
Mg,-1.8248609968670442,0.2528541016405838,3
Ca,-1.9708045043828883,0.41656116118262293,9
Sr,-2.2276809038432503,0.33372292049301294,11
Ba,-2.3378774277241865,0.38874895146524363,13
