element,c1,c2,n_points
Li,-1.635103943024554,0.3526767996386003,8
Na,-1.8735326315817493,0.35963350494383073,10
K,-2.5417937855394004,0.20673990507646745,13
Rb,-2.6215075864236956,0.2373194152744568,11
Cs,-2.8029555090781058,0.24338293017932183,11
