file,element,CN,method,n_points,reason
df_consist_Al.csv,Al,1.0,OLS,8,n_points<10
df_consist_Al.csv,Al,1.0,Huber,8,n_points<10
df_consist_Al.csv,Al,1.0,RANSAC,8,n_points<10
df_consist_Al.csv,Al,2.0,OLS,7,n_points<10
df_consist_Al.csv,Al,2.0,Huber,7,n_points<10
df_consist_Al.csv,Al,2.0,RANSAC,7,n_points<10
df_consist_Ga.csv,Ga,1.0,OLS,1,n_points<10
df_consist_Ga.csv,Ga,1.0,Huber,1,n_points<10
df_consist_Ga.csv,Ga,1.0,RANSAC,1,n_points<10
df_consist_Ga.csv,Ga,2.0,OLS,2,n_points<10
df_consist_Ga.csv,Ga,2.0,Huber,2,n_points<10
df_consist_Ga.csv,Ga,2.0,RANSAC,2,n_points<10
df_consist_Ga.csv,Ga,3.0,OLS,4,n_points<10
df_consist_Ga.csv,Ga,3.0,Huber,4,n_points<10
df_consist_Ga.csv,Ga,3.0,RANSAC,4,n_points<10
df_consist_Ge.csv,Ge,3.0,OLS,2,n_points<10
df_consist_Ge.csv,Ge,3.0,Huber,2,n_points<10
df_consist_Ge.csv,Ge,3.0,RANSAC,2,n_points<10
df_consist_In.csv,In,1.0,OLS,1,n_points<10
df_consist_In.csv,In,1.0,Huber,1,n_points<10
df_consist_In.csv,In,1.0,RANSAC,1,n_points<10
df_consist_In.csv,In,3.0,OLS,3,n_points<10
df_consist_In.csv,In,3.0,Huber,3,n_points<10
df_consist_In.csv,In,3.0,RANSAC,3,n_points<10
df_consist_In.csv,In,8.0,OLS,9,n_points<10
df_consist_In.csv,In,8.0,Huber,9,n_points<10
df_consist_In.csv,In,8.0,RANSAC,9,n_points<10
df_consist_Pb.csv,Pb,1.0,OLS,3,n_points<10
df_consist_Pb.csv,Pb,1.0,Huber,3,n_points<10
df_consist_Pb.csv,Pb,1.0,RANSAC,3,n_points<10
df_consist_Pb.csv,Pb,11.0,OLS,9,n_points<10
df_consist_Pb.csv,Pb,11.0,Huber,9,n_points<10
df_consist_Pb.csv,Pb,11.0,RANSAC,9,n_points<10
df_consist_Sn.csv,Sn,1.0,OLS,2,n_points<10
df_consist_Sn.csv,Sn,1.0,Huber,2,n_points<10
df_consist_Sn.csv,Sn,1.0,RANSAC,2,n_points<10
df_consist_Sn.csv,Sn,2.0,OLS,4,n_points<10
df_consist_Sn.csv,Sn,2.0,Huber,4,n_points<10
df_consist_Sn.csv,Sn,2.0,RANSAC,4,n_points<10
df_consist_Sn.csv,Sn,7.0,OLS,3,n_points<10
df_consist_Sn.csv,Sn,7.0,Huber,3,n_points<10
df_consist_Sn.csv,Sn,7.0,RANSAC,3,n_points<10
df_consist_Tl.csv,Tl,1.0,OLS,1,n_points<10
df_consist_Tl.csv,Tl,1.0,Huber,1,n_points<10
df_consist_Tl.csv,Tl,1.0,RANSAC,1,n_points<10
df_consist_Tl.csv,Tl,2.0,OLS,6,n_points<10
df_consist_Tl.csv,Tl,2.0,Huber,6,n_points<10
df_consist_Tl.csv,Tl,2.0,RANSAC,6,n_points<10
df_consist_Tl.csv,Tl,11.0,OLS,8,n_points<10
df_consist_Tl.csv,Tl,11.0,Huber,8,n_points<10
df_consist_Tl.csv,Tl,11.0,RANSAC,8,n_points<10
df_consist_Tl.csv,Tl,14.0,OLS,2,n_points<10
df_consist_Tl.csv,Tl,14.0,Huber,2,n_points<10
df_consist_Tl.csv,Tl,14.0,RANSAC,2,n_points<10
df_consist_Tl.csv,Tl,15.0,OLS,3,n_points<10
df_consist_Tl.csv,Tl,15.0,Huber,3,n_points<10
df_consist_Tl.csv,Tl,15.0,RANSAC,3,n_points<10
