element,CN,method,beta,beta0,n_points
Sn,3.0,RANSAC,-2.18349052987435,4.782006914106228,39
Sn,4.0,RANSAC,-1.4728197833677177,3.4097083903515704,37
Sn,5.0,RANSAC,-1.0985531138730635,2.6944522457234026,23
Sn,6.0,RANSAC,-2.3229866410885003,4.854515112098813,489
Tl,3.0,RANSAC,-0.7288103064936801,1.9913208443049761,18
Tl,4.0,RANSAC,-3.368552345676859,7.378487067419449,36
Tl,5.0,RANSAC,-0.6038763277020424,1.7475308062453427,25
Tl,6.0,RANSAC,-0.6743764289635498,1.9904958696454718,89
Tl,7.0,RANSAC,-0.5287226741069363,1.5920677361075894,32
Tl,8.0,RANSAC,-0.48397503031646755,1.4918010085386437,33
Tl,9.0,RANSAC,-0.4618312325317462,1.4219529031479,24
Tl,10.0,RANSAC,-0.42144795873158347,1.3226726017309136,13
Tl,12.0,RANSAC,-0.3875768322750743,1.251588851722715,11
