material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ru_wyckoff,num_Ru_chemenvs,CN,element,charge_range,is_single_charge
mp-1198408,Ba2HRu3O10,1.888721566734421,0.4385039665230822,[6.0],5.0,5.0,5.0,Octahedron,4a,1,6.0,Ru,0.0,True
mp-1198431,Ba3NaRu2O9,1.914436436620584,0.5722536630949955,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"4f, 8h",1,6.0,Ru,1.0,False
mp-1198431,Ba3NaRu2O9,1.914436436620584,0.5722536630949955,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"4f, 8h",1,6.0,Ru,1.0,False
mp-1198628,Na3RuO4,1.8606320085863368,0.6936288506685211,[6.0],5.0,5.0,5.0,Octahedron,"2g, 2i",1,6.0,Ru,0.0,True
mp-1200068,Ba4Ru3O10,1.8053219805795493,0.5831977200829852,[6.0],4.0,4.0,4.0,Octahedron,"2a, 4e",1,6.0,Ru,0.0,True
mp-1200843,Nd3RuO7,1.973845343538733,0.0773626531212751,[6.0],5.0,5.0,5.0,Octahedron,4b,1,6.0,Ru,0.0,True
mp-1201246,NaLi2(RuO2)6,2.023933141066672,0.0433250101766123,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2i,1,6.0,Ru,1.0,False
mp-1201246,NaLi2(RuO2)6,2.023933141066672,0.0433250101766123,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2i,1,6.0,Ru,1.0,False
mp-1202241,La2RuO5,1.869470708043772,0.4002308990594141,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Ru,0.0,True
mp-1202499,BaZnRu5O11,2.0237467058410568,0.0268525289541904,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"12i, 4e",1,6.0,Ru,1.0,False
mp-1202499,BaZnRu5O11,2.0237467058410568,0.0268525289541904,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"12i, 4e",1,6.0,Ru,1.0,False
mp-12046,Rb3Na(RuO4)2,2.292265223813897,1.2143569538708487,[4.0],6.0,6.0,6.0,Tetrahedron,2d,1,4.0,Ru,0.0,True
