material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ru_wyckoff,num_Ru_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1025237,Ba2RuO4,2.2034665095305326,-0.441459954234274,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Ru,0.0,True,2.0,6.0,2.0071501799999996,2.057185416296422,2.023831602098807,0.023584708485682674,0.05003523629642226,68.34356808972571,31.05796126292877,0.0,90.00000489395852,0.0,0.0,1,Octahedron
mp-1079192,Sr2GdRuO6,1.9812126130571024,-0.0055178319430683,[6.0],5.0,5.0,5.0,Octahedron,1b,1,6.0,Ru,0.0,True,3.0,6.0,1.9797464146562402,1.9804244675585798,1.9801983955679467,0.00031959877456815954,0.0006780529023395765,108.0,36.00000000000045,89.99999134687414,180.0,6.0,1.0,1,Octahedron
mp-1079352,SrRuO3,1.4101477606296275,1.5452085364337027,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Ru,0.0,True,2.0,6.0,1.9483533828857684,2.082804058638876,2.0379871667211726,0.06338065637342373,0.13445067575310743,68.32115311550895,42.369840834931715,0.0,143.3230811129982,6.0,1.0,1,Octahedron
mp-1079352,SrRuO3,1.4101477606296275,1.5452085364337027,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Ru,0.0,True,3.0,6.0,1.9483533828857684,2.082804058638876,2.0379871667211735,0.06338065637342384,0.13445067575310743,58.034752717692115,32.792157079187376,0.0,101.423636419357,6.0,1.0,2,Octahedron
mp-1104173,Sr2GdCu2RuO8,2.1589075330041494,-1.0623542467389424,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ru,0.0,True,5.0,6.0,1.9278685,2.0361915440160008,1.9639761813386667,0.05106397265498848,0.10832304401600079,72.0,36.0,0.0,90.0,2.0,0.3333333333333333,1,Octahedron
mp-1147774,Ba2NiRuO6,1.7420402117559743,1.3552438785406928,[6.0],5.0,5.0,5.0,Octahedron,4e,1,6.0,Ru,0.0,True,12.0,6.0,1.9230133793347832,2.0586430692199698,1.9908296695527665,0.06781339510784314,0.13562968988518653,57.14748723696739,26.225860451815855,24.906734048126143,102.50616284570708,6.0,1.0,1,Octahedron
mp-1147774,Ba2NiRuO6,1.7420402117559743,1.3552438785406928,[6.0],5.0,5.0,5.0,Octahedron,4e,1,6.0,Ru,0.0,True,13.0,6.0,1.9230133793347832,2.0586430692199698,1.9908296695527665,0.0678133951078432,0.13562968988518653,57.14748723696739,26.22586045181585,24.906734048126143,102.50616284570708,6.0,1.0,2,Octahedron
mp-1147774,Ba2NiRuO6,1.7420402117559743,1.3552438785406928,[6.0],5.0,5.0,5.0,Octahedron,4e,1,6.0,Ru,0.0,True,14.0,6.0,1.9230133793347841,2.0586430692199698,1.990829669552767,0.06781339510784273,0.13562968988518564,57.14748723696739,26.225860451815862,24.906734048126125,102.5061628457071,6.0,1.0,3,Octahedron
mp-1147774,Ba2NiRuO6,1.7420402117559743,1.3552438785406928,[6.0],5.0,5.0,5.0,Octahedron,4e,1,6.0,Ru,0.0,True,15.0,6.0,1.9230133793347832,2.0586430692199698,1.9908296695527665,0.06781339510784322,0.13562968988518653,57.14748723696739,26.22586045181585,24.906734048126157,102.50616284570708,6.0,1.0,4,Octahedron
mp-1173178,SrLaCuRuO6,1.9771116032951863,0.0545368390409771,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ru,0.0,True,6.0,6.0,1.973448764226209,2.0002711311017247,1.9871053704148676,0.009800409208409772,0.026822366875515646,99.75514286482918,36.438273064561365,40.3408410423366,174.66308347915603,6.0,1.0,1,Octahedron
