material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Cu_wyckoff,num_Cu_chemenvs,CN,element,charge_range,is_single_charge
mp-1047107,CaCu3(P2O7)2,1.0852220682894618,0.9585875870515356,[6.0],2.0,2.0,2.0,Octahedron,"2a, 4e",1,6.0,Cu,0.0,True
mp-1047601,Zn(CuO2)2,1.3751514761092944,0.9885299797335092,[6.0],2.0,2.0,2.0,Square pyramid,8e,1,6.0,Cu,0.0,True
mp-1096779,Ba4Ce(CuO3)3,3.8869553294158727,-2.7580347106589547,[4.0],2.0,2.0,2.0,Square plane,6b,1,4.0,Cu,0.0,True
mp-1099761,Sr2Cu2O5,1.7443653552840743,0.2468084156713092,"[4.0, 6.0]",2.0,2.0,2.0,"Octahedron, Tetrahedron","2a, 2b",2,4.0,Cu,0.0,True
mp-1099761,Sr2Cu2O5,1.7443653552840743,0.2468084156713092,"[4.0, 6.0]",2.0,2.0,2.0,"Octahedron, Tetrahedron","2a, 2b",2,6.0,Cu,0.0,True
mp-1100802,Zr8MnCu2(PO4)12,2.1711288941028384,-0.3448103864789135,[2.0],1.0,1.0,1.0,Linear,2i,1,2.0,Cu,0.0,True
mp-1100940,VCu6AgMo5O24,1.952094615601448,0.145188875178268,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Trigonal bipyramid, Square pyramid",1a,3,5.0,Cu,0.0,True
mp-1100940,VCu6AgMo5O24,1.952094615601448,0.145188875178268,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Trigonal bipyramid, Square pyramid",1a,3,6.0,Cu,0.0,True
mp-1101238,V4FeCuO12,1.8136684688319504,0.179255027408659,[6.0],1.0,1.0,1.0,Octahedron,2b,1,6.0,Cu,0.0,True
mp-1101275,TiCu3(PO4)4,1.8222797211539727,0.1631598227993934,"[4.0, 4.0]",2.5,2.0,3.0,See-saw,"1a, 1b",1,4.0,Cu,1.0,False
mp-1101275,TiCu3(PO4)4,1.8222797211539727,0.1631598227993934,"[4.0, 4.0]",2.5,2.0,3.0,See-saw,"1a, 1b",1,4.0,Cu,1.0,False
mp-1101389,Ti3MnCu2(PO4)6,2.1469198884478136,0.0764583171394631,"[6.0, 6.0]",1.5,1.0,2.0,Octahedron,1a,1,6.0,Cu,1.0,False
mp-1101389,Ti3MnCu2(PO4)6,2.1469198884478136,0.0764583171394631,"[6.0, 6.0]",1.5,1.0,2.0,Octahedron,1a,1,6.0,Cu,1.0,False
mp-1101698,NaCu2O3,2.031530095860965,-0.1767002046485496,[4.0],2.0,2.0,2.0,Square plane,4e,1,4.0,Cu,0.0,True
mp-1103557,MgVCuO4,1.1388140209251587,1.3556987655866992,[4.0],2.0,2.0,2.0,Tetrahedron,2c,1,4.0,Cu,0.0,True
mp-1104157,Cu2Ag(SeO5)2,1.779372873515446,0.1896446446717709,[6.0],2.5,2.5,2.5,Octahedron,2e,1,6.0,Cu,0.0,True
mp-1105463,Cu5(AsO5)2,1.437242772164807,0.6719826910686679,"[5.0, 6.0]",2.0,2.0,2.0,"Trigonal bipyramid, Square pyramid, Square plane","2i, 1b",3,5.0,Cu,0.0,True
mp-1105463,Cu5(AsO5)2,1.437242772164807,0.6719826910686679,"[5.0, 6.0]",2.0,2.0,2.0,"Trigonal bipyramid, Square pyramid, Square plane","2i, 1b",3,6.0,Cu,0.0,True
mp-1147655,Ba4Cu3SnO9,2.9626624904677143,-1.4191710406742295,[4.0],2.0,2.0,2.0,Square plane,6b,1,4.0,Cu,0.0,True
mp-1147739,Ba(CuO)4,1.8010877544950954,-0.0081937354259229,"[2.0, 2.0]",1.5,1.0,2.0,Linear,"4h, 4f",1,2.0,Cu,1.0,False
mp-1147739,Ba(CuO)4,1.8010877544950954,-0.0081937354259229,"[2.0, 2.0]",1.5,1.0,2.0,Linear,"4h, 4f",1,2.0,Cu,1.0,False
mp-1173145,SrPrGaCuO5,2.6206096892858683,-0.4294597934415832,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Cu,0.0,True
mp-1173178,SrLaCuRuO6,1.0412879360436544,0.9789441507657716,[6.0],2.0,2.0,2.0,Octahedron,2a,1,6.0,Cu,0.0,True
mp-1173193,Sr8Y4Cu11CO28,1.9682506436536145,-0.005890094952686,"[4.0, 4.0, 5.0]",2.0,2.0,2.0,"Square pyramid, Square plane","2d, 1a",2,4.0,Cu,0.0,True
mp-1173193,Sr8Y4Cu11CO28,1.9682506436536145,-0.005890094952686,"[4.0, 4.0, 5.0]",2.0,2.0,2.0,"Square pyramid, Square plane","2d, 1a",2,4.0,Cu,0.0,True
mp-1173193,Sr8Y4Cu11CO28,1.9682506436536145,-0.005890094952686,"[4.0, 4.0, 5.0]",2.0,2.0,2.0,"Square pyramid, Square plane","2d, 1a",2,5.0,Cu,0.0,True
mp-1173221,Sr4Ca2TlCu4PbO14,0.4104849853614006,1.975862236492849,[5.0],2.25,2.25,2.25,Square pyramid,2e,1,5.0,Cu,0.0,True
mp-1173222,Sr3LaCuRuO8,2.763417523045983,-0.6285130690513198,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Cu,0.0,True
mp-1173231,Sr4CaYCo2(Cu2O7)2,0.1304201255141063,2.0614036355842424,[5.0],2.0,2.0,2.0,Square pyramid,2i,1,5.0,Cu,0.0,True
mp-1173245,Sr6La3Ti3Cu3O20,2.241077597318556,-0.2583067675343415,"[5.0, 6.0]",2.5,2.0,3.0,"Octahedron, Square pyramid",1a,2,5.0,Cu,1.0,False
mp-1173245,Sr6La3Ti3Cu3O20,2.241077597318556,-0.2583067675343415,"[5.0, 6.0]",2.5,2.0,3.0,"Octahedron, Square pyramid",1a,2,6.0,Cu,1.0,False
mp-1173246,Sr2Y4Fe2Cu2O13,2.252486628486348,-0.235294943389013,[5.0],2.0,2.0,2.0,Square pyramid,2i,1,5.0,Cu,0.0,True
mp-1173247,Sr3LaCu2HgBiO10,0.9222812128582676,1.649707967213547,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Cu,0.0,True
mp-1173257,Sr2Nd2MnCuO8,3.177407697080097,-1.0050656696486793,[6.0],2.0,2.0,2.0,Octahedron,2i,1,6.0,Cu,0.0,True
mp-1173271,Sr2La6FeCu7O20,1.669429649277641,0.3923726558561265,"[4.0, 5.0, 6.0]",2.333333333333333,2.0,3.0,"Octahedron, Square pyramid, Square plane",1a,3,4.0,Cu,1.0,False
mp-1173271,Sr2La6FeCu7O20,1.669429649277641,0.3923726558561265,"[4.0, 5.0, 6.0]",2.333333333333333,2.0,3.0,"Octahedron, Square pyramid, Square plane",1a,3,5.0,Cu,1.0,False
mp-1173271,Sr2La6FeCu7O20,1.669429649277641,0.3923726558561265,"[4.0, 5.0, 6.0]",2.333333333333333,2.0,3.0,"Octahedron, Square pyramid, Square plane",1a,3,6.0,Cu,1.0,False
mp-1173276,Sr2La2FeCu3O10,1.6384063629114298,0.3906233913923144,"[4.0, 5.0]",2.0,2.0,2.0,"Square pyramid, Square plane","4g, 2c",2,4.0,Cu,0.0,True
mp-1173276,Sr2La2FeCu3O10,1.6384063629114298,0.3906233913923144,"[4.0, 5.0]",2.0,2.0,2.0,"Square pyramid, Square plane","4g, 2c",2,5.0,Cu,0.0,True
mp-1173436,Sr19Cu19O41,1.9338815125994344,0.0233135786552773,"[4.0, 4.0, 6.0, 6.0]",2.25,2.0,3.0,"Octahedron, Square plane","2i, 1b",2,4.0,Cu,1.0,False
mp-1173436,Sr19Cu19O41,1.9338815125994344,0.0233135786552773,"[4.0, 4.0, 6.0, 6.0]",2.25,2.0,3.0,"Octahedron, Square plane","2i, 1b",2,4.0,Cu,1.0,False
mp-1173436,Sr19Cu19O41,1.9338815125994344,0.0233135786552773,"[4.0, 4.0, 6.0, 6.0]",2.25,2.0,3.0,"Octahedron, Square plane","2i, 1b",2,6.0,Cu,1.0,False
mp-1173436,Sr19Cu19O41,1.9338815125994344,0.0233135786552773,"[4.0, 4.0, 6.0, 6.0]",2.25,2.0,3.0,"Octahedron, Square plane","2i, 1b",2,6.0,Cu,1.0,False
mp-1173455,Rb2Cu4H5(SO5)4,1.557471232239458,0.5948787275154249,[6.0],2.25,2.25,2.25,Octahedron,2i,1,6.0,Cu,0.0,True
mp-1173562,NaV3Fe2CuO12,1.7781316526860045,0.2755385582392241,[5.0],2.0,2.0,2.0,Trigonal bipyramid,1a,1,5.0,Cu,0.0,True
mp-1173638,Sr10Cu(RuO5)4,1.819186985236988,0.1994894499707724,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Cu,0.0,True
mp-1173726,Na4Cu7P4(ClO9)2,1.8237174146888373,0.1955479895655126,"[2.0, 4.0, 6.0]",2.0,2.0,2.0,"Octahedron, Trigonal bipyramid, T-shaped","2e, 2d, 1b, 2c",3,2.0,Cu,0.0,True
mp-1173726,Na4Cu7P4(ClO9)2,1.8237174146888373,0.1955479895655126,"[2.0, 4.0, 6.0]",2.0,2.0,2.0,"Octahedron, Trigonal bipyramid, T-shaped","2e, 2d, 1b, 2c",3,4.0,Cu,0.0,True
mp-1173726,Na4Cu7P4(ClO9)2,1.8237174146888373,0.1955479895655126,"[2.0, 4.0, 6.0]",2.0,2.0,2.0,"Octahedron, Trigonal bipyramid, T-shaped","2e, 2d, 1b, 2c",3,6.0,Cu,0.0,True
mp-1173785,Na2Cu4H5(SO5)4,1.6377993027932896,0.4925283975847899,[6.0],2.25,2.25,2.25,Octahedron,2i,1,6.0,Cu,0.0,True
mp-1176404,Na2CuCSO7,2.065020515438911,0.0458455572495466,[6.0],2.0,2.0,2.0,Octahedron,2e,1,6.0,Cu,0.0,True
mp-1176950,Li8Mn7Cu(PO4)12,1.7201343323648643,0.2686887635493694,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Cu,0.0,True
mp-1177402,Li4FeCu3(PO4)4,2.0058897592190994,0.1100335834403067,"[6.0, 6.0]",1.5,1.0,2.0,Octahedron,"1a, 1b",1,6.0,Cu,1.0,False
