material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Cu_wyckoff,num_Cu_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1041019,CuReO4,1.0857394237802636,1.3107652515308883,"[4.0, 5.0]",2.0,2.0,2.0,See-saw,4e,1,5.0,Cu,0.0,True,1.0,5.0,1.9440628901351742,2.730398380155016,2.1668381254846283,0.29424122414592213,0.7863354900198418,69.91182037485555,31.090263549594095,16.101772912741648,110.05007678109448,5.0,1.0,2,See-saw
mp-1041019,CuReO4,1.0857394237802636,1.3107652515308883,"[4.0, 5.0]",2.0,2.0,2.0,See-saw,4e,1,5.0,Cu,0.0,True,2.0,5.0,1.944062890135175,2.730398380155018,2.166838125484629,0.2942412241459226,0.7863354900198427,69.91182037485552,31.09026354959409,16.101772912741627,110.05007678109446,5.0,1.0,3,See-saw
mp-1041019,CuReO4,1.0857394237802636,1.3107652515308883,"[4.0, 5.0]",2.0,2.0,2.0,See-saw,4e,1,5.0,Cu,0.0,True,3.0,5.0,1.9316719331179093,3.011188448572821,2.203659342830977,0.4062420914624989,1.0795165154549116,80.01513166081584,31.6312141289358,30.552372175813364,153.50754605040424,5.0,1.0,4,See-saw
mp-1041019,CuReO4,1.0857394237802636,1.3107652515308883,"[4.0, 5.0]",2.0,2.0,2.0,See-saw,4e,1,5.0,Cu,0.0,True,4.0,5.0,1.9316719331179084,3.0111884485728213,2.203659342830977,0.40624209146249907,1.079516515454913,104.97829051538403,23.683351487736505,71.73544494623695,153.5075460504043,5.0,1.0,5,See-saw
mp-1041019,CuReO4,1.0857394237802636,1.3107652515308883,"[4.0, 5.0]",2.0,2.0,2.0,See-saw,4e,1,5.0,Cu,0.0,True,5.0,5.0,1.9440628901351744,2.7303983801550156,2.1668381254846283,0.29424122414592185,0.7863354900198412,82.40281641433577,32.10119476166609,11.268455444738931,131.0483696250908,5.0,1.0,6,See-saw
mp-1041019,CuReO4,1.0857394237802636,1.3107652515308883,"[4.0, 5.0]",2.0,2.0,2.0,See-saw,4e,1,5.0,Cu,0.0,True,6.0,5.0,1.9316719331179095,3.0111884485728218,2.2036593428309774,0.4062420914624992,1.0795165154549122,104.97829051538403,23.68335148773649,71.73544494623695,153.50754605040424,5.0,1.0,7,See-saw
mp-1041019,CuReO4,1.0857394237802636,1.3107652515308883,"[4.0, 5.0]",2.0,2.0,2.0,See-saw,4e,1,5.0,Cu,0.0,True,7.0,5.0,1.9440628901351753,2.7303983801550187,2.1668381254846287,0.2942412241459228,0.7863354900198434,82.40281641433579,32.101194761666115,11.268455444738866,131.04836962509086,5.0,1.0,8,See-saw
mp-1041392,V2Zn(CuO4)2,1.805935274933418,0.2205605378081475,"[4.0, 5.0]",2.0,2.0,2.0,"Square pyramid, Square plane",4e,2,4.0,Cu,0.0,True,,,,,,,,,,,,,,0,"Square pyramid, Square plane"
mp-1041392,V2Zn(CuO4)2,1.805935274933418,0.2205605378081475,"[4.0, 5.0]",2.0,2.0,2.0,"Square pyramid, Square plane",4e,2,5.0,Cu,0.0,True,12.0,5.0,1.9042488841927274,2.1999062063119563,2.0179557721451022,0.10926057359812895,0.2956573221192289,76.70060012591088,25.8277558072155,31.971322203609258,118.50400134221988,5.0,1.0,1,"Square pyramid, Square plane"
mp-1041392,V2Zn(CuO4)2,1.805935274933418,0.2205605378081475,"[4.0, 5.0]",2.0,2.0,2.0,"Square pyramid, Square plane",4e,2,5.0,Cu,0.0,True,15.0,5.0,1.9042488841927276,2.1999062063119568,2.017955772145102,0.10926057359812884,0.2956573221192291,76.70060012591088,25.827755807215485,31.971322203609258,118.5040013422199,5.0,1.0,2,"Square pyramid, Square plane"
mp-1041392,V2Zn(CuO4)2,1.805935274933418,0.2205605378081475,"[4.0, 5.0]",2.0,2.0,2.0,"Square pyramid, Square plane",4e,2,5.0,Cu,0.0,True,16.0,5.0,1.9042488841927274,2.199906206311957,2.0179557721451022,0.10926057359812906,0.2956573221192298,95.0235786432798,30.271932279088897,31.971322203609258,150.9481908499969,5.0,1.0,3,"Square pyramid, Square plane"
mp-1041392,V2Zn(CuO4)2,1.805935274933418,0.2205605378081475,"[4.0, 5.0]",2.0,2.0,2.0,"Square pyramid, Square plane",4e,2,5.0,Cu,0.0,True,18.0,5.0,1.9042488841927279,2.199906206311957,2.0179557721451027,0.10926057359812918,0.29565732211922935,95.02357864327979,30.271932279088908,31.971322203609258,150.9481908499969,5.0,1.0,4,"Square pyramid, Square plane"
mp-1041444,CaV2(CuO4)2,1.5352593167820037,0.5842484492229514,"[4.0, 5.0]",2.0,2.0,2.0,"Trigonal bipyramid, See-saw",4e,2,4.0,Cu,0.0,True,,,,,,,,,,,,,,0,"Trigonal bipyramid, See-saw"
mp-1041444,CaV2(CuO4)2,1.5352593167820037,0.5842484492229514,"[4.0, 5.0]",2.0,2.0,2.0,"Trigonal bipyramid, See-saw",4e,2,5.0,Cu,0.0,True,12.0,5.0,1.9092669908096729,2.5425445707345005,2.082114933201203,0.23474134515538508,0.6332775799248276,78.24429955466853,26.476361799309917,33.85724440857068,122.66265349579606,5.0,1.0,1,"Trigonal bipyramid, See-saw"
mp-1041444,CaV2(CuO4)2,1.5352593167820037,0.5842484492229514,"[4.0, 5.0]",2.0,2.0,2.0,"Trigonal bipyramid, See-saw",4e,2,5.0,Cu,0.0,True,15.0,5.0,1.909266990809674,2.542544570734499,2.0821149332012028,0.23474134515538447,0.6332775799248251,78.24429955466856,26.476361799309934,33.85724440857064,122.66265349579609,5.0,1.0,2,"Trigonal bipyramid, See-saw"
mp-1041444,CaV2(CuO4)2,1.5352593167820037,0.5842484492229514,"[4.0, 5.0]",2.0,2.0,2.0,"Trigonal bipyramid, See-saw",4e,2,5.0,Cu,0.0,True,16.0,5.0,1.9092669908096733,2.5425445707345022,2.082114933201203,0.23474134515538567,0.6332775799248289,94.9970711769669,29.76561296505027,35.71628625214522,138.84488825887516,5.0,1.0,3,"Trigonal bipyramid, See-saw"
mp-1041444,CaV2(CuO4)2,1.5352593167820037,0.5842484492229514,"[4.0, 5.0]",2.0,2.0,2.0,"Trigonal bipyramid, See-saw",4e,2,5.0,Cu,0.0,True,18.0,5.0,1.9092669908096738,2.5425445707345,2.082114933201203,0.2347413451553849,0.6332775799248263,94.9970711769669,29.765612965050273,35.7162862521452,138.84488825887522,5.0,1.0,4,"Trigonal bipyramid, See-saw"
mp-1041631,Mg(CuO2)2,1.288977896626001,1.5069277679557307,[5.0],3.0,3.0,3.0,Square pyramid,8e,1,5.0,Cu,0.0,True,,,,,,,,,,,,,,0,Square pyramid
mp-1041636,CaCuP2O7,1.3970953680152554,0.7566502621325543,[5.0],2.0,2.0,2.0,Square pyramid,2i,1,5.0,Cu,0.0,True,,,,,,,,,,,,,,0,Square pyramid
mp-1041698,ZnCuP2O7,1.5269656959860207,0.5921162809163635,[5.0],2.0,2.0,2.0,Square pyramid,2i,1,5.0,Cu,0.0,True,,,,,,,,,,,,,,0,Square pyramid
mp-1041735,V2ZnCuO7,1.8435532597188584,0.121797050155105,[4.0],2.0,2.0,2.0,no_data,no_data,1,4.0,Cu,0.0,True,18.0,4.0,1.8968445926114657,1.9866080944067943,1.9350370029242487,0.03283030093431075,0.08976350179532866,46.29319232181078,19.874564151090798,22.78219071100905,83.47152679151934,4.0,1.0,1,no_data
mp-1041735,V2ZnCuO7,1.8435532597188584,0.121797050155105,[4.0],2.0,2.0,2.0,no_data,no_data,1,4.0,Cu,0.0,True,19.0,4.0,1.896844592611465,1.9866080944067956,1.935037002924249,0.032830300934311565,0.08976350179533066,46.29319232181078,19.87456415109079,22.78219071100905,83.47152679151932,4.0,1.0,2,no_data
mp-1041735,V2ZnCuO7,1.8435532597188584,0.121797050155105,[4.0],2.0,2.0,2.0,no_data,no_data,1,4.0,Cu,0.0,True,20.0,4.0,1.905841668591682,1.9304506176472038,1.9181461431194429,0.012304474527760956,0.02460894905552191,113.27398519190058,29.978249223964397,82.55715585873229,155.08814248970458,4.0,1.0,3,no_data
