CN,geometry_type,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn
6.0,"Trigonal bipyramid, Octahedron, Square pyramid",14,1,1.692427382936435,2.010492601609073,0.2962075531092685,0.8095238095238095,0.001786169941311559
6.0,"Octahedron, Trigonal prism",12,2,2.0435547282194775,2.0708964043219797,0.02088902185271449,1.0,0.0015310028068384791
6.0,"Square pyramid, Trigonal bipyramid",9,2,1.6387833650868775,2.0063032471729656,0.3311090737449673,0.8888888888888888,0.0011482521051288594
6.0,"Tetrahedron, Octahedron, Trigonal bipyramid",8,2,1.6779004946246117,1.9959310924450056,0.15534727477111523,1.0,0.0010206685378923194
6.0,"Tetrahedron, Octahedron, Square pyramid",7,1,1.9125744118064838,2.0101661404175775,0.09524257681179035,1.0,0.0008930849706557795
6.0,"Octahedron, See-saw",5,1,2.0002239829875847,2.0453513011396467,0.029832525883397253,1.0,0.0006379178361826997
6.0,"Square-face capped trigonal prism, Face-capped octahedron, Octahedron",1,1,,,,,0.00012758356723653993
7.0,"Square-face capped trigonal prism, Face-capped octahedron, Octahedron",10,1,2.0153923714712283,2.147985495033135,0.1354888008632983,1.0,0.5555555555555556
7.0,Pentagonal pyramid,4,1,1.5827427990213663,1.9924918335291624,0.1830444143252172,0.8571428571428571,0.2222222222222222
7.0,Pentagonal bipyramid,2,1,2.0695088521937786,2.1256186556706282,0.06671799626226944,1.0,0.1111111111111111
7.0,Square-face capped trigonal prism,2,2,1.8825619643859026,2.1129962758931775,0.17146427123503052,1.0,0.1111111111111111
