CN,n_samples,n_materials,avg_formal_charge,s_avg_approx,savg_class,charge_fraction_breakdown
0.0,7,7,3.4285714285714284,inf,s_avg > 1,3+:0.5714; 4+:0.4286
1.0,23,23,3.9565217391304346,3.9565217391304346,s_avg > 1,3+:0.2609; 4+:0.5217; 5+:0.2174
2.0,23,23,3.8695652173913047,1.9347826086956523,s_avg > 1,2+:0.0435; 3+:0.3043; 4+:0.3913; 5+:0.2609
3.0,12,12,4.0,1.3333333333333333,s_avg > 1,3+:0.4167; 4+:0.1667; 5+:0.4167
4.0,620,620,4.759677419354839,1.1899193548387097,s_avg > 1,2+:0.0048; 3+:0.0887; 4+:0.0484; 5+:0.8581
5.0,250,250,4.548,0.9096,s_avg ≤ 1,2+:0.0160; 3+:0.0600; 4+:0.2840; 5+:0.6400
6.0,1101,1101,3.5295186194368755,0.5882531032394792,s_avg ≤ 1,2+:0.1054; 3+:0.4078; 4+:0.3388; 5+:0.1480
7.0,5,5,3.8000000000000003,0.5428571428571429,s_avg ≤ 1,3+:0.4000; 4+:0.4000; 5+:0.2000
