material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ir_wyckoff,num_Ir_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-10254,Sr2IrO4,2.339250756322369,-0.8573053942232256,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Ir,0.0,True,2,6,1.9579545940095797,2.05540317613912,1.9904761249178582,0.04590265029398602,0.0974485821295401,45.31122318802359,26.06472716340903,0.0,72.27610652181218,2,0.3333333333333333,1,Octahedron
mp-1047130,Zn2NiIrO6,1.894634760289361,0.3584106544941082,[6.0],5.0,5.0,5.0,Octahedron,4a,1,6.0,Ir,0.0,True,12,6,1.9337186771945671,2.00422866239369,1.9615364611270136,0.03020249519612103,0.07050998519912288,59.87729315149894,33.30158920036125,8.849808756476168,101.95974549768549,6,1.0,1,Octahedron
mp-1047130,Zn2NiIrO6,1.894634760289361,0.3584106544941082,[6.0],5.0,5.0,5.0,Octahedron,4a,1,6.0,Ir,0.0,True,13,6,1.9329812147936014,2.00415753396852,1.9613513433826173,0.030290044002677968,0.0711763191749184,56.15094097370444,28.290610043695366,17.61642757411486,92.14316871969865,6,1.0,2,Octahedron
mp-1047130,Zn2NiIrO6,1.894634760289361,0.3584106544941082,[6.0],5.0,5.0,5.0,Octahedron,4a,1,6.0,Ir,0.0,True,14,6,1.933581331699176,2.0041743516955104,1.961355360875001,0.030279001029079062,0.0705930199963345,54.73520444309445,23.516837829330036,18.386026091845945,93.52307282692479,6,1.0,3,Octahedron
mp-1047130,Zn2NiIrO6,1.894634760289361,0.3584106544941082,[6.0],5.0,5.0,5.0,Octahedron,4a,1,6.0,Ir,0.0,True,15,6,1.9334615329477731,2.004145977264053,1.9615460106085347,0.03024040931708249,0.07068444431627996,54.73230185210261,23.51517692760458,18.39116842477103,93.5207992751308,6,1.0,4,Octahedron
mp-1047142,Ca2NiIrO6,1.949032163350901,0.0589331651344043,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ir,0.0,True,6,6,1.9572522209337135,1.9620757421586952,1.959810358223904,0.0019800450579522005,0.004823521224981642,107.99999994308176,36.0038043511162,89.26331746813646,180.0,6,1.0,1,Octahedron
mp-1047142,Ca2NiIrO6,1.949032163350901,0.0589331651344043,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ir,0.0,True,7,6,1.9572522209337109,1.9620757421586952,1.959810358223903,0.0019800450579531563,0.004823521224984306,57.229117794458745,32.934278911386365,6.09144525893541,98.92713784353275,6,1.0,2,Octahedron
mp-1079568,NaIrO3,1.7670390105388143,1.1114974995941478,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ir,0.0,True,2,6,1.943772477911324,1.9828880424043087,1.9698430795997794,0.01837655346070229,0.03911556449298481,28.669904203915237,28.64339143490303,0.0,77.88307744796319,6,1.0,1,Octahedron
mp-1079568,NaIrO3,1.7670390105388143,1.1114974995941478,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ir,0.0,True,3,6,1.9436913772186915,1.982883003192443,1.969831406507238,0.018404675066634332,0.039191625973751476,40.50870906168143,27.205626824773933,0.0,78.07072300101822,6,1.0,2,Octahedron
mp-1103777,K(IrO2)4,1.7964328734114594,0.5297878964829638,[6.0],3.75,3.75,3.75,Octahedron,4h,1,6.0,Ir,0.0,True,1,6,1.9730905251901687,2.0819850828046382,2.0370924612693067,0.04109929960767499,0.10889455761446953,69.29956188439328,32.536930005800315,0.0,107.62706768806285,6,1.0,1,Octahedron
mp-1103777,K(IrO2)4,1.7964328734114594,0.5297878964829638,[6.0],3.75,3.75,3.75,Octahedron,4h,1,6.0,Ir,0.0,True,2,6,1.9730905251901696,2.0819850828046382,2.037092461269307,0.0410992996076746,0.10889455761446865,69.29956196488783,32.536929834357075,0.0,107.62706768806287,6,1.0,2,Octahedron
mp-1103777,K(IrO2)4,1.7964328734114594,0.5297878964829638,[6.0],3.75,3.75,3.75,Octahedron,4h,1,6.0,Ir,0.0,True,3,6,1.9730905252095854,2.081985082790339,2.0370924612706,0.04109929960309412,0.10889455758075361,77.09067519872558,36.819758023676215,1.2074182697257333e-06,136.97201662301083,6,1.0,3,Octahedron
mp-1103777,K(IrO2)4,1.7964328734114594,0.5297878964829638,[6.0],3.75,3.75,3.75,Octahedron,4h,1,6.0,Ir,0.0,True,4,6,1.9730905252095856,2.0819850827903412,2.0370924612705994,0.04109929960309475,0.10889455758075561,77.09067519872558,36.819758023676215,1.2074182697257333e-06,136.97201662301083,6,1.0,4,Octahedron
mp-1105160,SrIrO3,1.9818756574365763,0.1723997655863623,[6.0],4.0,4.0,4.0,Octahedron,4b,1,6.0,Ir,0.0,True,4,6,2.041925827374027,2.0569218113513106,2.0517457957599574,0.006947162827631319,0.014995983977283522,51.72718866156071,24.020557646522203,17.008381088099668,83.43920133509211,6,1.0,1,Octahedron
mp-1105160,SrIrO3,1.9818756574365763,0.1723997655863623,[6.0],4.0,4.0,4.0,Octahedron,4b,1,6.0,Ir,0.0,True,5,6,2.041925827374027,2.0569218113513097,2.0517457957599574,0.0069471628276312645,0.014995983977282634,59.615458950647756,24.99267369582932,21.6191230613509,97.80049109187362,6,1.0,2,Octahedron
mp-1105160,SrIrO3,1.9818756574365763,0.1723997655863623,[6.0],4.0,4.0,4.0,Octahedron,4b,1,6.0,Ir,0.0,True,6,6,2.041925827374027,2.0569218113513106,2.0517457957599574,0.006947162827631369,0.014995983977283522,61.625407391410995,28.308547237345262,17.008381088099647,107.52340546131045,6,1.0,3,Octahedron
mp-1105160,SrIrO3,1.9818756574365763,0.1723997655863623,[6.0],4.0,4.0,4.0,Octahedron,4b,1,6.0,Ir,0.0,True,7,6,2.0419258273740266,2.0569218113513097,2.0517457957599574,0.0069471628276314736,0.014995983977283078,47.682916235604566,24.385036560637083,10.435761079075636,81.81114048935278,6,1.0,4,Octahedron
