material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ir_wyckoff,num_Ir_chemenvs,CN,element,charge_range,is_single_charge
mp-1218568,Sr4Co(IrO4)3,1.9468498921711213,0.2185495767792271,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1f, 1d, 1g",1,6.0,Ir,1.0,False
mp-1218745,Sr4CuIr2O9,1.7705491038186814,0.6786937749130791,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Ir,0.0,True
mp-1218849,Sr2GdCu2IrO8,2.111159537020812,-0.698656962831212,[6.0],5.0,5.0,5.0,Octahedron,1b,1,6.0,Ir,0.0,True
mp-1219790,Rb(IrO2)6,1.758284951988344,0.583398603213837,[6.0],3.83,3.83,3.83,Octahedron,"8i, 4h",1,6.0,Ir,0.0,True
mp-1220760,NaYIrO4,1.971799308722468,0.1921304068854491,[6.0],4.0,4.0,4.0,Octahedron,"1a, 2d",1,6.0,Ir,0.0,True
mp-1220804,NaHoIrO4,1.9696715446266253,0.1966676733713559,[6.0],4.0,4.0,4.0,Octahedron,"1a, 2d",1,6.0,Ir,0.0,True
mp-1220923,NaTbIrO4,1.9695882634052928,0.2035836134760738,[6.0],4.0,4.0,4.0,Octahedron,"1a, 2d",1,6.0,Ir,0.0,True
mp-1221061,NaDyIrO4,1.9733760629060348,0.1882292282052429,[6.0],4.0,4.0,4.0,Octahedron,"1a, 2d",1,6.0,Ir,0.0,True
mp-1222630,Li3FeIrO5,2.1370367064953726,-0.1983038174266127,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Ir,0.0,True
mp-1222691,Li5Fe2(IrO5)2,1.8567410643459628,0.5815001213243688,[6.0],4.5,4.5,4.5,Octahedron,1b,1,6.0,Ir,0.0,True
mp-1227402,Ca2IrPtO6,1.746261434822845,0.7197553245187417,[6.0],4.0,4.0,4.0,Octahedron,1c,1,6.0,Ir,0.0,True
