material_id,chem_formula,R$_0$,B,Na_chemenv,num_Na_chemenvs,Na_wyckoff,num_Na_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Na_sites,num_CN_env,num_charge_states,NaX_coordn,NaO_coordn,mean_coordn_Na-X,min_coordn_Na-X,max_coordn_Na-X,mean_coordn_Na-O,min_coordn_Na-O,max_coordn_Na-O,mean_Na_charge,min_Na_charge,max_Na_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_NaO_BondL
mp-1003636,NaMn4O8,2.4260144721964987,0.0355580634442545,Square-face capped trigonal prism,1,4e,1,[11.79426622195885],1.0,11.79426622195885,AB4C8,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Mn-Na-O,0.005272852569946,-1.9106918002387272,0.075699999999999,3,Monoclinic,2/m,P2_1/c,oxide,Na,,Mn,,,,"N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.484299489802414
mp-1003766,NaMn2O4,2.589620885296705,-0.0252194631567046,Square-face capped trigonal prism,1,2b,1,[1.405918171474073],0.0,1.405918171474073,AB2C4,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Mn-Na-O,0.04576415607142,-1.932397991748768,0.0,3,Orthorhombic,mm2,Pmc2_1,oxide,Na,,Mn,,,,"N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.4891511405987075
mp-1003767,NaMn2O4,2.002533894917467,0.263737526764372,Octahedron,1,2a,1,"[3.928080215114102, 3.786370497532968, 5.797493986686897]",0.333,4.503981566444655,AB2C4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Mn-Na-O,0.021602307738087,-1.956559840082102,0.6130999999999991,3,Monoclinic,m,Cc,oxide,Na,,Mn,,,,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.4872190824235414
mp-1004376,NaMn2O4,2.3639960464472383,-0.1267811823504442,Tetrahedron,1,"2b, 2a",2,"[0.199822496136073, 0.840157460460869]",0.0,0.519989978298471,AB2C4,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Mn-Na-O,0.028956483214278,-1.949205664605911,0.6132000000000001,3,Orthorhombic,222,C222_1,oxide,Na,,Mn,,,,"N, O",,,,,"B $\in$ [-1, -0.1]",Negative B,2.187712176715414
mp-1011858,Na2CoP2O7,2.4723423926177484,0.0827459657784865,"Tricapped triangular prism (two square-face caps and one triangular-face cap), End-trigonal-face capped trigonal prism",2,4c,1,"[6.957925825646664, 13.256209189115637]",1.0,10.107067507381151,AB2C2D7,2,2,1,"[7.0, 9.0]","[7.0, 9.0]",8.0,7.0,9.0,8.0,7.0,9.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Co-Na-O-P,0.040534906944459,-2.429034242878694,1.681999999999999,4,Orthorhombic,mmm,Pnma,oxide,Na,,Co,,,,"C, N, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.7043796573552057
mp-1011860,Na2CoP2O7,1.7721946112342892,0.4307379907692345,"Hexagonal bipyramid, Square-face capped trigonal prism",2,4e,1,"[4.833018891342466, 4.145919003255272]",0.0,4.489468947298869,AB2C2D7,2,2,1,"[6.0, 8.0]","[6.0, 8.0]",7.0,6.0,8.0,7.0,6.0,8.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Co-Na-O-P,0.006010801319458,-2.4635583485036943,2.5179,4,Monoclinic,2/m,P2_1/c,oxide,Na,,Co,,,,"C, N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.5695101044576245
mp-1012678,NaMo3P3O13,2.485034753102583,0.0695713126953902,Square antiprism,1,2e,1,[4.999341388266086],0.0,4.999341388266086,AB3C3D13,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Mo-Na-O-P,0.004734013291665,-2.417425916265394,1.5094999999999992,4,Monoclinic,2/m,P2_1/m,oxide,Na,,Mo,,,,"N, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.660695912635106
mp-1012742,NaMn3P3O13,2.1797133515068587,0.1972472070990652,Square antiprism,1,2e,1,[5.132332314251375],1.0,5.132332314251375,AB3C3D13,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Mn-Na-O-P,0.005076928625002,-2.395925765705049,0.934999999999999,4,Monoclinic,2/m,P2_1/m,oxide,Na,,Mn,,,,"N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.561574181609916
mp-1012791,NaV3P3O13,3.1510859135668268,-0.2684597829799175,Square-face capped trigonal prism,1,2e,1,[3.854346445090722],0.0,3.854346445090722,AB3C3D13,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Na-O-P-V,0.007806566749998,-2.671626947015394,1.4356,4,Monoclinic,2/m,P2_1/m,oxide,Na,,V,,,,"N, O, P",,,,,"B $\in$ [-1, -0.1]",Negative B,2.6188031097766404
mp-1013565,Na2CoP2O7,2.246525838850556,0.1248194096977558,Trigonal prism,1,2i,1,"[6.04467933207277, 6.071831485163685, 6.071101912761942, 6.068285919384969]",1.0,6.063974662345841,AB2C2D7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Co-Na-O-P,0.027097078611125,-2.442472071212028,2.3692,4,Monoclinic,-1,C2/c,oxide,Na,,Co,,,,"C, N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.4653954540027674
mp-1013843,NaMo2P2O9,3.146306166179952,-0.2868514226887531,Octahedron,1,4c,1,[2.8406832527288692],0.0,2.8406832527288692,AB2C2D9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Mo-Na-O-P,0.0,-2.451610620047502,1.807599999999999,4,Orthorhombic,mmm,Pnma,oxide,Na,,Mo,,,,"N, O, P",,,,,"B $\in$ [-1, -0.1]",Negative B,2.585476057485717
mp-1019523,Ba3NaY3(Si3O10)2,2.534237275677214,-0.0123110728881142,Pentagonal pyramid,1,2b,1,[4.102216504050031],0.0,4.102216504050031,AB3C3D6E20,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Na-O-Si-Y,0.0,-3.489300113072101,4.8815,5,Orthorhombic,mm2,Ama2,oxide,Na,Ba,Y,,,"B, Si","N, O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.537027531619455
mp-1019554,BaNaB5O9,2.8354984068227864,-0.1056345619966502,Dodecahedron with triangular faces - p2345 plane normalized,1,4e,1,[7.230053965897847],1.0,7.230053965897847,ABC5D9,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Ba-Na-O,0.0,-2.936620327638291,5.1816,4,Monoclinic,2/m,P2_1/c,oxide,Na,Ba,,,,B,"N, O",,,,,"B $\in$ [-1, -0.1]",Negative B,2.6050995140715942
mp-1019611,Cs2Na2Sr(B3O5)6,2.745257774045352,-0.1855496436638005,Octahedron,1,4e,1,[8.16052232005175],1.0,8.16052232005175,AB2C2D18E30,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Cs-Na-O-Sr,0.0,-2.872368412680548,5.7745,5,Monoclinic,2/m,P2_1/c,oxide,"Na, Cs",Sr,,,,B,"C, N, O, S",,,,,"B $\in$ [-1, -0.1]",Negative B,2.4083426885829624
mp-1019735,BaNaEu(SiO3)3,2.251042484318501,0.2197338984955437,Square-face bicapped trigonal prism,1,4a,1,[7.748081132642176],1.0,7.748081132642176,ABCD3E9,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Ba-Eu-Na-O-Si,0.024416350083333,-3.213023907425289,0.0,5,Orthorhombic,222,P2_12_12_1,oxide,Na,Ba,,,,"B, Si","N, O, S",,,Eu,,"B $\in$ [0.1, 0.5]",Positive B,2.643059808893082
mp-1019787,K2NaZn(BO2)5,2.826555155855104,-0.1639527301659195,Trigonal prism,1,2e,1,"[10.18620754885069, 8.647130329168508]",1.0,9.4166689390096,ABC2D5E10,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,B-K-Na-O-Zn,0.0,-2.645673866011192,4.2359,5,Monoclinic,2/m,C2/c,metaborate,"Na, K",,Zn,,,B,"N, O",,,,,"B $\in$ [-1, -0.1]",Negative B,2.5288825234476544
mp-1020141,Na2Al2Si3O10,2.6278640338518366,0.0758384688343443,Face-capped octahedron,1,2c,1,"[5.471383055484749, 5.5021141336487]",1.0,5.486748594566724,A2B2C3D10,1,2,1,"[5.0, 7.0]","[5.0, 7.0]",6.0,5.0,7.0,6.0,5.0,7.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Na-O-Si,0.044022108933826,-3.128102243397567,4.4513,4,Monoclinic,2,C2,oxide,Na,,,,Al,Si,"N, O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.736575120501721
mp-1020142,Na2B4O7,1.893932239687891,0.3068384431996002,"Square antiprism, Square-face bicapped trigonal prism, Square-face capped trigonal prism, Octahedron",4,"3a, 3b, 6c",3,"[4.901276473523906, 6.088348435284669, 6.022725819912035, 3.654892893976379]",0.5,5.166810905674247,A2B4C7,4,2,1,"[6.0, 8.0]","[6.0, 8.0]",7.0,6.0,8.0,7.0,6.0,8.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",GGA,B-Na-O,0.018674607008548,-2.72224613563955,5.4229,3,Trigonal,32,P3_221,tetraborate,Na,,,,,B,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.4675100378858823
mp-1020144,Na2Be4B4O11,1.9588355437344327,0.3148820340229812,"Face-capped octahedron, Trigonal prism, Pentagonal pyramid, Square-face capped trigonal prism, Bicapped octahedron (cap faces with one edge in common), Octahedron, Trigonal bipyramid",7,1a,1,"[9.665416978960884, 8.304247396210865, 9.405450527901209, 7.128048142735098, 7.110183245182148, 8.598778635777581, 8.396150692226657, 6.789396163158503, 8.265177719901134, 7.039569729319163, 8.167074569961299, 5.952842973420179, 4.651371420670556, 6.465753854802399, 5.6638726232691, 8.43190938582757]",0.938,7.502202753707772,A2B4C4D11,7,5,1,"[3.0, 5.0, 6.0, 7.0, 8.0]","[3.0, 5.0, 6.0, 7.0, 8.0]",5.8,3.0,8.0,5.8,3.0,8.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Be-Na-O,0.001796879523819,-2.877880012829775,5.170599999999999,4,Triclinic,1,P1,oxide,Na,Be,,,,B,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.5365321089376978
mp-1020146,Na2LiB5(PO7)2,2.0343480521510164,0.2516687719656395,"Face-capped octahedron, Square-face capped trigonal prism",2,2e,1,"[6.454512820683983, 7.961212890701962]",1.0,7.207862855692973,AB2C2D5E14,2,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",GGA,B-Li-Na-O-P,0.0,-2.780659908383792,5.5805,5,Monoclinic,2/m,P2_1/m,oxide,"Li, Na",,,,,B,"N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.545823782312624
mp-1020147,Na2Mg2P3NO9,1.7169512114897971,0.5481046144380598,"Tricapped triangular prism (three square-face caps), Square-face capped trigonal prism",2,4a,1,"[7.13745217031372, 5.002855474541809]",1.0,6.0701538224277645,AB2C2D3E9,2,2,1,"[3.0, 7.0]","[3.0, 6.0]",5.0,3.0,7.0,4.5,3.0,6.0,1.0,1.0,1.0,1.5,1,2,"O2-, N3-","Alkali Metals, Alkaline Earth Metals, Nonmetals",GGA,Mg-N-Na-O-P,0.0,-2.680814938334541,5.2409,5,Cubic,23,P2_13,oxide,Na,Mg,,,,,"N, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.562695571126765
mp-1020160,Na3Zn(BO2)5,2.062380302284512,0.2704987145090795,"Face-capped octahedron, Square-face capped trigonal prism",2,8c,1,"[11.363080411709968, 7.644029447109116, 8.349939859930027]",1.0,9.11901657291637,AB3C5D10,2,2,1,"[5.0, 7.0]","[5.0, 7.0]",6.0,5.0,7.0,6.0,5.0,7.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,B-Na-O-Zn,0.001394865394789,-2.6195551121037512,4.4531,4,Orthorhombic,mmm,Pbca,metaborate,Na,,Zn,,,B,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.568135458444128
mp-1020163,Na3Li2Al(SiO4)2,1.893753979240944,0.326756736235002,Octahedron,1,"4f, 4e, 4d",3,"[5.831106226402994, 6.978406180982399, 5.541111264790447]",1.0,6.116874557391948,AB2C2D3E8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Li-Na-O-Si,0.007223642421887,-2.8242175870815363,4.051,5,Orthorhombic,mmm,Cmce,silicate,"Li, Na",,,,Al,Si,"N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.516247215328813
mp-1020179,Na6Si2O7,2.2253815442670146,0.1383264814365124,"Trigonal prism, Square pyramid, Octahedron, Trigonal bipyramid, Tetrahedron, See-saw",6,2i,1,"[2.668468797393276, 4.086265695763886, 5.324880367001081, 5.220212072294055, 4.180896536772312, 5.133031001588853, 6.856255743936894, 4.427763077475067, 3.53226216060928, 0.865000128182363, 4.468951756677712, 5.187093204790053, 2.09451251368695, 4.159579137163122, 2.97931292385685, 5.005076552567778, 5.269867892649377, 6.874531242983867, 4.242991357481652, 5.6357409560852005, 4.349818986199456, 2.726901511769599, 7.438632143924101, 7.333293646810278]",0.458,4.5858891419859615,A2B6C7,6,3,1,"[4.0, 5.0, 6.0]","[4.0, 5.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",GGA,Na-O-Si,0.00890901491667,-2.405988550749997,3.5458,3,Triclinic,-1,P-1,oxide,Na,,,,,Si,"N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.4374591102399483
mp-1020180,Na2SrMg(PO4)2,1.1198430791351843,0.7146026491045524,Square-face capped square prism,1,4e,1,"[6.724875877935253, 6.2609041599164375]",1.0,6.492890018925845,ABC2D2E8,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals",GGA,Mg-Na-O-P-Sr,0.000171755535713,-2.962684391931737,5.2433,5,Monoclinic,2/m,P2_1/c,phosphate,Na,"Mg, Sr",,,,,"N, O, P, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.6560058105816435
mp-1020181,Na2ZnB6O11,2.7534900169348733,-0.0578238941518984,Dodecahedron with triangular faces - p2345 plane normalized,1,4f,1,[6.033207704306045],1.0,6.033207704306045,AB2C6D11,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,B-Na-O-Zn,0.002875950472223,-2.68501419838793,4.7511,4,Monoclinic,2/m,C2/c,oxide,Na,,Zn,,,B,"N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.602220666721616
mp-1020596,NaGa(GeO3)2,2.240330044162936,0.1736543626166225,Square antiprism,1,2e,1,[2.8754824550167593],0.0,2.8754824550167593,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Ga-Ge-Na-O,0.029915079416663,-2.17340680838793,2.6524,4,Monoclinic,2/m,C2/c,oxide,Na,,,,Ga,Ge,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.56772700738827
mp-1020624,NaBe(BO2)3,2.0623388058182988,0.2676264925090514,Face-capped octahedron,1,4a,1,[9.134253256448858],1.0,9.134253256448858,ABC3D6,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Be-Na-O,0.001195700530318,-2.841275167170846,5.5885,4,Orthorhombic,mm2,Pna2_1,metaborate,Na,Be,,,,B,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.5265754196254
mp-1020646,NaLi2B(PO4)2,2.3866150882132926,0.0334292393618423,Square-face bicapped trigonal prism,1,2i,1,[7.323132687666048],1.0,7.323132687666048,ABC2D2E8,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",GGA,B-Li-Na-O-P,0.0,-2.736737692964168,5.8333,5,Triclinic,-1,P-1,phosphate,"Li, Na",,,,,B,"N, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.4440197492739064
mp-1020648,NaLaSiO4,1.7607703394747982,0.48717603643501,"Square-face capped square prism, Square-face bicapped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized",3,4a,1,"[4.231536327152646, 6.001442071123958, 6.829080901526072]",0.667,5.687353099934225,ABCD4,3,3,1,"[4.0, 7.0, 9.0]","[4.0, 7.0, 9.0]",6.666666666666667,4.0,9.0,6.666666666666667,4.0,9.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",GGA,La-Na-O-Si,0.0,-3.319185111268472,4.5657,4,Orthorhombic,mm2,Pna2_1,silicate,Na,,,,,Si,"N, O, S",,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.70043761628246
mp-1020655,NaB(S2O7)2,2.287785527748805,0.1323478758929614,Square-face capped trigonal prism,1,4e,1,[2.325331563567882],0.0,2.325331563567882,ABC4D14,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",GGA,B-Na-O-S,0.0,-1.9121670681522984,5.6374,4,Monoclinic,2/m,P2_1/c,oxide,Na,,,,,B,"N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.5461031699044163
mp-1020657,NaSr(PO3)3,1.2595552406272637,0.6898498423357883,Octahedron,1,2i,1,[3.092652936589619],0.0,3.092652936589619,ABC3D9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals",GGA,Na-O-P-Sr,0.0,-2.870435700736278,5.4112,4,Triclinic,-1,P-1,phosphite,Na,Sr,,,,,"N, O, P, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.473602913063442
mp-1020658,NaB(SO4)2,1.470275888072038,0.5792675210673391,Trigonal prism,1,2f,1,[1.416240644456128],0.0,1.416240644456128,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",GGA,B-Na-O-S,0.0,-2.102004117545497,6.0379,4,Monoclinic,2/m,P2/c,sulfate,Na,,,,,B,"N, O, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.4866348564410656
mp-1020661,NaAl(SiO3)2,2.147396202455244,0.2350489136875212,"Pentagonal plane, Square plane",2,4f,1,"[5.074466035869831, 4.016723600053146]",0.5,4.545594817961488,ABC2D6,2,2,1,"[4.0, 5.0]","[4.0, 5.0]",4.5,4.0,5.0,4.5,4.0,5.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Na-O-Si,0.013845655437492,-3.175639370762931,4.6427,4,Monoclinic,2/m,C2/c,oxide,Na,,,,Al,Si,"N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.505986270676169
mp-1020683,NaCa(PO3)3,1.2980363012498657,0.6571669308369913,Octahedron,1,2i,1,[3.821997326012335],0.0,3.821997326012335,ABC3D9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals",GGA,Ca-Na-O-P,0.0,-2.858141192521992,5.4489,4,Triclinic,-1,P-1,phosphite,Na,Ca,,,,,"C, N, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.4570895600390323
mp-1034083,NaMg14TiO16,1.375383290844276,0.4586424329434362,Octahedron,1,1c,1,[0.07976013792444],0.0,0.07976013792444,ABC14D16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",r2SCAN,Mg-Na-O-Ti,0.04940576280771,-2.9579809367097702,0.123999999999999,4,Tetragonal,4/mmm,P4/mmm,oxide,Na,Mg,Ti,,,,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.201503256526653
mp-1034101,NaMg14TiO16,1.7300573252707458,0.2767560997069199,Octahedron,1,1c,1,[0.092428623547173],0.0,0.092428623547173,ABC14D16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Mg-Na-O-Ti,0.04217501312021,-2.965211686397269,0.4659,4,Orthorhombic,mmm,Pmmm,oxide,Na,Mg,Ti,,,,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.231913117327864
mp-1034314,NaMg14GaO16,1.404624739716874,0.4599079703145863,Octahedron,1,1a,1,[0.077952257306398],0.0,0.077952257306398,ABC14D16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Post-Transition Metals",GGA,Ga-Mg-Na-O,0.047381158203124,-2.888224816214978,4.579899999999999,4,Tetragonal,4/mmm,P4/mmm,oxide,Na,Mg,,,Ga,,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.233023688055946
mp-1034594,NaMg14CrO16,1.3286730312973891,0.5016539783930021,Octahedron,1,1a,1,[0.09279547406042701],0.0,0.09279547406042701,ABC14D16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Cr-Mg-Na-O,0.045497266171874,-2.894999692543104,2.810399999999999,4,Tetragonal,4/mmm,P4/mmm,oxide,Na,Mg,Cr,,,,"C, N, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.2322661071026397
mp-1034602,NaMg14CrO16,1.6853465434500825,0.3011019630317583,Octahedron,1,1a,1,[0.09926487116372301],0.0,0.09926487116372301,ABC14D16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Cr-Mg-Na-O,0.036910727421875,-2.903586231293103,3.1717,4,Orthorhombic,mmm,Pmmm,oxide,Na,Mg,Cr,,,,"C, N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.231343962758188
mp-1034608,NaMg14GaO16,1.6242416271925226,0.3397938216064781,Octahedron,1,1a,1,[0.11084199760338101],0.0,0.11084199760338101,ABC14D16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Post-Transition Metals",GGA,Ga-Mg-Na-O,0.035921431953124,-2.899684542464978,5.0262,4,Orthorhombic,mmm,Pmmm,oxide,Na,Mg,,,Ga,,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.2404039690601505
mp-10349,Na2SnTeO6,0.0610664901146881,1.2566962323201356,Square-face bicapped trigonal prism,1,4e,1,[2.48310604011768],0.0,2.48310604011768,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Na-O-Sn-Te,0.038612535874999,-1.860587601942529,1.243299999999999,4,Monoclinic,2/m,P2_1/c,oxide,Na,,,,Sn,Te,"N, O, S",,,,,B > 1,Positive B,2.5389018753569164
mp-1035088,NaMg14CoO16,1.587527085551362,0.3630921122813864,Octahedron,1,1e,1,[0.120081491440664],0.0,0.120081491440664,ABC14D16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Co-Mg-Na-O,0.04099535125,-2.812213131918104,1.3648,4,Orthorhombic,mmm,Pmmm,oxide,Na,Mg,Co,,,,"C, N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.245930123413536
