material_id,chem_formula,R$_0$,B,Na_chemenv,num_Na_chemenvs,Na_wyckoff,num_Na_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Na_sites,num_CN_env,num_charge_states,NaX_coordn,NaO_coordn,mean_coordn_Na-X,min_coordn_Na-X,max_coordn_Na-X,mean_coordn_Na-O,min_coordn_Na-O,max_coordn_Na-O,mean_Na_charge,min_Na_charge,max_Na_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_NaO_BondL
mp-555494,NaTbMnWO6,3.4905640816336865,-0.7680859812011822,Square-face bicapped trigonal prism,1,2a,1,[2.7006650092615123],0.0,2.7006650092615123,ABCDE6,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Mn-Na-O-Tb-W,0.0,-2.6879429475977,2.2708,5,Monoclinic,2,P2_1,oxide,Na,,"Mn, W",,,,"N, O",,,Tb,,"B $\in$ [-1, -0.1]",Negative B,2.383168556348323
mp-555537,Na3ErV2O8,2.1516598915218315,0.214348056420753,"Square-face capped trigonal prism, Octahedron",2,"4e, 2c",2,"[6.0558800861581314, 2.726217902331579]",0.5,4.391048994244855,AB2C3D8,2,2,1,"[5.0, 6.0]","[5.0, 6.0]",5.5,5.0,6.0,5.5,5.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Er-Na-O-V,0.0,-2.691589446724137,3.625499999999999,4,Monoclinic,2/m,P2_1/c,oxide,Na,,V,,,,"N, O",,,Er,,"B $\in$ [0.1, 0.5]",Positive B,2.506093324103474
mp-555576,KNaS2O7,2.478805867849192,-0.0028323874661995,Octahedron,1,2i,1,[1.9968645869138282],0.0,1.9968645869138282,ABC2D7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",GGA,K-Na-O-S,0.0,-2.090979643511755,5.2338000000000005,4,Triclinic,-1,P-1,oxide,"Na, K",,,,,,"N, O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.4683000753439543
mp-555604,Na3Dy(Si2O5)3,2.2055953034860125,0.2104751668588315,"Trigonal prism, Tricapped octahedron (all 3 cap faces are sharingone edge of a face), Bicapped octahedron (cap faces with one edge in common)",3,"4d, 4e, 4f",3,"[11.273900467278942, 4.049519272638271, 6.159361726531205]",0.667,7.160927155482806,AB3C6D15,3,3,1,"[4.0, 5.0, 6.0]","[4.0, 5.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",GGA,Dy-Na-O-Si,0.0,-3.163040641932184,4.77,4,Orthorhombic,mmm,Cmce,oxide,Na,,,,,Si,"N, O, S",,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.5503733751084185
mp-555606,Na10Be4Si4O17,2.1807493191806,0.1712854923284913,no_data,1,no_data,1,no_data,0.0,no_data,A4B4C10D17,3,3,1,"[4.0, 6.0, 8.0]","[4.0, 6.0, 8.0]",6.0,4.0,8.0,6.0,4.0,8.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,Be-Na-O-Si,0.002651176785715,-2.711822081108375,3.9432,4,Cubic,-43m,P-43m,oxide,Na,Be,,,,"B, Si","N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.5263969637323718
mp-555678,Na4Ti5O12,2.650138227030609,-0.1060383639519497,"Tridiminished icosahedron, Octahedron",2,"2d, 2c",2,"[6.790733401406047, 4.732465851917018]",0.5,5.761599626661533,A4B5C12,2,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",r2SCAN,Na-O-Ti,0.0,-3.107293959151615,2.4744,3,Trigonal,-3,P-3,oxide,Na,,Ti,,,,"N, O",,,,,"B $\in$ [-1, -0.1]",Negative B,2.410257615300215
mp-555687,Na2DyMoPO8,2.2699446973795068,0.2613742369009375,Trigonal prism,1,8f,1,[8.514591959764118],1.0,8.514591959764118,ABCD2E8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Dy-Mo-Na-O-P,0.003930700192309,-2.770452292812933,4.2135,5,Orthorhombic,mmm,Ibca,oxide,Na,,Mo,,,,"N, O, P",,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.631893848655504
mp-555752,NaFe2(MoO4)3,2.717904099809774,-0.060954263569002,Octahedron,1,2i,1,[7.317775234476133],1.0,7.317775234476133,AB2C3D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA_U,Fe-Mo-Na-O,0.002395589791657,-1.942289827298851,1.0892,4,Triclinic,-1,P-1,oxide,Na,,"Fe, Mo",,,,"N, O",F,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.588001409213181
mp-555804,Na3Nd14(RuO6)6,2.623852301436069,-0.0788642969325235,"Trigonal prism, Tricapped triangular prism (three square-face caps)",2,"4c, 2a",2,"[3.8291915716615432, 0.278157152316093]",0.0,2.053674361988818,A3B6C14D36,2,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Na-Nd-O-Ru,0.0,-2.886576502019288,0.006,4,Trigonal,-3m,R-3c,oxide,Na,,Ru,,,,"N, O",,,Nd,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.476152414258667
mp-555821,Na4Cu(AsO4)2,2.841823424719647,-0.1948501572396668,"Face-capped octahedron, Trigonal prism",2,2i,1,"[4.502832268525567, 6.571263936372211]",0.5,5.537048102448889,AB2C4D8,2,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",r2SCAN,As-Cu-Na-O,0.016087371000002,-1.849864853367816,0.6995,4,Triclinic,-1,P-1,oxide,Na,,Cu,,,As,"C, N, O",,,,,"B $\in$ [-1, -0.1]",Negative B,2.4567175418397764
