material_id,chem_formula,R$_0$,B,Sr_chemenv,num_Sr_chemenvs,Sr_wyckoff,num_Sr_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Sr_sites,num_CN_env,num_charge_states,SrX_coordn,SrO_coordn,mean_coordn_Sr-X,min_coordn_Sr-X,max_coordn_Sr-X,mean_coordn_Sr-O,min_coordn_Sr-O,max_coordn_Sr-O,mean_Sr_charge,min_Sr_charge,max_Sr_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_SrO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-1209534,Sr3Sm2(BO3)4,1.350116422958854,0.9387232515980575,"Dodecahedron with triangular faces - p2345 plane normalized, Tricapped triangular prism (three square-face caps)",2,4a,1,"[3.7673848996090493, 4.099868128311541, 3.78625575335114]",0.0,3.8845029270905767,A2B3C4D12,2,2,1,"[8.0, 9.0]","[8.0, 9.0]",8.5,8.0,9.0,8.5,8.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",2.7153239736994257,GGA,B-O-Sm-Sr,0.006314099999993001,-3.354414614841269,4.5184999999999995,4,Orthorhombic,mm2,Pna2_1,orthoborate,None,Sr,None,None,None,B,"O, S",None,None,Sm,None,"B $\in$ [0.5, 1]",Positive B
mp-1209630,Sr3Dy2(BO3)4,1.3455255445912369,0.932355799511489,"Square-face bicapped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized, Tricapped triangular prism (three square-face caps)",3,4a,1,"[3.998652481095663, 5.711812665463063, 3.60764794360673]",0.333,4.4393710300551525,A2B3C4D12,3,2,1,"[8.0, 9.0]","[8.0, 9.0]",8.5,8.0,9.0,8.5,8.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",2.7053916452173925,GGA,B-Dy-O-Sr,0.010409767916661001,-3.367470948809522,4.5247,4,Orthorhombic,mm2,Pna2_1,orthoborate,None,Sr,None,None,None,B,"O, S",None,None,Dy,None,"B $\in$ [0.5, 1]",Positive B
mp-1209645,Sr3Ho2(BO3)4,1.3755360928184044,0.9121594736315576,"Dodecahedron with triangular faces - p2345 plane normalized, Tricapped triangular prism (three square-face caps)",2,4a,1,"[3.870210530027067, 4.3245709047482315, 3.704934948378087]",0.0,3.9665721277177948,A2B3C4D12,2,2,1,"[8.0, 9.0]","[8.0, 9.0]",8.5,8.0,9.0,8.5,8.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",2.7002445824401438,GGA,B-Ho-O-Sr,0.027927584404757,-3.365546100198411,4.5049,4,Orthorhombic,mm2,Pna2_1,orthoborate,None,Sr,None,None,None,B,"H, O, S",None,None,Ho,None,"B $\in$ [0.5, 1]",Positive B
mp-1210337,Sr5(RhO3)4,2.288476336482886,0.3315682964206927,"Square antiprism, Dodecahedron with triangular faces - p2345 plane normalized, Square-face monocapped antiprism",3,"6f, 12g",2,"[5.105863365068395, 3.5301629549337212, 3.120377670492986]",0.333,3.9188013301650337,A4B5C12,3,2,1,"[8.0, 9.0]","[8.0, 9.0]",8.5,8.0,9.0,8.5,8.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",2.7128349230149498,GGA,O-Rh-Sr,0.0053562681249960005,-2.1701917890476192,0.0,3,Trigonal,-3m,P-3c1,oxide,None,Sr,Rh,None,None,None,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1210405,Na4Sr(Ge2O5)3,2.550237182168048,0.03646066847743244,Tricapped triangular prism (three square-face caps),1,2d,1,[0.6981438997548151],0.0,0.6981438997548151,AB4C6D15,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",2.60555697235972,GGA,Ge-Na-O-Sr,0.006211192756408,-2.25456694117374,2.7036,4,Hexagonal,6/m,P6_3/m,oxide,Na,Sr,None,None,None,Ge,"N, O, S",None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1211577,KSr2Si4O10F,2.1663660613102986,0.3787488091989812,"Square-face bicapped trigonal prism, Octahedron",2,4e,1,"[4.347257569209558, 2.819424894995713]",0.0,3.583341232102635,ABC2D4E10,2,2,1,"[5.0, 6.0]","[5.0, 6.0]",5.5,5.0,6.0,5.5,5.0,6.0,2.0,2.0,2.0,2.0,2,2,O2-,"Alkali Metals, Alkaline Earth Metals, Halogens, Metalloids, Nonmetals",2.6575136006671993,GGA,F-K-O-Si-Sr,0.0,-3.343021841375,4.8589,5,Monoclinic,2/m,P2_1/c,fluoride,K,Sr,None,None,None,Si,"O, S",F,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1211958,Sr3Gd2(BO3)4,1.366408262849707,0.925359379687219,"Dodecahedron with triangular faces - p2345 plane normalized, Tricapped triangular prism (three square-face caps)",2,4a,1,"[3.821368655354033, 4.174471540373649, 3.751614873556846]",0.0,3.915818356428176,A2B3C4D12,2,2,1,"[8.0, 9.0]","[8.0, 9.0]",8.5,8.0,9.0,8.5,8.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",2.71240503680585,GGA,B-Gd-O-Sr,0.016784608968249,-3.349058801984127,2.5819,4,Orthorhombic,mm2,Pna2_1,orthoborate,None,Sr,None,None,None,B,"O, S",None,None,Gd,None,"B $\in$ [0.5, 1]",Positive B
mp-1211967,KSr6Sc(SiO4)4,2.294545451325143,0.29737475181966316,"Hexagonal bipyramid, Tricapped octahedron (all 3 cap faces share one atom), Square antiprism, Square-face capped square prism",4,"8d, 4c",2,"[4.186619559763472, 1.995442089102176, 3.901473359318405, 5.255425740741887]",0.25,3.8347401872314855,ABC4D6E16,4,2,1,"[8.0, 9.0]","[8.0, 9.0]",8.5,8.0,9.0,8.5,8.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",2.7196574866060668,GGA,K-O-Sc-Si-Sr,0.0,-3.4004144048125,4.2940000000000005,5,Orthorhombic,mmm,Pnma,silicate,K,Sr,Sc,None,None,Si,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1212069,Na2Sr(Ge4O9)2,2.469128407957375,0.23031809694583977,Pentagonal antiprism,1,6f,1,[6.660754979685472],1.0,6.660754979685472,AB2C8D18,1,1,1,[10.0],[10.0],10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",2.858191388355279,GGA,Ge-Na-O-Sr,0.026416571034487003,-2.228827332911217,2.9601,4,Trigonal,-3m,P-3c1,oxide,Na,Sr,None,None,None,Ge,"N, O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1212505,K2Sr(Ge4O9)2,2.56561108934757,0.20606615807051157,Pentagonal antiprism,1,6f,1,[6.289215222433131],1.0,6.289215222433131,AB2C8D18,1,1,1,[10.0],[10.0],10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",2.9137074086790338,GGA,Ge-K-O-Sr,0.021324488706894,-2.249245267281608,2.931499999999999,4,Trigonal,-3m,P-3c1,oxide,K,Sr,None,None,None,Ge,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
