material_id,chem_formula,R$_0$,B,Cs_chemenv,num_Cs_chemenvs,Cs_wyckoff,num_Cs_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Cs_sites,num_CN_env,num_charge_states,CsX_coordn,CsO_coordn,mean_coordn_Cs-X,min_coordn_Cs-X,max_coordn_Cs-X,mean_coordn_Cs-O,min_coordn_Cs-O,max_coordn_Cs-O,mean_Cs_charge,min_Cs_charge,max_Cs_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_CsO_BondL
mp-1019714,CsCa10(PO4)7,1.485275376298457,0.737623716481029,Tridiminished icosahedron,1,2a,1,[4.218622903632096],0.0,4.218622903632096,AB7C10D28,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals",GGA,Ca-Cs-O-P,0.0,-3.283418606133807,5.203,4,Trigonal,3m,R3c,phosphate,Cs,Ca,,,,,"C, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,3.1287929717282412
mp-1019715,CsLi(B3O5)2,2.560343763195088,0.3758496909392086,Bicapped octahedron (cap faces with one atom in common),1,2a,1,[13.886599957942305],1.0,13.886599957942305,ABC6D10,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",GGA,B-Cs-Li-O,0.0,-2.841563735999361,5.2081,4,Orthorhombic,222,I2_12_12_1,oxide,"Li, Cs",,,,,B,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,3.388059178022084
mp-1019716,CsLi4(BO2)5,3.25559039707307,-0.0426914958918349,Square-face capped trigonal prism,1,4e,1,[16.667307550715034],1.0,16.667307550715034,AB4C5D10,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",GGA,B-Cs-Li-O,0.002744449694445,-2.724123129191092,4.6613,4,Monoclinic,2/m,P2_1/c,metaborate,"Li, Cs",,,,,B,"C, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,3.1941341698687244
mp-1019717,CsBS3O11,2.3706351168269824,0.4502881405456344,Square-face bicapped square antiprism,1,4e,1,[4.494869087939776],0.0,4.494869087939776,ABC3D11,1,1,1,[10.0],[10.0],10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",GGA,B-Cs-O-S,0.0,-2.016975753520114,5.769,4,Monoclinic,2/m,P2_1/c,oxide,Cs,,,,,B,"C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,3.3628217412894528
mp-1019719,CsSi2BO6,3.527515867236354,-0.0444655778272292,Truncated tetrahedron,1,8f,1,[9.447889168817948],1.0,9.447889168817948,ABC2D6,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",GGA,B-Cs-O-Si,0.0,-3.052513583007184,5.3918,4,Tetragonal,4/mmm,I4_1/acd,oxide,Cs,,,,,"B, Si","C, O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,3.3421444846173487
mp-1019720,CsZr2Al(PO4)4,3.288602987088053,0.0448165050239459,Pentagonal-face capped pentagonal antiprism,1,4d,1,[16.497000457338782],1.0,16.497000457338782,ABC2D4E16,1,1,1,[11.0],[11.0],11.0,11.0,11.0,11.0,11.0,11.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Al-Cs-O-P-Zr,0.0,-3.169458895238608,4.3838,5,Orthorhombic,mmm,Pbcm,phosphate,Cs,,Zr,,Al,,"C, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,3.419111644351197
mp-1019721,CsMgBO3,2.9548740732240955,0.1652540705429692,"Bicapped square prism (opposite faces), Tridiminished icosahedron",2,4e,1,"[7.824133418427373, 9.105894408062868, 9.029798914006685, 7.901228449810362]",1.0,8.465263797576823,ABCD3,2,2,1,"[12.0, 6.0]","[12.0, 6.0]",9.0,6.0,12.0,9.0,6.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Cs-Mg-O,0.002435953229166,-2.617902492743056,3.3364000000000003,4,Monoclinic,2/m,P2_1/c,orthoborate,Cs,Mg,,,,B,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,3.3090563097210737
mp-1019723,CsZn4(BO3)3,2.9479405803536225,0.159340018940684,Anticuboctahedron,1,2e,1,[3.887931572963111],0.0,3.887931572963111,AB3C4D9,1,1,1,[10.0],[10.0],10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,B-Cs-O-Zn,0.006494925784302,-2.143287123627461,2.825999999999999,4,Monoclinic,2/m,P2/c,orthoborate,Cs,,Zn,,,B,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,3.3281776004735404
mp-1095445,CsFe(MoO4)2,3.318045661507967,0.0224544230924091,Cuboctahedron,1,1b,1,[3.783285454871241],0.0,3.783285454871241,ABC2D8,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA_U,Cs-Fe-Mo-O,0.001167279166652,-2.023600404137931,2.5380000000000003,4,Trigonal,-3,P-3,oxide,Cs,,"Fe, Mo",,,,"C, O",F,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,3.3804422017515185
mp-1096938,Cs2ReO4,1.3729711777052838,0.9040631158960322,"Square-face monocapped antiprism, Bicapped square prism (adjacent faces)",2,4c,1,"[3.99646460740736, 8.307356202985517]",0.5,6.151910405196438,AB2C4,2,2,1,"[10.0, 9.0]","[10.0, 9.0]",9.5,9.0,10.0,9.5,9.0,10.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Cs-O-Re,0.022011150969382,-2.121571860258621,0.0,3,Orthorhombic,mmm,Pnma,oxide,Cs,,Re,,,,"C, O",,,,,"B $\in$ [0.5, 1]",Positive B,3.377260309601598
