material_id,chem_formula,R$_0$,B,Li_chemenv,num_Li_chemenvs,Li_wyckoff,num_Li_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Li_sites,num_CN_env,num_charge_states,mean_coordn_Li-X,min_coordn_Li-X,max_coordn_Li-X,mean_coordn_Li-O,min_coordn_Li-O,max_coordn_Li-O,mean_Li_charge,min_Li_charge,max_Li_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_LiO_BondL,LiX_coordn,LiO_coordn,elements
mp-775742,Li2Fe3TeO8,1.6894051030609545,0.2135111707451732,Tetrahedron,1,"2b, 2a",2,"[0.04386005746614997, 1.3202687686855616]",0.0,0.6820644130758559,AB2C3D8,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1,1,O2-,GGA_U,Fe-Li-O-Te,0.0421605946428549,-1.790501364880951,0.0678,4,Hexagonal,6mm,P6_3mc,oxide,Li,,Fe,,,Te,O,F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9917015719521265,[4.0],[4.0],"Alkali Metals, Halogens, Metalloids, Nonmetals, Transition Metals"
mp-775755,Li4Ti3Ni3(SbO8)2,1.6889039079406287,0.2019353087077288,Tetrahedron,1,1a,1,"[0.41247054168791425, 1.7881303079611186, 0.765453067572429, 0.24476519069569067]",0.0,0.8027047769792881,A2B3C3D4E16,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1,1,O2-,GGA_U,Li-Ni-O-Sb-Ti,0.0305206222321432,-2.387306558333333,1.0106000000000002,5,Monoclinic,m,Cm,oxide,Li,,"Ti, Ni",,,Sb,"N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9868304592670936,[4.0],[4.0],"Alkali Metals, Metalloids, Nonmetals, Transition Metals"
mp-775771,Li4Mn3V3(SnO8)2,1.9529525093836304,0.0212859382632722,Tetrahedron,1,1a,1,"[0.1607873363281659, 1.5893668641907963, 1.5607883389677022, 0.15893368789445647]",0.0,0.8674690568452801,A2B3C3D4E16,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1,1,O2-,GGA_U,Li-Mn-O-Sn-V,0.0495343348214145,-2.270554790254516,0.5051000000000001,5,Triclinic,1,P1,oxide,Li,,"V, Mn",,Sn,,"O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9825553937283564,[4.0],[4.0],"Alkali Metals, Nonmetals, Post-Transition Metals, Transition Metals"
mp-775818,Li4V3Cr5O16,1.8927290927785625,0.0304792093750564,Tetrahedron,1,1a,1,"[0.1955549059369963, 1.2834764779054917, 1.387570162914758, 0.2603546602187799]",0.0,0.7817390517440065,A3B4C5D16,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1,1,O2-,GGA_U,Cr-Li-O-V,0.0483873341741141,-2.394878691190476,0.4634999999999998,4,Monoclinic,m,Cm,oxide,Li,,"V, Cr",,,,"C, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.945733596192976,[4.0],[4.0],"Alkali Metals, Nonmetals, Transition Metals"
mp-775848,LiNiPO4,3.1127966363089623,-0.4606436055684206,Octahedron,1,4c,1,[2.121968203728887],0.0,2.121968203728887,ABCD4,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,GGA_U,Li-Ni-O-P,0.028029270357142,-2.334560181139456,3.3216,4,Orthorhombic,mmm,Pnma,phosphate,Li,,Ni,,,,"N, O, P",,,,,"B $\in$ [-1, -0.1]",Negative B,2.20998083170012,[6.0],[6.0],"Alkali Metals, Nonmetals, Transition Metals"
mp-775865,Li2Ti3MnO8,2.043713681007697,0.0300640071424502,"Tetrahedron, Octahedron",2,4a,1,"[1.2179437676767157, 0.013294310210664361]",0.0,0.6156190389436901,AB2C3D8,2,2,1,5.0,4.0,6.0,5.0,4.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,GGA_U,Li-Mn-O-Ti,0.0,-3.0878813796141213,2.0686,4,Cubic,23,P2_13,oxide,Li,,"Ti, Mn",,,,O,,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.112493171876144,"[4.0, 6.0]","[4.0, 6.0]","Alkali Metals, Nonmetals, Transition Metals"
mp-775874,Li2Ti3FeO8,1.968467599092469,0.0001830809996277,Tetrahedron,1,1a,1,"[0.03833628364311097, 0.03642679474630038, 0.03798536194435137, 0.03834756745052303, 2.0174908576442063, 1.9903935894715123, 2.011332498707567, 2.0046859059592697]",0.0,1.0218748574458552,AB2C3D8,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1,1,O2-,GGA_U,Fe-Li-O-Ti,0.0303467594642885,-2.971798597619047,1.5364,4,Hexagonal,mm2,P6_3mc,oxide,Li,,"Ti, Fe",,,,O,F,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9687361664937355,[4.0],[4.0],"Alkali Metals, Halogens, Nonmetals, Transition Metals"
mp-775876,NaLiMnP2O7,1.0759660014243126,0.6765536470661444,Tetrahedron,1,1a,1,"[4.59243645749874, 3.267933141014703]",0.0,3.930184799256722,ABCD2E7,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1,1,O2-,GGA_U,Li-Mn-Na-O-P,0.043208371736136,-2.592769443285782,3.8104,5,Triclinic,1,P1,oxide,"Li, Na",,Mn,,,,"N, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.020915914458776,[4.0],[4.0],"Alkali Metals, Nonmetals, Transition Metals"
mp-775901,LiV3OF11,2.114589902085076,-0.1714195889262598,"Trigonal bipyramid, Tetrahedron",2,1a,1,"[2.8925681676925734, 3.318103304779153]",0.0,3.105335736235863,ABC3D11,2,2,1,4.5,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2,2,"O2-, F-",GGA_U,F-Li-O-V,0.0390248329166631,-2.9717140573958334,1.4560000000000002,4,Triclinic,1,P1,fluoride,Li,,V,,,,O,F,,,,"B $\in$ [-1, -0.1]",Negative B,1.9810033511818248,"[4.0, 5.0]",[1.0],"Alkali Metals, Halogens, Nonmetals, Transition Metals"
mp-775902,LiV3OF11,1.9526974688466248,0.0760017717385969,"Trigonal bipyramid, Tetrahedron",2,1a,1,"[3.159809965462832, 3.3473754975740637]",0.0,3.253592731518448,ABC3D11,2,2,1,4.5,4.0,5.0,1.5,1.0,2.0,1.0,1.0,1.0,2.0,2,2,"O2-, F-",GGA_U,F-Li-O-V,0.0435482179166637,-2.967190672395833,1.2936,4,Triclinic,1,P1,fluoride,Li,,V,,,,O,F,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0234123479861243,"[4.0, 5.0]","[1.0, 2.0]","Alkali Metals, Halogens, Nonmetals, Transition Metals"
mp-775903,Li2MnP2O7,1.885403331456824,0.1207777016190249,"See-saw, Tetrahedron, Trigonal bipyramid",3,2a,1,"[1.4854891808300854, 6.482431796108094, 7.870247654221652, 2.7051987309712073]",0.5,4.63584184053276,AB2C2D7,3,2,1,4.5,4.0,5.0,4.5,4.0,5.0,1.0,1.0,1.0,1.0,1,1,O2-,GGA_U,Li-Mn-O-P,0.0177067668749986,-2.651027806573618,3.7889,4,Triclinic,1,P1,oxide,Li,,Mn,,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0898676906286906,"[4.0, 5.0]","[4.0, 5.0]","Alkali Metals, Nonmetals, Transition Metals"
mp-775916,LiSnPCO7,1.8064733861601645,0.2450670699623292,Square pyramid,1,2e,1,[13.60840884891417],1.0,13.60840884891417,ABCDE7,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1,1,O2-,GGA,C-Li-O-P-Sn,0.0459733692045443,-2.2564384084523805,3.2058,5,Monoclinic,2/m,P2_1/m,oxide,Li,,,,Sn,,"C, O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.2234765745307232,[5.0],[5.0],"Alkali Metals, Nonmetals, Post-Transition Metals"
mp-775921,Li3V2(PO4)3,1.2774274427190302,0.6211039216930109,Square pyramid,1,2a,1,"[6.477166282514246, 6.538614764461882, 5.290908075719451]",1.0,6.1022297075651935,A2B3C3D12,1,2,1,5.0,4.0,6.0,5.0,4.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,GGA_U,Li-O-P-V,0.0300750372500004,-2.694949968446428,1.7477,4,Monoclinic,m,Cc,phosphate,Li,,V,,,,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.247972685042805,"[4.0, 6.0]","[4.0, 6.0]","Alkali Metals, Nonmetals, Transition Metals"
mp-775930,LiVP2HO8,1.8369901998341167,0.1407722103539205,Trigonal bipyramid,1,2a,1,[2.3404033398910435],0.0,2.3404033398910435,ABCD2E8,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1,1,O2-,GGA_U,H-Li-O-P-V,0.0455911591666629,-2.480554209143772,1.4752999999999998,5,Monoclinic,2,P2_1,oxide,Li,,V,,,,"H, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.066143507012611,[5.0],[5.0],"Alkali Metals, Nonmetals, Transition Metals"
mp-775945,Li2MnFe(PO4)2,2.029482493365001,0.0835137071850325,Octahedron,1,2c,1,"[2.0689312395682555, 2.0184481612665857, 2.030713697622435, 2.0472664177773043]",0.0,2.0413398790586452,ABC2D2E8,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,GGA_U,Fe-Li-Mn-O-P,0.0024936953571499,-2.551709982955958,3.4051,5,Monoclinic,m,Pm,phosphate,Li,,"Mn, Fe",,,,"O, P",F,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.1798628289830813,[6.0],[6.0],"Alkali Metals, Halogens, Nonmetals, Transition Metals"
mp-775946,Li2MnVP2(O4F)2,1.5312573810106365,0.400351415702297,Trigonal bipyramid,1,1a,1,"[3.8417553273471636, 3.7246196184880507, 3.58673764328551, 3.5700435023905683, 3.653669326946344, 3.7720939128272977]",0.0,3.6914865552141554,ABC2D2E2F8,1,1,1,5.0,5.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,2,2,"O2-, F-",GGA_U,F-Li-Mn-O-P-V,0.0269049178124998,-2.7323170061802124,0.3408000000000002,6,Triclinic,1,P1,fluoride,Li,,"V, Mn",,,,"O, P",F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1584814823648784,[5.0],[4.0],"Alkali Metals, Halogens, Nonmetals, Transition Metals"
mp-775948,LiVP2HO8,2.2802092215813903,-0.1406212591788339,Trigonal bipyramid,1,1a,1,"[2.1389168599849335, 2.1238935096190685]",0.0,2.1314051848020013,ABCD2E8,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1,1,O2-,GGA_U,H-Li-O-P-V,0.0469003453205081,-2.4792450229899257,1.079,5,Triclinic,1,P1,oxide,Li,,V,,,,"H, O, P",,,,,"B $\in$ [-1, -0.1]",Negative B,2.0522008641957448,[5.0],[5.0],"Alkali Metals, Nonmetals, Transition Metals"
