element,CN,dominant_geometry,fraction
Cr,4,Tetrahedron,0.7850467289719626
Mo,4,Tetrahedron,0.9802015838732903
Mo,5,Trigonal bipyramid,0.36363636363636365
Re,4,Tetrahedron,0.9649122807017544
Re,6,Octahedron,1.0
V,3,Octahedron,0.875
V,4,Tetrahedron,0.8213393303348325
W,4,Tetrahedron,0.8820224719101124
W,5,Trigonal bipyramid,0.5384615384615384
