material_id,chem_formula,R$_0$,B,Sn_chemenv,num_Sn_chemenvs,Sn_wyckoff,num_Sn_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Sn_sites,num_CN_env,num_charge_states,mean_coordn_Sn-X,min_coordn_Sn-X,max_coordn_Sn-X,mean_coordn_Sn-O,min_coordn_Sn-O,max_coordn_Sn-O,mean_Sn_charge,min_Sn_charge,max_Sn_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_SnO_BondL,SnX_coordn,SnO_coordn
mp-2714031,Na2Ca3Sn(SO4)6,1.7362975424934828,0.9578143319996176,Octahedron,1,"1b, 1a",2,"[0.45737306199224237, 0.5793971965981304, 0.7999338607544572]",0.0,0.6122347064482767,AB2C3D6E24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Post-Transition Metals",GGA,Ca-Na-O-S-Sn,0.0224913603240839,-2.304388846465517,1.2453,5,Trigonal,3,P3,sulfate,Na,Ca,,,Sn,,"C, N, O, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.1263893526979576,[6.0],[6.0]
mp-2714041,Na14Ca5Sn3(PO4)12,1.9058155798666043,0.4975126101833464,Octahedron,1,1a,1,"[1.2937688856617355, 1.162865022451738, 0.7603490274330557, 1.03489993430213, 0.7739099768155778, 0.5772356133153873, 0.5741064839460003, 0.6298861915938454, 0.8519143694807512]",0.0,0.8509928338889134,A3B5C12D14E48,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Post-Transition Metals",GGA,Ca-Na-O-P-Sn,0.0387084516768307,-2.715089442805178,2.1061,5,Triclinic,1,P1,phosphate,Na,Ca,,,Sn,,"C, N, O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1081206710563416,[6.0],[6.0]
mp-2714058,Na14Mg5Sn3(PO4)12,1.7702586420191937,0.760974458258284,Octahedron,1,1a,1,"[0.8652242590916271, 0.7773309499449188, 0.6441566307903871, 0.7657023543634618, 0.687589287069073, 0.5865259467130305, 0.6003606391025015, 0.6153367312313478, 0.7505129653988138]",0.0,0.6991933070783514,A3B5C12D14E48,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Post-Transition Metals",GGA,Mg-Na-O-P-Sn,0.0135452417581243,-2.670952194654771,2.7405,5,Triclinic,1,P1,phosphate,Na,Mg,,,Sn,,"N, O, P, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.0792771523188622,[6.0],[6.0]
mp-2714120,Na2Zn3Sn(SO4)6,1.7926593722174704,0.6962745821732865,Octahedron,1,"1b, 1a",2,"[0.27227803236333664, 0.5981953230700613, 0.33709874494884867]",0.0,0.4025240334607489,AB2C3D6E24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Na-O-S-Sn-Zn,0.0062631999189921,-1.9179600976692208,0.7456999999999998,5,Trigonal,3,P3,sulfate,Na,,Zn,,Sn,,"N, O, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.07623263314702,[6.0],[6.0]
mp-2714143,NaCa2Sn2PS5O24,1.906963851935908,0.475966746196224,Octahedron,1,1a,1,"[0.2127191673816009, 0.6410418832202274, 0.3095889734190996, 0.7167575046825486, 0.5401306577326631, 0.442971812190958]",0.0,0.47720166643784956,ABC2D2E5F24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Post-Transition Metals",GGA,Ca-Na-O-P-S-Sn,0.03522631039682,-2.225855100719682,0.7042,6,Triclinic,1,P1,oxide,Na,Ca,,,Sn,,"C, N, O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.102580218334075,[6.0],[6.0]
mp-2714146,Na14Zn5Sn3(PO4)12,1.7719734956330524,0.7513696658338483,Octahedron,1,1a,1,"[0.8481616589950278, 0.7498024855445096, 0.5764873514198559, 0.7267009222476594, 0.6244942175116102, 0.4739883369130184, 0.4818227548701919, 0.51301070066372, 0.6852955619738044]",0.0,0.6310848877932664,A3B5C12D14E48,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Na-O-P-Sn-Zn,0.0475158627134142,-2.4696001378051777,2.5043999999999995,5,Triclinic,1,P1,phosphate,Na,,Zn,,Sn,,"N, O, P, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.077092946639455,[6.0],[6.0]
mp-2714166,NaMg2Sn2PS5O24,1.9160074377477645,0.3602928537002307,Octahedron,1,1a,1,"[0.17009593075744342, 0.2566264787301315, 0.25862319035381626, 0.43111851694172454, 0.6420730376710404, 0.3602081609517193]",0.0,0.35312421923431253,ABC2D2E5F24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Post-Transition Metals",GGA,Mg-Na-O-P-S-Sn,0.0152542185396802,-2.172203824814919,1.4912,6,Triclinic,1,P1,oxide,Na,Mg,,,Sn,,"N, O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.064084793287788,[6.0],[6.0]
mp-2714225,Na5Zr2Si3Sn2(PO8)3,1.8824171620993404,0.477227949904478,Octahedron,1,1a,1,"[0.29993054579815054, 0.5264956837157326, 0.4310979034990958, 0.4200230471835815, 0.39792279214553417, 0.34647284676992957]",0.0,0.40365713651867074,A2B2C3D3E5F24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Na-O-P-Si-Sn-Zr,0.0416806364786355,-2.842083673525431,3.0916,6,Triclinic,1,P1,oxide,Na,,Zr,,Sn,Si,"N, O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.078488256735626,[6.0],[6.0]
mp-2714240,Na5Ti2Si3Sn2(PO8)3,1.8762251788982407,0.4360696566600729,Octahedron,1,1a,1,"[0.4350892014497557, 0.31752182541066715, 0.5593385385984373, 0.4760278466115341, 0.3413169378757255, 0.2717249255065431]",0.0,0.4001698792421105,A2B2C3D3E5F24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Na-O-P-Si-Sn-Ti,0.0489947210923116,-2.784930437884405,2.5917,6,Triclinic,1,P1,oxide,Na,,Ti,,Sn,Si,"N, O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0553864078626862,[6.0],[6.0]
mp-2714248,Na2Mg3Sn(SO4)6,1.8352557434911505,0.6157685009746494,Octahedron,1,"1b, 1a",2,"[0.41097545271153074, 0.9484531450600522, 0.4776009315523682]",0.0,0.6123431764413171,AB2C3D6E24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Post-Transition Metals",GGA,Mg-Na-O-S-Sn,0.0,-2.210406383271072,0.4434000000000002,5,Trigonal,3,P3,sulfate,Na,Mg,,,Sn,,"N, O, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.0860395143245416,[6.0],[6.0]
mp-2714269,Na5Si3Sn4(PO8)3,1.88338640072592,0.4419995912705579,Octahedron,1,1a,1,"[0.49701746417828596, 0.3404139736285942, 0.528857599084392, 0.4329085352342664, 0.4353330502787339, 0.44687316833719953, 0.5160594286160852, 0.5424212424705573, 0.4504106163165527, 0.4838260085705477, 0.35908531932863486, 0.3289987700078934]",0.0,0.4468504313376453,A3B3C4D5E24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Na-O-P-Si-Sn,0.048488975444445,-2.5625840399356865,2.8953,5,Triclinic,1,P1,oxide,Na,,,,Sn,Si,"N, O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0647720401069765,[6.0],[6.0]
mp-2714289,Na5Hf2Si3Sn2(PO8)3,1.8634266912300408,0.5036309492926943,Octahedron,1,1a,1,"[0.44817193171653785, 0.46010698825179563, 0.4101064113730325, 0.3806044415048674, 0.478604614743654, 0.450567384342316]",0.0,0.43802696198870056,A2B2C3D3E5F24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Hf-Na-O-P-Si-Sn,0.0317064533618216,-2.884995950619448,3.2254,6,Triclinic,1,P1,oxide,Na,,Hf,,Sn,Si,"H, N, O, P, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.069860720448127,[6.0],[6.0]
mp-2714297,Na2MgSn3P4(SO12)2,1.904534968015748,0.3756403621979796,Octahedron,1,1a,1,"[0.31017824083864803, 0.45078601584283173, 0.4886490456868427, 0.30641608697959544, 0.25451098183102644, 0.3112232285202835, 0.33108014637826844, 0.39098265242033386, 0.265390982375904]",0.0,0.3454685978748594,AB2C2D3E4F24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Post-Transition Metals",GGA,Mg-Na-O-P-S-Sn,0.0290260470370364,-2.391985743694353,1.6911999999999998,6,Triclinic,1,P1,oxide,Na,Mg,,,Sn,,"N, O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0597960941484863,[6.0],[6.0]
mp-2714326,Na14Zr4Si11Sn4SO48,1.750652948404218,0.8092134791645821,Octahedron,1,1a,1,"[0.39693937443687827, 0.5460512480226599, 0.5383753671356624, 0.3933798434980156, 0.41038675660070684, 0.4185600511018762, 0.34981924152963617, 0.4232909608179615, 0.5013063161562521, 0.5333523345398179, 0.5142263074009438, 0.394929262201781]",0.0,0.4517180886201826,AB4C4D11E14F48,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Na-O-S-Si-Sn-Zr,0.0390675431504181,-2.8128545032741097,3.471,6,Triclinic,1,P1,sulfate,Na,,Zr,,Sn,Si,"N, O, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.082383799659735,[6.0],[6.0]
mp-2714330,NaMgSnP(SO6)2,1.910879518224197,0.4048773442814602,Octahedron,1,2a,1,"[0.64299263111633, 0.6524082996178557, 0.7200770100254339]",0.0,0.6718259802532064,ABCDE2F12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Post-Transition Metals",GGA,Mg-Na-O-P-S-Sn,0.0276891871296296,-2.288019899871601,1.9651,6,Monoclinic,m,Cc,oxide,Na,Mg,,,Sn,,"N, O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.078318345472405,[6.0],[6.0]
