material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,W_wyckoff,num_W_chemenvs,CN,element,charge_range,is_single_charge
mp-1012835,SmCu(WO4)2,1.980038843342976,0.6232103684504994,[6.0],6.0,6.0,6.0,Octahedron,2i,1,6.0,W,0.0,True
mp-1039781,NaMg30WO32,1.69801806737353,0.6727257954233836,[6.0],3.0,3.0,3.0,Octahedron,1c,1,6.0,W,0.0,True
mp-1039782,NaMg30WO32,1.644667782587407,0.741977691459781,[6.0],3.0,3.0,3.0,Octahedron,1b,1,6.0,W,0.0,True
mp-1040082,LiMg30WO32,1.9960464435692995,0.2392635925515688,[6.0],3.0,3.0,3.0,Octahedron,1b,1,6.0,W,0.0,True
mp-1040095,LiMg30WO32,1.912063290087444,0.3671149325002708,[6.0],3.0,3.0,3.0,Octahedron,1c,1,6.0,W,0.0,True
mp-1040961,P2W2O9,1.9788921338385008,0.2671458059672559,[6.0],4.0,4.0,4.0,Octahedron,"4a, 4c",1,6.0,W,0.0,True
mp-1041730,YSb(WO4)2,1.8772690595736363,0.4292174042013996,[6.0],4.0,4.0,4.0,Octahedron,4g,1,6.0,W,0.0,True
mp-1041757,YBi(WO4)2,1.9090182481483684,0.9061132832022776,[6.0],5.0,5.0,5.0,Octahedron,4g,1,6.0,W,0.0,True
mp-1041805,AlCr(WO4)2,1.8794516212494063,0.7613839170748053,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,W,0.0,True
mp-1042105,AlV(WO4)2,1.8697784823276584,0.8223058568152972,[6.0],5.0,5.0,5.0,Octahedron,2e,1,6.0,W,0.0,True
mp-1042160,YMn(WO4)2,1.973619111354293,0.4635138556356576,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,2i,1,6.0,W,1.0,False
mp-1042160,YMn(WO4)2,1.973619111354293,0.4635138556356576,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,2i,1,6.0,W,1.0,False
mp-1042176,YV(WO4)2,1.854284733050661,1.0254997639380614,[6.0],5.0,5.0,5.0,Octahedron,4g,1,6.0,W,0.0,True
mp-1042205,YCo(WO4)2,1.9741737972856388,0.2468901652054974,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,2e,1,6.0,W,1.0,False
mp-1042205,YCo(WO4)2,1.9741737972856388,0.2468901652054974,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,2e,1,6.0,W,1.0,False
mp-1042328,YMo(WO4)2,1.8377592846293804,1.1641419902326886,[6.0],5.0,5.0,5.0,Octahedron,4g,1,6.0,W,0.0,True
mp-1042339,YFe(WO4)2,1.9729765493814544,0.2914881755820971,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,1a,1,6.0,W,1.0,False
mp-1042339,YFe(WO4)2,1.9729765493814544,0.2914881755820971,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,1a,1,6.0,W,1.0,False
