material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Te_wyckoff,num_Te_chemenvs,CN,element,charge_range,is_single_charge
mp-559938,LiV3(TeO6)2,1.8654304444598275,-0.1333546550067665,[3.0],4.0,4.0,4.0,See-saw,2i,1,3.0,Te,0.0,True
mp-560090,Mn2Ni6Te3PbO18,1.947582353374016,0.4551017976171737,[6.0],6.0,6.0,6.0,Octahedron,6h,1,6.0,Te,0.0,True
mp-560097,CaTeO3,2.153312012568428,1.0682203241518458,"[3.0, 4.0]",4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Te,0.0,True
mp-560097,CaTeO3,2.153312012568428,1.0682203241518458,"[3.0, 4.0]",4.0,4.0,4.0,Triangular non-coplanar,4e,1,4.0,Te,0.0,True
mp-560112,Fe2TeO5,1.4008158003650095,4.036381133230757,[5.0],4.0,4.0,4.0,Square pyramid,4e,1,5.0,Te,0.0,True
mp-560170,Nd5Te2Cl3O10,1.7682392132297369,1.5035657061716203,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Te,0.0,True
mp-560198,ZnTe6O13,2.0767993779778604,0.4914452900694537,"[4.0, 5.0]",4.0,4.0,4.0,"See-saw, Square pyramid",6f,2,4.0,Te,0.0,True
mp-560198,ZnTe6O13,2.0767993779778604,0.4914452900694537,"[4.0, 5.0]",4.0,4.0,4.0,"See-saw, Square pyramid",6f,2,5.0,Te,0.0,True
mp-560456,Hg2Te2O7,1.996780296350244,-0.0638956311973265,"[4.0, 6.0]",5.0,5.0,5.0,"See-saw, Octahedron",4b,2,4.0,Te,0.0,True
mp-560456,Hg2Te2O7,1.996780296350244,-0.0638956311973265,"[4.0, 6.0]",5.0,5.0,5.0,"See-saw, Octahedron",4b,2,6.0,Te,0.0,True
mp-560464,UTl2(TeO4)2,2.236037963348262,1.41722368267368,"[3.0, 4.0]",4.0,4.0,4.0,See-saw,4e,1,3.0,Te,0.0,True
mp-560464,UTl2(TeO4)2,2.236037963348262,1.41722368267368,"[3.0, 4.0]",4.0,4.0,4.0,See-saw,4e,1,4.0,Te,0.0,True
mp-560573,La2Te3MoO12,2.087018113706434,0.8810563670395753,"[3.0, 5.0]",4.0,4.0,4.0,"See-saw, Triangular non-coplanar","4c, 8d",2,3.0,Te,0.0,True
mp-560573,La2Te3MoO12,2.087018113706434,0.8810563670395753,"[3.0, 5.0]",4.0,4.0,4.0,"See-saw, Triangular non-coplanar","4c, 8d",2,5.0,Te,0.0,True
mp-560613,Na2TeO4,1.949458722731631,0.7930390131113556,[6.0],6.0,6.0,6.0,Octahedron,4e,1,6.0,Te,0.0,True
mp-560656,CaTeO3,2.0854996282518345,0.7483504993785315,"[3.0, 5.0]",4.0,4.0,4.0,"See-saw, Triangular non-coplanar",4a,2,3.0,Te,0.0,True
mp-560656,CaTeO3,2.0854996282518345,0.7483504993785315,"[3.0, 5.0]",4.0,4.0,4.0,"See-saw, Triangular non-coplanar",4a,2,5.0,Te,0.0,True
mp-560739,K3Li3TeO6,1.9793352408155869,0.1737913475287028,[6.0],6.0,6.0,6.0,Octahedron,4c,1,6.0,Te,0.0,True
mp-560742,Ba2TeP2O9,2.2269343403186657,-0.3430849293740348,[5.0],4.0,4.0,4.0,Square pyramid,2i,1,5.0,Te,0.0,True
mp-560794,BaNbTePO8,2.018938376411432,0.9371648838788242,[4.0],4.0,4.0,4.0,See-saw,8c,1,4.0,Te,0.0,True
mp-561036,FeTe6O13,2.077989435252868,0.4965700042631326,"[4.0, 5.0]",4.0,4.0,4.0,"See-saw, Square pyramid",6f,2,4.0,Te,0.0,True
mp-561036,FeTe6O13,2.077989435252868,0.4965700042631326,"[4.0, 5.0]",4.0,4.0,4.0,"See-saw, Square pyramid",6f,2,5.0,Te,0.0,True
