material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Sc_wyckoff,num_Sc_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-10517,LiScP2O7,1.8795347970866447,0.3350593528698381,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Sc,0.0,True,2.0,6.0,2.0373718087605233,2.1835978144544286,2.115434426434929,0.05514907889495185,0.14622600569390531,53.14782647267168,28.61003968732749,20.00660970697335,114.40403621552906,6.0,1.0,1,Octahedron
mp-10517,LiScP2O7,1.8795347970866447,0.3350593528698381,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Sc,0.0,True,3.0,6.0,2.0373718087605224,2.183597814454429,2.115434426434929,0.05514907889495207,0.14622600569390665,99.59133811888708,35.882589945663995,40.147664548815605,178.71335204265148,6.0,1.0,2,Octahedron
mp-1094074,ScFe2BO5,1.8349280594648265,0.430822008449038,[6.0],3.0,3.0,3.0,Octahedron,4g,1,6.0,Sc,0.0,True,0.0,6.0,2.067638473148043,2.191939484889692,2.137746047020303,0.051160204371831046,0.12430101174164898,81.61464205165115,39.17916555451313,1.2074182697257333e-06,175.512168881517,6.0,1.0,1,Octahedron
mp-1094074,ScFe2BO5,1.8349280594648265,0.430822008449038,[6.0],3.0,3.0,3.0,Octahedron,4g,1,6.0,Sc,0.0,True,1.0,6.0,2.0676384731480444,2.1919394848896934,2.1377460470203027,0.051160204371830435,0.12430101174164898,81.61464197115659,39.17916572219237,0.0,175.5121688815168,6.0,1.0,2,Octahedron
mp-1094074,ScFe2BO5,1.8349280594648265,0.430822008449038,[6.0],3.0,3.0,3.0,Octahedron,4g,1,6.0,Sc,0.0,True,2.0,6.0,2.067638473148044,2.191939484889693,2.1377460470203027,0.05116020437183049,0.12430101174164898,72.92853896574204,33.02631929107844,0.0,105.4556013309477,6.0,1.0,3,Octahedron
mp-1094074,ScFe2BO5,1.8349280594648265,0.430822008449038,[6.0],3.0,3.0,3.0,Octahedron,4g,1,6.0,Sc,0.0,True,3.0,6.0,2.067638473148043,2.1919394848896925,2.1377460470203022,0.0511602043718308,0.12430101174164943,72.92853888524749,33.02631946882607,0.0,105.45560133094769,6.0,1.0,4,Octahedron
mp-1096978,Eu2Sc2O5,1.913835547248714,0.3395256441724736,"[4.0, 6.0]",3.0,3.0,3.0,"Octahedron, Tetrahedron","2a, 2b",2,4.0,Sc,0.0,True,6.0,4.0,1.9731865196559537,2.049816003317323,2.0077127471644793,0.034939462894267796,0.07662948366136946,21.630531906306782,7.799384260059953,10.574470308265226,35.77056885365981,4.0,1.0,1,"Octahedron, Tetrahedron"
mp-1096978,Eu2Sc2O5,1.913835547248714,0.3395256441724736,"[4.0, 6.0]",3.0,3.0,3.0,"Octahedron, Tetrahedron","2a, 2b",2,4.0,Sc,0.0,True,7.0,4.0,1.9731814535653605,2.049812697687315,2.007712464863536,0.03493726663709009,0.07663124412195477,23.95651824755917,8.328678107342974,9.475090701866874,37.005328137889165,4.0,1.0,2,"Octahedron, Tetrahedron"
mp-1096978,Eu2Sc2O5,1.913835547248714,0.3395256441724736,"[4.0, 6.0]",3.0,3.0,3.0,"Octahedron, Tetrahedron","2a, 2b",2,6.0,Sc,0.0,True,4.0,6.0,2.080082110928336,2.204523977956993,2.126141793046602,0.05570758600060313,0.12444186702865734,36.196838048202984,17.73877001511397,12.767224135975903,68.4683526519384,6.0,1.0,1,"Octahedron, Tetrahedron"
mp-1096978,Eu2Sc2O5,1.913835547248714,0.3395256441724736,"[4.0, 6.0]",3.0,3.0,3.0,"Octahedron, Tetrahedron","2a, 2b",2,6.0,Sc,0.0,True,5.0,6.0,2.080082110928266,2.2045239779499486,2.126141793046021,0.05570758599674447,0.12444186702168247,37.05718276877908,26.204344699824485,6.549526806694963,85.31014943519374,6.0,1.0,2,"Octahedron, Tetrahedron"
mp-1102514,ScSeO3F,1.973823981039164,0.3013003732263002,[5.0],3.0,3.0,3.0,Pentagonal bipyramid,2i,1,5.0,Sc,0.0,True,0.0,5.0,2.146713598833746,2.2947099695153277,2.211306514699087,0.058290548639785326,0.1479963706815819,92.34024245215998,41.924790598223304,10.8299453039798,148.61510689316262,5.0,1.0,1,Pentagonal bipyramid
mp-1102514,ScSeO3F,1.973823981039164,0.3013003732263002,[5.0],3.0,3.0,3.0,Pentagonal bipyramid,2i,1,5.0,Sc,0.0,True,1.0,5.0,2.146713598833746,2.294709969515328,2.211306514699088,0.05829054863978553,0.14799637068158233,92.34024245215997,41.9247905982233,10.8299453039798,148.61510689316256,5.0,1.0,2,Pentagonal bipyramid
mp-1105225,Sc2MnNiO6,0.0388637293730248,2.5761602958363263,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,4e,1,8.0,Sc,0.0,True,,,,,,,,,,,,,,0,Square-face bicapped trigonal prism
mp-1105395,Ca2ScOsO6,2.058721677533957,0.067929128185469,[6.0],3.0,3.0,3.0,Octahedron,2b,1,6.0,Sc,0.0,True,4.0,6.0,2.1006741571583847,2.112239817069957,2.1059082728424525,0.004785003263913473,0.011565659911572101,57.8699431837723,33.671223257320484,6.290711647163168,101.46128448005528,6.0,1.0,1,Octahedron
mp-1105395,Ca2ScOsO6,2.058721677533957,0.067929128185469,[6.0],3.0,3.0,3.0,Octahedron,2b,1,6.0,Sc,0.0,True,5.0,6.0,2.100674157158386,2.112239817069956,2.1059082728424525,0.004785003263912804,0.011565659911569881,107.99999991950544,36.021771982293224,88.13587779767113,180.0,6.0,1.0,2,Octahedron
mp-1105811,ScMnO3,0.9470846192759772,1.6430565508092176,[7.0],3.0,3.0,3.0,Square-face capped trigonal prism,4e,1,7.0,Sc,0.0,True,0.0,7.0,2.067533302833998,2.5586389064063404,2.25054342012416,0.18077346138440864,0.49110560357234245,49.85204224118753,19.405305749659565,26.1097409494526,94.01536009199405,7.0,1.0,1,Square-face capped trigonal prism
mp-1105811,ScMnO3,0.9470846192759772,1.6430565508092176,[7.0],3.0,3.0,3.0,Square-face capped trigonal prism,4e,1,7.0,Sc,0.0,True,1.0,7.0,2.0675689974641704,2.5586408332467476,2.2505433567166646,0.18077604819288684,0.4910718357825772,100.55993990096825,29.056660418839382,69.31176148962763,152.4063656255561,7.0,1.0,2,Square-face capped trigonal prism
mp-1105811,ScMnO3,0.9470846192759772,1.6430565508092176,[7.0],3.0,3.0,3.0,Square-face capped trigonal prism,4e,1,7.0,Sc,0.0,True,2.0,7.0,2.0675433402757775,2.558709148549846,2.250564873143476,0.18079025673738353,0.49116580827406864,49.85189366931693,19.405107959716233,26.110242383889897,94.01530636977797,7.0,1.0,3,Square-face capped trigonal prism
mp-1105811,ScMnO3,0.9470846192759772,1.6430565508092176,[7.0],3.0,3.0,3.0,Square-face capped trigonal prism,4e,1,7.0,Sc,0.0,True,3.0,7.0,2.0675533546150735,2.5586923578454965,2.25055367029085,0.18076712248374358,0.49113900323042303,100.5598437325795,29.056772279754583,69.31089456541011,152.40719573242964,7.0,1.0,4,Square-face capped trigonal prism
mp-1173738,Na3Mg4ScSi8(O11F)2,1.6241714834877516,0.7243016761698595,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Sc,0.0,True,7.0,6.0,1.9985232735830234,2.292537720132338,2.1358430016996643,0.1198543845655354,0.29401444654931463,67.93604958340966,23.142852613296515,28.82542882281329,106.7458172207659,6.0,1.0,1,Octahedron
mp-1173812,Na3Mg4ScSi8(O11F)2,1.636999694558685,0.7071166620479911,[6.0],3.0,3.0,3.0,Octahedron,2i,1,6.0,Sc,0.0,True,14.0,6.0,2.0032263442682496,2.3036509332348643,2.137560504058479,0.12360947685673745,0.3004245889666146,100.24508666490152,34.618201821408746,35.353040463613326,166.29829412028081,6.0,1.0,1,Octahedron
mp-1173812,Na3Mg4ScSi8(O11F)2,1.636999694558685,0.7071166620479911,[6.0],3.0,3.0,3.0,Octahedron,2i,1,6.0,Sc,0.0,True,15.0,6.0,2.0032263442682496,2.3036509332348643,2.1375605040584795,0.1236094768567376,0.3004245889666146,55.187823358209236,31.519094014999535,16.06349381582139,127.57275199101441,6.0,1.0,2,Octahedron
