name,mean_ionic_radius,c1,c2,R2,n
Al,0.44875,-1.670488826515216,0.36515265793864016,0.9996764064241515,4
Ga,0.5466666666666667,-1.7628633502061337,0.3587044564752446,0.9999614990520965,3
In,0.71,-2.0455992377626715,0.22334356614091933,0.9996163794365197,4
