model_name,target,features,n,R2,MAE,RMSE,intercept,RSS,AIC,BIC,coef_Z,coef_CN,coef_Z_over_CN
residual_vs_Z,ratio_resid,Z,11,0.0,0.057212575725229156,0.06326402703885776,-1.2111523905001707e-16,0.04402570828890658,-56.72964490112963,-55.93385435553289,0.0,,
residual_vs_CN,ratio_resid,CN,11,0.13199175696883947,0.05350832927443221,0.05894117074758541,-0.10186677739691605,0.0382146777000562,-58.286739646788845,-57.4909491011921,,0.020373355479383185,
residual_vs_Z_over_CN,ratio_resid,Z_over_CN,11,0.20725993729214465,0.04921721893440742,0.05632772831604306,0.11580336850533861,0.03490094274970555,-59.28450381056564,-58.488713264968894,,,-0.1825355040923456
residual_vs_Z_CN,ratio_resid,Z + CN,11,0.13199175696883947,0.05350832927443221,0.05894117074758541,-0.10186677739691605,0.0382146777000562,-56.286739646788845,-55.093053828393735,0.0,0.020373355479383185,
residual_vs_Z_CN_ZoverCN,ratio_resid,Z + CN + Z_over_CN,11,0.2972895822055446,0.04126654042276012,0.053032857623959165,0.7328282346015936,0.030937323865394363,-56.610559251783414,-55.01897816058993,0.0,-0.06574620562831,-0.6369597727210515
