target,features,n,R2,MAE,RMSE,intercept,RSS,AIC,BIC,coef_beta,model_name,coef_Z,coef_CN,coef_Z_over_CN
beta0,beta + Z + CN + Z_over_CN,11,0.9655046230455461,0.21892004107158716,0.28668476978586116,-0.03545139838028799,0.9040697294988944,-17.486184659577646,-15.496708295585792,-1.828593410629652,M6_beta_Z_CN_ZoverCN,6.245004513516506e-17,0.06332961318611827,0.02903828681021745
beta0,beta + Z + CN,11,0.9655042590513417,0.21900142475305595,0.2866862823265062,0.0068411691115422,0.9040792692161256,-19.486068588513128,-17.894487497319645,-1.8275789035039904,M4_beta_Z_CN,0.0,0.05897326130844285,
beta0,beta + CN,11,0.9655042590513416,0.21900142475305592,0.2866862823265063,0.0068411691115439766,0.9040792692161258,-21.486068588513128,-20.292382770118017,-1.82757890350399,M3_beta_CN,,0.05897326130844271,
beta0,beta + Z_over_CN,11,0.9654315406934229,0.22088002743711935,0.28698829613926014,0.5693432834946464,0.9059851033300726,-21.46290456924565,-20.26921875085054,-1.8122180456535515,M5_beta_Z_over_CN,,,-0.3720178394390806
beta0,beta,11,0.9642353038809318,0.23458896817592906,0.29191166068451335,0.3924379199186556,0.937336594079495,-23.088689196540724,-22.292898650943982,-1.7835050884104988,M1_beta_only,,,
beta0,beta + Z,11,0.9642353038809318,0.23458896817592906,0.29191166068451335,0.3924379199186556,0.937336594079495,-21.088689196540724,-19.89500337814561,-1.7835050884104988,M2_beta_Z,0.0,,
