level,name,intercept_A,slope_B,n,R2,MAE,RMSE
global,all,-1.425379615320463,-1.0147422777297526,11,0.8222793003088169,0.05721257572522913,0.06326402703885776
group,Group13,-1.425379615320463,-1.0147422777297526,11,0.8222793003088169,0.05721257572522913,0.06326402703885776
element,Al,-1.6754382652774806,-0.43955040322229777,4,0.1837634735309488,0.04742562637528247,0.057328261056651564
element,Ga,-1.447156611465636,-0.9020012740077775,3,0.9890690789023437,0.005474715946780284,0.005811112907725656
element,In,-1.8548974143831471,-0.46323800883207494,4,0.5852817098877376,0.034095166893291284,0.03509464179210129
