model_name,C1_formula,C2_formula
M11_full_interaction_radius,-0.15236402 + (-0.45709205)*Z + (0.13476933)*CN + (-1.77947726)*r,0.16843999 + (0.00000000)*Z + (0.11879060)*CN + (-0.90811513)*r
M12_simplified_radius_dominant,-0.96670033 + (-1.88896420)*r,0.69099847 + (-1.29276609)*r
