CN,n_samples,n_materials,avg_formal_charge,s_avg_approx,savg_class,charge_fraction_breakdown
4.0,9,9,3.0,0.75,s_avg ≤ 1,2+:0.3333; 3+:0.3333; 4+:0.3333
5.0,7,7,3.1428571428571423,0.6285714285714284,s_avg ≤ 1,2+:0.1429; 3+:0.5714; 4+:0.2857
6.0,47,47,3.9148936170212765,0.652482269503546,s_avg ≤ 1,2+:0.0213; 3+:0.0426; 4+:0.9362
