material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Pt_wyckoff,num_Pt_chemenvs,CN,element,charge_range,is_single_charge
mp-560373,Bi3Pt3O11,2.2303410331801947,-0.5413144390558788,[6.0],4.0,4.0,4.0,Octahedron,12g,1,6.0,Pt,0.0,True
mp-560453,Ca7Cu(PtO6)2,2.0442385301102104,0.0139215263162465,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Pt,0.0,True
mp-625208,H8PtO6,2.0388447934450378,-0.0056901144447103,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Pt,0.0,True
mp-645189,CsKPt6(S3O14)2,1.811882816823124,0.4617686226698573,[5.0],3.0,3.0,3.0,Square pyramid,6f,1,5.0,Pt,0.0,True
mp-6595,Sr3CuPtO6,2.093042851023124,-0.0833796338150245,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Pt,0.0,True
mp-753552,Cu4PtO5,2.027680000460085,0.0252887589708588,[4.0],4.0,4.0,4.0,Square plane,2m,1,4.0,Pt,0.0,True
mp-757840,Ba4(PtO3)3,2.057667687728243,-0.0101434491451529,"[4.0, 6.0]",3.33,3.33,3.33,"Octahedron, Square plane",1a,2,4.0,Pt,0.0,True
mp-757840,Ba4(PtO3)3,2.057667687728243,-0.0101434491451529,"[4.0, 6.0]",3.33,3.33,3.33,"Octahedron, Square plane",1a,2,6.0,Pt,0.0,True
mp-8207,Zn(PtO2)3,1.9710616317503795,0.0964618308231706,"[4.0, 6.0]",3.33,3.33,3.33,"Octahedron, Square plane","1a, 2f",2,4.0,Pt,0.0,True
mp-8207,Zn(PtO2)3,1.9710616317503795,0.0964618308231706,"[4.0, 6.0]",3.33,3.33,3.33,"Octahedron, Square plane","1a, 2f",2,6.0,Pt,0.0,True
mp-8208,Mg(PtO2)3,1.9715749593634229,0.1000011853181974,"[4.0, 6.0]",3.33,3.33,3.33,"Octahedron, Square plane","1a, 2f",2,4.0,Pt,0.0,True
mp-8208,Mg(PtO2)3,1.9715749593634229,0.1000011853181974,"[4.0, 6.0]",3.33,3.33,3.33,"Octahedron, Square plane","1a, 2f",2,6.0,Pt,0.0,True
mp-8212,Cd(PtO2)3,1.9784260291916909,0.0945563636451474,"[4.0, 6.0]",3.33,3.33,3.33,"Octahedron, Square plane","1a, 2f",2,4.0,Pt,0.0,True
mp-8212,Cd(PtO2)3,1.9784260291916909,0.0945563636451474,"[4.0, 6.0]",3.33,3.33,3.33,"Octahedron, Square plane","1a, 2f",2,6.0,Pt,0.0,True
mp-860960,Ba4(PtO3)3,2.055146206668169,-0.0044072266195333,"[4.0, 6.0]",3.33,3.33,3.33,"Octahedron, Square plane",1a,2,4.0,Pt,0.0,True
mp-860960,Ba4(PtO3)3,2.055146206668169,-0.0044072266195333,"[4.0, 6.0]",3.33,3.33,3.33,"Octahedron, Square plane",1a,2,6.0,Pt,0.0,True
mp-9737,Ba4Sm4Zn3PtO15,1.938612468353627,0.2676401720503593,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Pt,0.0,True
mp-9837,Ba4Nd4Zn3PtO15,1.8945689569419204,0.3868272198466186,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Pt,0.0,True
mp-997006,AgPtO2,2.0280629284780622,0.0245818934792814,"[4.0, 6.0]",2.0,2.0,2.0,"Octahedron, Square plane","1a, 1f",2,4.0,Pt,0.0,True
mp-997006,AgPtO2,2.0280629284780622,0.0245818934792814,"[4.0, 6.0]",2.0,2.0,2.0,"Octahedron, Square plane","1a, 1f",2,6.0,Pt,0.0,True
mp-997007,AgPtO2,3.305160599024608,-1.2303722348536006,[5.0],2.0,2.0,2.0,Square pyramid,2i,1,5.0,Pt,0.0,True
