material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ge_wyckoff,num_Ge_chemenvs,CN,element,charge_range,is_single_charge
mp-558933,Na2Ge4O9,1.7896175959274074,0.3162946244192278,"[4.0, 6.0]",4.0,4.0,4.0,"Octahedron, Tetrahedron","12g, 2b, 4d, 6f",2,6.0,Ge,0.0,True
mp-559014,Nd4GeO8,1.7725355989115443,-0.2473242038855358,[4.0],4.0,4.0,4.0,Tetrahedron,4c,1,4.0,Ge,0.0,True
mp-559109,ErGeBiO5,1.78240882372592,0.1629974586296084,[4.0],4.0,4.0,4.0,Tetrahedron,8c,1,4.0,Ge,0.0,True
mp-559144,GePb3O5,1.7674143789277068,0.0210737534933797,[4.0],4.0,4.0,4.0,Tetrahedron,2a,1,4.0,Ge,0.0,True
mp-559590,PrGeBO5,1.748219573132794,0.2558316503489184,[4.0],4.0,4.0,4.0,Tetrahedron,3a,1,4.0,Ge,0.0,True
mp-559680,LiV(GeO3)2,1.7741221429827398,0.3513346235586437,[4.0],4.0,4.0,4.0,Tetrahedron,4e,1,4.0,Ge,0.0,True
mp-559748,NdGaGe2O7,1.7785580864058812,0.3758697248744623,[4.0],4.0,4.0,4.0,Tetrahedron,4e,1,4.0,Ge,0.0,True
mp-559957,SrTiGeO5,1.7812590352095905,-0.0248566519540008,[4.0],4.0,4.0,4.0,Tetrahedron,4e,1,4.0,Ge,0.0,True
mp-560019,K2Ge3(BO5)2,1.7753779613231309,0.3105606589697817,[4.0],4.0,4.0,4.0,Tetrahedron,"1b, 1a, 2c",1,4.0,Ge,0.0,True
mp-560082,Ho2Ge2O7,1.759092841995504,0.3453935142933527,[4.0],4.0,4.0,4.0,Tetrahedron,8b,1,4.0,Ge,0.0,True
mp-560104,LiTaGeO5,1.746907982648514,-0.0022489147653874,[4.0],4.0,4.0,4.0,Tetrahedron,4e,1,4.0,Ge,0.0,True
mp-560216,Cs2GeP4O13,1.885453880176393,0.053053435205702,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Ge,0.0,True
mp-560342,Ag4GeO4,1.7929494280396696,0.0079170747954369,[4.0],4.0,4.0,4.0,Tetrahedron,2i,1,4.0,Ge,0.0,True
