material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ge_wyckoff,num_Ge_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-10080,PrGeBO5,1.7479217273897507,0.2526667300297363,[4.0],4.0,4.0,4.0,Tetrahedron,3a,1,4.0,Ge,0.0,True,,,,,,,,,,,,,,0,Tetrahedron
mp-1019548,BaGe(S2O7)3,1.87842776366918,0.005414111513511,[6.0],4.0,4.0,4.0,Octahedron,4a,1,6.0,Ge,0.0,True,,,,,,,,,,,,,,0,Octahedron
mp-1019566,Ca3ZnGe5O14,1.7914430770140384,0.3133640009791813,[4.0],4.0,4.0,4.0,Tetrahedron,"2c, 1b",1,4.0,Ge,0.0,True,6.0,4.0,1.7228359840306728,1.8058452015597295,1.782401330630935,0.034489886208490715,0.08300921752905666,92.69661687861448,24.22722147418921,57.18874603787294,118.27838173884645,3.0,0.75,1,Tetrahedron
mp-1019566,Ca3ZnGe5O14,1.7914430770140384,0.3133640009791813,[4.0],4.0,4.0,4.0,Tetrahedron,"2c, 1b",1,4.0,Ge,0.0,True,7.0,4.0,1.722835984030673,1.8058452015597313,1.7824013306309352,0.034489886208490736,0.08300921752905821,92.69661687861452,24.227221474189204,57.18874603787298,118.27838173884645,3.0,0.75,2,Tetrahedron
mp-1019739,Eu2Ge(BO4)2,1.7736447904048669,0.5209854615736875,[4.0],4.0,4.0,4.0,Tetrahedron,4c,1,4.0,Ge,0.0,True,,,,,,,,,,,,,,0,Tetrahedron
mp-1020012,Li2Ge4O9,1.7848878805817818,0.3001800861784729,"[4.0, 6.0]",4.0,4.0,4.0,"Octahedron, Tetrahedron",4a,2,4.0,Ge,0.0,True,,,,,,,,,,,,,,0,"Octahedron, Tetrahedron"
mp-1020012,Li2Ge4O9,1.7848878805817818,0.3001800861784729,"[4.0, 6.0]",4.0,4.0,4.0,"Octahedron, Tetrahedron",4a,2,6.0,Ge,0.0,True,8.0,6.0,1.8879271592037128,1.9279462288589468,1.9071062794429705,0.013525897448037639,0.04001906965523405,107.27395033666784,34.628675686271855,85.62239463029377,179.7753335265225,6.0,1.0,1,"Octahedron, Tetrahedron"
mp-1020012,Li2Ge4O9,1.7848878805817818,0.3001800861784729,"[4.0, 6.0]",4.0,4.0,4.0,"Octahedron, Tetrahedron",4a,2,6.0,Ge,0.0,True,9.0,6.0,1.8879271592037121,1.9279462288589448,1.90710627944297,0.013525897448036943,0.04001906965523272,107.27395033666797,34.628675686272096,85.6223946302938,179.7753335265241,6.0,1.0,2,"Octahedron, Tetrahedron"
mp-1020012,Li2Ge4O9,1.7848878805817818,0.3001800861784729,"[4.0, 6.0]",4.0,4.0,4.0,"Octahedron, Tetrahedron",4a,2,6.0,Ge,0.0,True,10.0,6.0,1.8879271592037115,1.9279462288589455,1.90710627944297,0.013525897448037566,0.04001906965523405,107.27395033666785,34.62867568627186,85.62239463029377,179.7753335265225,6.0,1.0,3,"Octahedron, Tetrahedron"
mp-1020012,Li2Ge4O9,1.7848878805817818,0.3001800861784729,"[4.0, 6.0]",4.0,4.0,4.0,"Octahedron, Tetrahedron",4a,2,6.0,Ge,0.0,True,11.0,6.0,1.8879271592037128,1.9279462288589482,1.9071062794429707,0.013525897448038275,0.040019069655235384,107.27395033666795,34.628675686272096,85.62239463029374,179.7753335265241,6.0,1.0,4,"Octahedron, Tetrahedron"
