material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ti_wyckoff,num_Ti_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1013762,LiTi2P2O9,1.9075911129217336,0.2107481097181741,[6.0],3.5,3.0,4.0,Octahedron,"4c, 4a",1,6.0,Ti,1.0,False,4.0,6.0,1.893054122887573,2.1275327989504604,1.9932908650356334,0.07569931841258752,0.23447867606288741,94.21143526886549,36.03626445163165,3.812329475262693,174.27661964011747,6.0,1.0,1,Octahedron
mp-1013762,LiTi2P2O9,1.9075911129217336,0.2107481097181741,[6.0],3.5,3.0,4.0,Octahedron,"4c, 4a",1,6.0,Ti,1.0,False,5.0,6.0,1.893054122887573,2.127532798950465,1.9932908650356345,0.0756993184125897,0.23447867606289186,94.21143526886549,36.03626445163165,3.812329475262693,174.27661964011747,6.0,1.0,2,Octahedron
mp-1013762,LiTi2P2O9,1.9075911129217336,0.2107481097181741,[6.0],3.5,3.0,4.0,Octahedron,"4c, 4a",1,6.0,Ti,1.0,False,6.0,6.0,1.8930541228875706,2.127532798950465,1.9932908650356336,0.07569931841259032,0.2344786760628943,68.55142231951385,31.778347354533057,3.812329475262693,96.5185587786248,6.0,1.0,3,Octahedron
mp-1013762,LiTi2P2O9,1.9075911129217336,0.2107481097181741,[6.0],3.5,3.0,4.0,Octahedron,"4c, 4a",1,6.0,Ti,1.0,False,7.0,6.0,1.8930541228875737,2.1275327989504627,1.9932908650356336,0.0756993184125887,0.23447867606288897,68.55142231951385,31.77834735453305,3.812329475262693,96.51855877862478,6.0,1.0,4,Octahedron
mp-1013762,LiTi2P2O9,1.9075911129217336,0.2107481097181741,[6.0],3.5,3.0,4.0,Octahedron,"4c, 4a",1,6.0,Ti,1.0,False,8.0,6.0,1.9990812647841412,2.086731369221156,2.0516678884239936,0.037867581590491035,0.08765010443701504,47.20102350781211,25.919771231522866,11.429879548413863,83.76450212208078,6.0,1.0,5,Octahedron
mp-1013762,LiTi2P2O9,1.9075911129217336,0.2107481097181741,[6.0],3.5,3.0,4.0,Octahedron,"4c, 4a",1,6.0,Ti,1.0,False,9.0,6.0,1.9990812647841434,2.0867313692211567,2.051667888423995,0.037867581590490126,0.08765010443701327,107.99999994308175,36.65774508295241,76.71106551358172,180.0,6.0,1.0,6,Octahedron
mp-1013762,LiTi2P2O9,1.9075911129217336,0.2107481097181741,[6.0],3.5,3.0,4.0,Octahedron,"4c, 4a",1,6.0,Ti,1.0,False,10.0,6.0,1.9990812647841443,2.086731369221155,2.0516678884239945,0.03786758159048967,0.0876501044370106,55.66156625891604,26.37858203334794,25.83450913631184,98.67086141585169,6.0,1.0,7,Octahedron
mp-1013762,LiTi2P2O9,1.9075911129217336,0.2107481097181741,[6.0],3.5,3.0,4.0,Octahedron,"4c, 4a",1,6.0,Ti,1.0,False,11.0,6.0,1.999081264784141,2.086731369221155,2.0516678884239927,0.037867581590490404,0.08765010443701393,54.604299150614594,21.157626411912638,13.326024660110866,79.51045096811156,6.0,1.0,8,Octahedron
mp-1025200,Eu2TiO4,2.218072492738671,-0.6153261275275131,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Ti,0.0,True,2.0,6.0,1.94444462,2.0141793052072097,1.9676896150690697,0.032873175152168,0.0697346852072096,68.11347867521596,30.895133998900146,0.0,90.0,2.0,0.3333333333333333,1,Octahedron
mp-1031344,LiMg6TiO8,1.919865360543266,0.2663872941129037,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Ti,0.0,True,7.0,6.0,2.099008,2.115857785387065,2.104624595129021,0.007943065005820607,0.01684978538706483,72.0,36.0,0.0,90.0,6.0,1.0,1,Octahedron
mp-1034083,NaMg14TiO16,1.652843198396662,0.6044750216915423,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Ti,0.0,True,15.0,6.0,2.052010409702681,2.11354018,2.072520662242463,0.029005179170157068,0.06152977029731943,72.0,36.0,0.0,90.0,6.0,1.0,1,Octahedron
