material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Al_wyckoff,num_Al_chemenvs,CN,element,charge_range,is_single_charge
mp-1201038,KNaAl6Si6(HO6)4,1.6380930880843607,0.4226731398343856,"[4.0, 6.0]",3.0,3.0,3.0,"Octahedron, Tetrahedron",2e,2,6.0,Al,0.0,True
mp-1201174,CsAlAs3H5O12,1.9231943149267456,0.0061869813005061,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Al,0.0,True
mp-1201495,Cs2Al2Si3O10,1.757093155916909,0.01536735709937,[4.0],3.0,3.0,3.0,Tetrahedron,4b,1,4.0,Al,0.0,True
mp-1201953,Ba3Al2B10H4O23,1.55468243710332,0.7668055059795134,[4.0],3.0,3.0,3.0,Tetrahedron,4b,1,4.0,Al,0.0,True
mp-1202030,Ce2AlSi2O9,1.8352386690477425,0.1304586050355762,[6.0],3.0,3.0,3.0,Octahedron,4e,1,6.0,Al,0.0,True
mp-1202430,Al2H15SClO13,1.932687345868627,-0.0129238631307299,[6.0],3.0,3.0,3.0,Octahedron,4f,1,6.0,Al,0.0,True
mp-1202683,CaAl2Si3H6O13,1.7615943415842132,0.0071832482480204,[4.0],3.0,3.0,3.0,Tetrahedron,2a,1,4.0,Al,0.0,True
mp-1203129,MgAl2As2(HO)18,1.8475277408476896,0.1161417303758294,[6.0],3.0,3.0,3.0,Octahedron,"1a, 1c",1,6.0,Al,0.0,True
mp-1203218,Rb9Al(HO2)4,1.827862129375236,-0.0094809387229416,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Al,0.0,True
mp-1203296,AlH12(NO5)3,1.913656992928497,-0.0532798513231432,[6.0],3.0,3.0,3.0,Octahedron,2d,1,6.0,Al,0.0,True
mp-1203355,KNaAl6Si6(HO6)4,1.6368892662268422,0.425512397926601,"[4.0, 6.0]",3.0,3.0,3.0,"Octahedron, Tetrahedron",1a,2,4.0,Al,0.0,True
