material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Al_wyckoff,num_Al_chemenvs,CN,element,charge_range,is_single_charge
mp-1019803,KAl9O14,1.6642478737570912,0.4081439212995755,"[4.0, 5.0, 6.0]",3.0,3.0,3.0,"Octahedron, Trigonal bipyramid, Tetrahedron","4e, 2a",3,6.0,Al,0.0,True
mp-1020023,Li3AlSiO5,1.691844562733838,0.3099737368168841,[4.0],3.0,3.0,3.0,Tetrahedron,4a,1,4.0,Al,0.0,True
mp-1020030,LiAl(GeO3)2,1.845185500791277,0.1336740056832507,[6.0],3.0,3.0,3.0,Octahedron,4e,1,6.0,Al,0.0,True
mp-1020141,Na2Al2Si3O10,1.7525512981962743,0.060034623448481,[4.0],3.0,3.0,3.0,Tetrahedron,2c,1,4.0,Al,0.0,True
mp-1020163,Na3Li2Al(SiO4)2,1.980786388862287,-0.7382691050642375,[4.0],3.0,3.0,3.0,Tetrahedron,4d,1,4.0,Al,0.0,True
mp-1020661,NaAl(SiO3)2,1.7223807303929544,0.1177458778684465,[4.0],3.0,3.0,3.0,Tetrahedron,4f,1,4.0,Al,0.0,True
mp-1020715,Sr6Y2Al4O15,1.7498113439491607,0.102555831544187,[4.0],3.0,3.0,3.0,Tetrahedron,2c,1,4.0,Al,0.0,True
mp-1020724,Na7Al4P9O32,1.682830597066976,0.2982604790030417,[6.0],3.0,3.0,3.0,Octahedron,8e,1,6.0,Al,0.0,True
mp-1036528,LiMg14AlO16,0.8344679906776229,1.6795443489860886,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Al,0.0,True
mp-1036532,NaMg14AlO16,0.8442292315566678,1.667630177996008,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Al,0.0,True
mp-1036537,LiMg14AlO16,1.0338092327252024,1.3846257747272437,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Al,0.0,True
mp-1038199,NaMg30AlO32,0.8386213265978968,1.6613576690890668,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Al,0.0,True
mp-1038204,LiMg30AlO32,1.2009078023488882,1.127392259044389,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Al,0.0,True
mp-1038206,NaMg30AlO32,0.8657441113380443,1.6152780449886772,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Al,0.0,True
mp-1038227,LiMg30AlO32,1.2305117988556002,1.0911067390936686,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Al,0.0,True
mp-1038308,Mg30AlCuO32,0.5668328782006873,2.03029298674166,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Al,0.0,True
mp-1038314,Mg30AlNiO32,0.3001702964662967,2.414463667493064,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Al,0.0,True
mp-1038340,Mg30AlCoO32,1.0459640173972908,1.3601553439684206,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Al,0.0,True
mp-1038344,Mg30AlCoO32,0.8684543782175111,1.59794754041105,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Al,0.0,True
mp-1038379,Mg30AlFeO32,0.5638295841204959,2.0377330371060776,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Al,0.0,True
mp-1041805,AlCr(WO4)2,2.02553136274231,-0.119654698692484,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Al,0.0,True
mp-1042105,AlV(WO4)2,2.0073594122875886,-0.0925652063773798,[6.0],3.0,3.0,3.0,Octahedron,"1d, 1a",1,6.0,Al,0.0,True
mp-10444,Ca2Al2O5,1.637466471090235,0.5152156831718827,"[4.0, 6.0]",3.0,3.0,3.0,"Octahedron, Tetrahedron","2b, 2a",2,4.0,Al,0.0,True
mp-10444,Ca2Al2O5,1.637466471090235,0.5152156831718827,"[4.0, 6.0]",3.0,3.0,3.0,"Octahedron, Tetrahedron","2b, 2a",2,6.0,Al,0.0,True
mp-1044552,Al4Co13Si2(SbO14)2,1.6760841858301272,0.3819117118050657,[4.0],3.0,3.0,3.0,Tetrahedron,4j,1,4.0,Al,0.0,True
mp-1044564,Al4Si2Ni13(SbO14)2,1.6862023760804008,0.3161453914859972,[4.0],3.0,3.0,3.0,Tetrahedron,4j,1,4.0,Al,0.0,True
mp-1046989,Ca2AlMoO5,1.617820805572741,0.6330176451891587,[4.0],3.0,3.0,3.0,Tetrahedron,2a,1,4.0,Al,0.0,True
mp-1047019,Sr2YAlFe2O7,1.6695703069149914,0.4155749300301092,[4.0],3.0,3.0,3.0,Tetrahedron,2b,1,4.0,Al,0.0,True
mp-1094063,Sr12Al14O33,1.702727018606112,0.2660738570453025,[4.0],3.0,3.0,3.0,Tetrahedron,"1d, 1a, 4g",1,4.0,Al,0.0,True
mp-1094103,NaMgAl3Si8(HO6)4,1.6955737834471345,0.3488669484704784,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Al,0.0,True
mp-1096865,AlFe2BO5,1.7236301578395554,0.3579798146944647,[6.0],3.0,3.0,3.0,Octahedron,4g,1,6.0,Al,0.0,True
mp-1096905,Ce4Al2O9,1.75296902670243,0.0674453250603715,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Al,0.0,True
mp-1101043,TiAl2O5,1.5883485155646362,0.5259638732867364,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Al,0.0,True
mp-1173088,Ca10TaTi8Al(SiO5)10,1.580720639766989,0.5085581588748627,[6.0],3.0,3.0,3.0,Octahedron,1d,1,6.0,Al,0.0,True
mp-1173209,Sr4Nd3Ta2Al5O21,1.7369717673872391,0.2554717886563181,[6.0],3.0,3.0,3.0,Octahedron,"1b, 2c",1,6.0,Al,0.0,True
mp-1173412,Pr4AlSi5(NO)7,1.7003051235328457,0.2818253422356329,"[1.0, 2.0, 4.0]",3.0,3.0,3.0,Tetrahedron,1a,1,1.0,Al,0.0,True
mp-1173412,Pr4AlSi5(NO)7,1.7003051235328457,0.2818253422356329,"[1.0, 2.0, 4.0]",3.0,3.0,3.0,Tetrahedron,1a,1,2.0,Al,0.0,True
mp-1173412,Pr4AlSi5(NO)7,1.7003051235328457,0.2818253422356329,"[1.0, 2.0, 4.0]",3.0,3.0,3.0,Tetrahedron,1a,1,4.0,Al,0.0,True
mp-1173619,NbAlO4,1.8158156243865613,0.1615312903915952,[6.0],3.0,3.0,3.0,Octahedron,2i,1,6.0,Al,0.0,True
mp-1173717,Na4Al3Si3CNO13,1.7540470558469714,0.0149795636852847,[4.0],3.0,3.0,3.0,Tetrahedron,"2b, 4d",1,4.0,Al,0.0,True
mp-1173733,Na2Al2Si3(HO3)4,1.7451353039576092,0.0545039820898667,[4.0],3.0,3.0,3.0,Tetrahedron,1a,1,4.0,Al,0.0,True
mp-1173736,Na3CaAl3Si3SO16,1.779661125056912,-0.0824971769058842,[4.0],3.0,3.0,3.0,Tetrahedron,6b,1,4.0,Al,0.0,True
mp-1173749,Na8Al6Si6O25,1.7446842924542518,0.0497211529218963,[4.0],3.0,3.0,3.0,Tetrahedron,3b,1,4.0,Al,0.0,True
mp-1173750,NaCaAlFe(SiO3)4,1.7559139175242648,0.3104063183705401,[6.0],3.0,3.0,3.0,Octahedron,"1b, 2c",1,6.0,Al,0.0,True
mp-1173771,Na4Al3Si3ClO16,1.7459875511896417,0.0319369754623427,[4.0],3.0,3.0,3.0,Tetrahedron,1a,1,4.0,Al,0.0,True
mp-1173784,Na9Mg9Al(Si2O7)5,1.19271426317355,1.1081696809903137,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Al,0.0,True
mp-1173790,Na4MgAl2(Si3O8)3,1.6604791546288151,0.4160173139618989,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Al,0.0,True
mp-1173798,Na2Al2Si3(HO3)4,1.7609215555780833,-0.0003056666245869,[4.0],3.0,3.0,3.0,Tetrahedron,4b,1,4.0,Al,0.0,True
mp-1173823,NaCaAlFe(SiO3)4,1.6341423791612766,0.465108715600683,[6.0],3.0,3.0,3.0,Octahedron,"2e, 1a, 1c",1,6.0,Al,0.0,True
mp-1173860,Na2Al2Si3(HO3)4,1.7480177989182262,0.0442269726812759,[4.0],3.0,3.0,3.0,Tetrahedron,1a,1,4.0,Al,0.0,True
mp-1173868,Na12Mg5Al2Si29O72,1.6506419399742145,0.4380183513177084,[6.0],3.0,3.0,3.0,Octahedron,"1d, 1b",1,6.0,Al,0.0,True
mp-1177725,Li3Al(FeO3)2,1.7191567688197522,0.3254778870280826,[5.0],3.0,3.0,3.0,Trigonal bipyramid,2i,1,5.0,Al,0.0,True
mp-1178155,La3AlO6,1.7754198640993135,0.0182834227958579,[4.0],3.0,3.0,3.0,Tetrahedron,2a,1,4.0,Al,0.0,True
mp-1178196,LaAl33O51,1.6752516300667106,0.3674161980622624,"[4.0, 6.0]",3.0,3.0,3.0,"Octahedron, Tetrahedron","2g, 4j, 1a, 2i",2,4.0,Al,0.0,True
mp-1178196,LaAl33O51,1.6752516300667106,0.3674161980622624,"[4.0, 6.0]",3.0,3.0,3.0,"Octahedron, Tetrahedron","2g, 4j, 1a, 2i",2,6.0,Al,0.0,True
mp-1178547,AlRhO3,1.6251598456411442,0.4304055283769396,[5.0],3.0,3.0,3.0,Trigonal bipyramid,2c,1,5.0,Al,0.0,True
mp-1182867,AlWO4,1.8878068451352503,0.0041520417693137,[6.0],3.0,3.0,3.0,Octahedron,1b,1,6.0,Al,0.0,True
mp-1190488,Al4CdO7,1.6945178581775786,0.2430346176104784,[4.0],3.0,3.0,3.0,Tetrahedron,4f,1,4.0,Al,0.0,True
mp-1192295,Li3Al(BO3)2,1.6947752359364212,0.2903935259845546,[4.0],3.0,3.0,3.0,Tetrahedron,2i,1,4.0,Al,0.0,True
mp-1192378,AlTlSiO4,1.716335330004069,0.1381392122492554,[4.0],3.0,3.0,3.0,Tetrahedron,4c,1,4.0,Al,0.0,True
mp-1192933,CsAlSiO4,1.720584013034485,0.1195345399907649,[4.0],3.0,3.0,3.0,Tetrahedron,4a,1,4.0,Al,0.0,True
mp-1193864,Al2PH3O7,1.7301687995799395,0.2553532470334381,"[5.0, 6.0]",3.0,3.0,3.0,"Octahedron, Trigonal bipyramid","2g, 2i",2,5.0,Al,0.0,True
mp-1193864,Al2PH3O7,1.7301687995799395,0.2553532470334381,"[5.0, 6.0]",3.0,3.0,3.0,"Octahedron, Trigonal bipyramid","2g, 2i",2,6.0,Al,0.0,True
mp-1194510,Al2Si2PbO8,1.7323384180664436,0.0867461583714682,[4.0],3.0,3.0,3.0,Tetrahedron,4f,1,4.0,Al,0.0,True
mp-1194541,BaAl4O7,1.6964642623065924,0.2552519571710294,[4.0],3.0,3.0,3.0,Tetrahedron,4c,1,4.0,Al,0.0,True
mp-1194615,CaAl2H12(CO7)2,1.8942239685581577,0.0343422671924566,[6.0],3.0,3.0,3.0,Octahedron,2i,1,6.0,Al,0.0,True
mp-1194729,RbAlCu(PO4)2,2.005623513906836,-0.2978321745326733,[5.0],3.0,3.0,3.0,Trigonal bipyramid,4e,1,5.0,Al,0.0,True
mp-1194752,CaAl6H12(SO7)4,1.859951451254564,0.1056494663089165,[6.0],3.0,3.0,3.0,Octahedron,6h,1,6.0,Al,0.0,True
mp-1194858,CaAl2Si3(HO3)4,1.7454887302826314,0.0622416761606399,[4.0],3.0,3.0,3.0,Tetrahedron,2a,1,4.0,Al,0.0,True
mp-1194859,AlV(TeO4)2,1.8988020591600008,0.046954523715703,[6.0],3.0,3.0,3.0,Octahedron,4e,1,6.0,Al,0.0,True
mp-1195057,K3Ba3Li2Al4B6O20F,1.6303986358941018,0.3877484724019782,[4.0],3.0,3.0,3.0,Tetrahedron,4f,1,4.0,Al,0.0,True
mp-1195073,Al2Si2PbO8,1.7310346809599348,0.1080241510202888,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Al,0.0,True
mp-1195235,BaAlB4H3O10,1.4996417700609417,0.7155383768840459,[5.0],3.0,3.0,3.0,Trigonal bipyramid,4f,1,5.0,Al,0.0,True
mp-1195311,CaLaMgAl2Si3HO13,1.780769225192285,0.2046985960067177,[6.0],3.0,3.0,3.0,Octahedron,"2a, 2c",1,6.0,Al,0.0,True
mp-1195968,CsAlVP2(HO5)2,1.3744200692522146,1.32695344166985,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Al,0.0,True
mp-1196041,Al2H32S3O28,1.91311469729412,-0.0122368625690467,[6.0],3.0,3.0,3.0,Octahedron,2i,1,6.0,Al,0.0,True
mp-1196145,Al2Si2PbO8,1.7237986787493784,0.1326761310619925,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Al,0.0,True
mp-1196869,Ba3Al2O6,1.7238180851908969,0.1971327208047059,[4.0],3.0,3.0,3.0,Tetrahedron,12b,1,4.0,Al,0.0,True
mp-1196877,BaAl4(SbO6)2,1.7132554168685368,0.2931646199082847,[6.0],3.0,3.0,3.0,Octahedron,8i,1,6.0,Al,0.0,True
mp-1196891,Ca2Al2Sn2O9,1.7379524941900342,0.1334754672193835,[4.0],3.0,3.0,3.0,Tetrahedron,8d,1,4.0,Al,0.0,True
