CN,n_samples,n_materials,avg_formal_charge,s_avg_approx,savg_class,charge_fraction_breakdown
0.0,1,1,3.0,inf,s_avg > 1,3+:1.0000
1.0,8,8,3.0,3.0,s_avg > 1,3+:1.0000
2.0,7,7,3.0,1.5,s_avg > 1,3+:1.0000
3.0,11,11,3.0,1.0,s_avg ≤ 1,3+:1.0000
4.0,503,503,3.0,0.75,s_avg ≤ 1,3+:1.0000
5.0,62,62,3.0,0.6,s_avg ≤ 1,3+:1.0000
6.0,543,543,3.0,0.5,s_avg ≤ 1,3+:1.0000
