material_id,chem_formula,R$_0$,B,Rb_chemenv,num_Rb_chemenvs,Rb_wyckoff,num_Rb_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Rb_sites,num_CN_env,num_charge_states,RbX_coordn,RbO_coordn,mean_coordn_Rb-X,min_coordn_Rb-X,max_coordn_Rb-X,mean_coordn_Rb-O,min_coordn_Rb-O,max_coordn_Rb-O,mean_Rb_charge,min_Rb_charge,max_Rb_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_RbO_BondL
mp-1080284,Rb2MgSi5O12,3.096642883185189,0.0529723606999047,"Tricapped octahedron (all 3 cap faces are sharingone edge of a face), Anticuboctahedron",2,8c,1,"[8.349497038152498, 10.587564068067607]",1.0,9.468530553110053,AB2C5D12,2,2,1,"[4.0, 9.0]","[4.0, 9.0]",6.5,4.0,9.0,6.5,4.0,9.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,Mg-O-Rb-Si,0.016613326125006,-3.111579099,4.1926,4,Orthorhombic,mmm,Pbca,oxide,Rb,Mg,,,,Si,"O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,3.2167276701104486
mp-1101403,Rb3TmO3,2.0832287644683687,0.6281721588623415,"Octahedron, Trigonal bipyramid",2,"2g, 2h, 2i",3,"[7.4931276021710485, 3.792051316488119, 5.43764182345498]",0.667,5.574273580704715,AB3C3,2,3,1,"[4.0, 5.0, 6.0]","[4.0, 5.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",r2SCAN,O-Rb-Tm,0.011085670714286,-2.238785134642859,2.0385,3,Monoclinic,2/m,C2/m,oxide,Rb,,,,,,O,,,Tm,,"B $\in$ [0.5, 1]",Positive B,3.063235837056291
mp-1101428,Rb3HoO3,2.3576582721312027,0.4435367857310432,"See-saw, Trigonal bipyramid, Tetrahedron",3,4e,1,"[6.737207283517295, 6.965601808848292, 6.743555850448205]",1.0,6.815454980937932,AB3C3,3,2,1,"[3.0, 4.0]","[3.0, 4.0]",3.5,3.0,4.0,3.5,3.0,4.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,Ho-O-Rb,0.0247894475,-2.205037612857142,2.1213,3,Monoclinic,2/m,P2_1/c,oxide,Rb,,,,,,"H, O",,,Ho,,"B $\in$ [0.1, 0.5]",Positive B,2.903259119215989
mp-1101431,RbLiMn3O4,3.0768354304505943,0.0106960921916747,Cube,1,1a,1,[0.027519694730750003],0.0,0.027519694730750003,ABC3D4,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Li-Mn-O-Rb,0.036079753263892,-1.871483890514048,0.7229999999999991,4,Monoclinic,m,Cm,oxide,"Li, Rb",,Mn,,,,O,,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,3.0994994693689053
mp-1101441,Rb4TiO4,2.083532694674434,0.5373854063064301,"Tetrahedron, Square pyramid, Octahedron, Trigonal bipyramid",4,2i,1,"[2.344897405065997, 3.548164499959592, 3.152799350293973, 9.888295588742917]",0.25,4.73353921101562,AB4C4,4,3,1,"[4.0, 5.0, 6.0]","[4.0, 5.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",r2SCAN,O-Rb-Ti,2.963666666655484e-05,-2.320109895648149,2.798,3,Triclinic,-1,P-1,oxide,Rb,,Ti,,,,O,,,,,"B $\in$ [0.5, 1]",Positive B,2.9168649638496844
mp-1101461,Rb2ZrO3,3.320055580027204,-0.1176067701828675,End-trigonal-face capped trigonal prism,1,8d,1,[9.291787314705626],1.0,9.291787314705626,AB2C3,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",r2SCAN,O-Rb-Zr,0.0,-2.7505519329166663,3.538599999999999,3,Orthorhombic,mmm,Pnma,oxide,Rb,,Zr,,,,O,,,,,"B $\in$ [-1, -0.1]",Negative B,2.9895360291967115
mp-1101471,Rb2FeO4,1.5610952422742848,0.6892074396971712,"Square-face monocapped antiprism, Hendecahedron",2,4c,1,"[4.387252943941201, 7.394384802308393]",0.5,5.890818873124797,AB2C4,2,2,1,"[10.0, 9.0]","[10.0, 9.0]",9.5,9.0,10.0,9.5,9.0,10.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",r2SCAN,Fe-O-Rb,0.0,-1.43114921142857,1.7002000000000002,3,Orthorhombic,mmm,Pnma,oxide,Rb,,Fe,,,,O,F,,,,"B $\in$ [0.5, 1]",Positive B,3.059574909992071
mp-1103360,Rb3NiO2,2.410606084933288,0.4013898094349842,"Tetrahedron, Linear",2,"4d, 2b",2,"[0.580579811981472, 9.313105169439866e-29]",0.0,0.290289905990736,AB2C3,2,2,1,"[2.0, 4.0]","[2.0, 4.0]",3.0,2.0,4.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Ni-O-Rb,0.026020371249999,-1.067843539583333,1.2717,3,Tetragonal,4/mmm,P4_2/mnm,oxide,Rb,,Ni,,,,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.9114077906298013
mp-1103452,RbV2Fe(AgO4)2,3.4749637051448383,-0.1228056579831759,Cuboctahedron,1,2a,1,[1.371037855770749],0.0,1.371037855770749,ABC2D2E8,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA_U,Ag-Fe-O-Rb-V,0.01022709577381,-1.83693589470238,2.029499999999999,5,Trigonal,-3,P-3,oxide,Rb,,"V, Fe, Ag",,,,O,F,,,,"B $\in$ [-1, -0.1]",Negative B,3.1521406851270357
mp-1103735,Rb3Lu(PO4)2,2.590556452289438,0.2096155277830276,"End-trigonal-face capped trigonal prism, Cuboctahedron",2,"2d, 1b",2,"[5.743055978528872, 18.796651378888864]",1.0,12.269853678708868,AB2C3D8,2,2,1,"[12.0, 7.0]","[12.0, 7.0]",9.5,7.0,12.0,9.5,7.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",r2SCAN,Lu-O-P-Rb,0.0,-2.9779045284608863,4.6991,4,Trigonal,-3m,P-3m1,phosphate,Rb,,,,,,"O, P",,,Lu,,"B $\in$ [0.1, 0.5]",Positive B,3.089966623936292
mp-1103762,Rb3Er(PO4)2,2.6616624773925333,0.2142866493587152,"End-trigonal-face capped trigonal prism, Cuboctahedron",2,"2d, 1b",2,"[6.072617481915453, 18.897253663940138]",1.0,12.484935572927796,AB2C3D8,2,2,1,"[12.0, 7.0]","[12.0, 7.0]",9.5,7.0,12.0,9.5,7.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,Er-O-P-Rb,0.0,-2.970602355841836,4.6168,4,Trigonal,-3m,P-3m1,phosphate,Rb,,,,,,"O, P",,,Er,,"B $\in$ [0.1, 0.5]",Positive B,3.1643143885209386
mp-1104817,Rb3Na(WO4)2,2.128108519093206,0.5041615706955689,"Icosahedron, Bicapped square prism (adjacent faces)",2,"2d, 1b",2,"[2.476182226105507, 7.846796778358726]",0.5,5.161489502232117,AB2C3D8,2,2,1,"[10.0, 6.0]","[10.0, 6.0]",8.0,6.0,10.0,8.0,6.0,10.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Na-O-Rb-W,0.00255435357145,-2.237725503848522,4.5825,4,Trigonal,-3m,P-3m1,oxide,"Na, Rb",,W,,,,"N, O",,,,,"B $\in$ [0.5, 1]",Positive B,3.1796648902308062
mp-1104938,Rb3Na(MoO4)2,2.198638465193154,0.4652177882670282,"Icosahedron, Bicapped square prism (adjacent faces)",2,"2d, 1a",2,"[7.8343474942935085, 2.580917462981227]",0.5,5.207632478637368,AB2C3D8,2,2,1,"[10.0, 6.0]","[10.0, 6.0]",8.0,6.0,10.0,8.0,6.0,10.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Mo-Na-O-Rb,0.0,-2.188677270991379,4.5827,4,Trigonal,-3m,P-3m1,oxide,"Na, Rb",,Mo,,,,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,3.1583110809497583
mp-1105157,RbNdMnWO6,3.255518128439601,-0.1206278880799266,Square-face capped trigonal prism,1,2a,1,[5.770577978611951],1.0,5.770577978611951,ABCDE6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Mn-Nd-O-Rb-W,0.026298901999998,-2.624257397293102,2.6501,5,Monoclinic,2,P2_1,oxide,Rb,,"Mn, W",,,,"N, O",,,Nd,,"B $\in$ [-1, -0.1]",Negative B,2.9482930986096285
mp-1105199,RbLaMnWO6,2.5238045251093384,0.2392292508305335,Bicapped square prism (adjacent faces),1,2a,1,[2.108653675487081],0.0,2.108653675487081,ABCDE6,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,La-Mn-O-Rb-W,0.023629530776307,-2.656909701543102,1.6904,5,Monoclinic,2,P2_1,oxide,Rb,,"Mn, W",,,,O,,,La,,"B $\in$ [0.1, 0.5]",Positive B,3.0520136957818864
mp-1105374,RbYMnWO6,3.278707241724797,-0.142809020955626,Square-face capped trigonal prism,1,2a,1,[5.280619600159387],1.0,5.280619600159387,ABCDE6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Mn-O-Rb-W-Y,0.030997922374998,-2.637586802043103,2.6968,5,Monoclinic,2,P2_1,oxide,Rb,,"Mn, Y, W",,,,O,,,,,"B $\in$ [-1, -0.1]",Negative B,2.9378100437953045
mp-1173584,RbMn6O12,2.900906895554884,-0.0071290609822476,Cube,1,2i,1,[1.1159878922968811],0.0,1.1159878922968811,AB6C12,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",r2SCAN,Mn-O-Rb,0.0,-1.915279723951906,0.0,3,Triclinic,-1,P-1,oxide,Rb,,Mn,,,,O,,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.9302868829383772
mp-1179721,RbP(HO2)2,2.7376664193194764,0.1269965907889022,"Dodecahedron with triangular faces - p2345 plane normalized, Pentagonal bipyramid",2,4e,1,"[4.186108049329431, 3.7477237282258633]",0.0,3.9669158887776472,ABC2D4,2,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",SCAN,H-O-P-Rb,0.002782184843738,-2.185384111361607,5.1227,4,Monoclinic,2/m,P2_1/c,oxide,Rb,,,,,,"H, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.982902481538816
mp-1179800,Rb(WO3)3,3.3509064683370786,0.0071267168056364,no_data,1,no_data,1,no_data,0.0,no_data,AB3C9,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,O-Rb-W,0.0,-2.241699584807691,0.647799999999999,3,Orthorhombic,mmm,Cccm,oxide,Rb,,W,,,,O,,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,3.3694368746335215
mp-1186921,Rb2Ga2Ge3O10,3.1773397070538048,0.0003094248346167,Tricapped triangular prism (three square-face caps),1,2c,1,"[7.3187270296277305, 5.558027911322608]",1.0,6.438377470475169,A2B2C3D10,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Ga-Ge-O-Rb,0.0,-2.23488885,3.2697,4,Monoclinic,2,C2,oxide,Rb,,,,Ga,Ge,O,,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,3.1656119696225775
