material_id,chem_formula,R$_0$,B,Er_chemenv,num_Er_chemenvs,Er_wyckoff,num_Er_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Er_sites,num_CN_env,num_charge_states,ErX_coordn,ErO_coordn,mean_coordn_Er-X,min_coordn_Er-X,max_coordn_Er-X,mean_coordn_Er-O,min_coordn_Er-O,max_coordn_Er-O,mean_Er_charge,min_Er_charge,max_Er_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_ErO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-1192111,LiEr(WO4)2,2.2729952802457367,-0.005201766146845631,Octahedron,1,2e,1,[1.181493010652481],0.0,1.181493010652481,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",2.268995472998121,GGA_U,Er-Li-O-W,0.0,-2.669882129861111,3.7954,4,Monoclinic,2/m,P2/c,oxide,Li,None,W,None,None,None,O,None,None,Er,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1192576,ErWBrO4,2.0626054540855767,0.21374104846830258,Square-face capped trigonal prism,1,2i,1,"[3.343730818570988, 2.897454337337661]",0.0,3.1205925779543247,ABCD4,1,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,3.0,3.0,3.0,2.0,2,2,O2-,"Halogens, Lanthanides, Metalloids, Nonmetals, Transition Metals",2.2626363447843802,r2SCAN,Br-Er-O-W,0.043667305595242005,-2.669785819285713,2.7085,4,Triclinic,-1,P-1,perbromate,None,None,W,None,None,B,O,Br,None,Er,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1192584,Na5Er4Si4O16F,3.9186937624655074,-1.5847915178826881,Square-face bicapped trigonal prism,1,4g,1,[1.6091929238253142],0.0,1.6091929238253142,AB4C4D5E16,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,2.0,2,2,O2-,"Alkali Metals, Halogens, Lanthanides, Metalloids, Nonmetals",2.361845548041264,GGA,Er-F-Na-O-Si,0.0,-3.326932682063217,4.7932999999999995,5,Tetragonal,-4,I-4,fluoride,Na,None,None,None,None,Si,"N, O, S",F,None,Er,None,B < -1,Negative B
mp-1194043,ErBO3,2.608009403853896,-0.24148059288085927,Cube,1,"4f, 2c",2,"[2.38061414439922, 2.553280136987289]",0.0,2.4669471406932546,ABC3,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",2.3428551518572776,r2SCAN,B-Er-O,0.0,-3.567248622833331,5.6533999999999995,3,Monoclinic,2/m,C2/c,orthoborate,None,None,None,None,None,B,O,None,None,Er,None,"B $\in$ [-1, -0.1]",Negative B
mp-1194158,ErMoBrO4,1.9231666297287,0.41542374674649807,"Square-face capped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized",2,2i,1,"[1.603581610387149, 2.792621708184302]",0.0,2.1981016592857254,ABCD4,2,2,1,"[5.0, 6.0]","[5.0, 6.0]",5.5,5.0,6.0,5.5,5.0,6.0,3.0,3.0,3.0,2.0,2,2,O2-,"Halogens, Lanthanides, Metalloids, Nonmetals, Transition Metals",2.3573227832911425,GGA_U,Br-Er-Mo-O,0.0,-2.593221584999999,1.9042,4,Triclinic,-1,P-1,perbromate,None,None,Mo,None,None,B,O,Br,None,Er,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1195142,Cs2ErSi6O14F,2.7141520829335586,-0.7637738375774055,no_data,1,no_data,1,no_data,0.0,no_data,ABC2D6E14,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2,2,O2-,"Alkali Metals, Halogens, Lanthanides, Metalloids, Nonmetals",2.232576984480761,GGA,Cs-Er-F-O-Si,0.004651581597222,-3.3018472113254322,4.7321,5,Orthorhombic,mmm,Cmce,fluoride,Cs,None,None,None,None,Si,"C, O, S",F,None,Er,None,"B $\in$ [-1, -0.1]",Negative B
mp-1195392,Na5ErH6WO10,1.8520697931675858,0.5735345524591654,Octahedron,1,2e,1,"[0.168907436767386, 0.106695355261675]",0.0,0.1378013960145305,ABC5D6E10,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",2.2498897357618066,GGA_U,Er-H-Na-O-W,0.011246599130434002,-1.9856686787781102,3.9271000000000003,5,Monoclinic,2/m,C2/c,oxide,Na,None,W,None,None,None,"H, N, O",None,None,Er,None,"B $\in$ [0.5, 1]",Positive B
mp-1195435,Na2Er2B2TeO10,1.477128523839863,1.0353147647029197,Square-face capped trigonal prism,1,4e,1,[2.548377761363578],0.0,2.548377761363578,AB2C2D2E10,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",2.316354778903858,GGA,B-Er-Na-O-Te,0.0,-2.860859714868154,2.9645,5,Monoclinic,2/m,P2_1/c,oxide,Na,None,None,None,None,"B, Te","N, O",None,None,Er,None,B > 1,Positive B
mp-1195598,BaEr4Si5O17,1.9930608508664824,0.4037395748482269,no_data,1,no_data,1,no_data,0.0,no_data,AB4C5D17,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",2.268836040137258,GGA,Ba-Er-O-Si,0.0,-3.651867641851852,4.782,4,Monoclinic,2/m,P2_1/m,oxide,None,Ba,None,None,None,"B, Si","O, S",None,None,Er,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1195744,BaEr2Si3O10,2.0038574629515904,0.33749227920853364,Octahedron,1,4f,1,[4.349363309065346],0.0,4.349363309065346,AB2C3D10,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",2.2439909742782356,r2SCAN,Ba-Er-O-Si,0.0,-3.6174564834375,4.8347999999999995,4,Monoclinic,2/m,P2_1/m,oxide,None,Ba,None,None,None,"B, Si","O, S",None,None,Er,None,"B $\in$ [0.1, 0.5]",Positive B
