material_id,chem_formula,R$_0$,B,Mn_chemenv,num_Mn_chemenvs,Mn_wyckoff,num_Mn_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Mn_sites,num_CN_env,num_charge_states,MnX_coordn,MnO_coordn,mean_coordn_Mn-X,min_coordn_Mn-X,max_coordn_Mn-X,mean_coordn_Mn-O,min_coordn_Mn-O,max_coordn_Mn-O,mean_Mn_charge,min_Mn_charge,max_Mn_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_MnO_BondL
mp-31953,Li2MnP2O7,1.8640978841722275,0.3187306540589823,Octahedron,1,1a,1,"[0.796227727579486, 3.060441221469445, 0.678744972397328, 3.512395890662159]",0.0,2.0119524530271047,AB2C2D7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Li-Mn-O-P,0.037520007916666,-2.633724484073617,0.669999999999999,4,Triclinic,1,P1,oxide,Li,,Mn,,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.21960100757325
mp-31954,Mn5(P3O11)2,1.9091032640533243,0.2438716259447084,Octahedron,1,"4e, 2a",2,"[1.367229753154323, 1.695994087053579, 0.40234650991662]",0.0,1.1551901167081742,A5B6C22,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,2.5,2.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Mn-O-P,0.028906708636363,-2.456161912348858,0.0,3,Monoclinic,2/m,P2_1/c,oxide,,,Mn,,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0818485207777835
mp-31960,LiMnP2O7,1.7325683724927363,0.5049732893184593,"Square pyramid, Octahedron",2,1a,1,"[0.553085401731054, 1.951181836052864]",0.0,1.2521336188919592,ABC2D7,2,2,1,"[5.0, 6.0]","[5.0, 6.0]",5.5,5.0,6.0,5.5,5.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Li-Mn-O-P,0.017101070681831,-2.548223799140917,1.144,4,Triclinic,1,P1,oxide,Li,,Mn,,,,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.0426644239110434
mp-31961,LiMn2(PO3)5,1.7138046354454382,0.519761660249508,Octahedron,1,2a,1,"[5.522971876190065, 5.396519534671217]",1.0,5.459745705430641,AB2C5D15,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Li-Mn-O-P,0.037849278152116,-2.5808895511917243,4.428199999999999,4,Monoclinic,m,Pc,phosphite,Li,,Mn,,,,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.2919082935590502
mp-31969,Li3Mn2(PO4)3,1.8209985421413333,0.3453309242367924,Octahedron,1,4e,1,"[0.786044041416142, 1.24785730270037]",0.0,1.0169506720582562,A2B3C3D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Li-Mn-O-P,0.011066997875025,-2.556454397364533,1.084699999999999,4,Monoclinic,2/m,P2_1/c,phosphate,Li,,Mn,,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0628661130180768
mp-31972,Li3Mn(PO4)2,1.3800120111417702,1.0019425158868436,Octahedron,1,4e,1,[0.848385733119262],0.0,0.848385733119262,AB2C3D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Li-Mn-O-P,0.028939885000051,-2.591640020872624,1.1368,4,Monoclinic,2/m,P2_1/c,phosphate,Li,,Mn,,,,"O, P",,,,,B > 1,Positive B,2.076882228070453
mp-31979,Li2Mn(PO3)4,1.933414220315401,0.2445743840870028,Octahedron,1,2a,1,[0.8422984110032951],0.0,0.8422984110032951,AB2C4D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Li-Mn-O-P,0.042273667456167,-2.6096527504299543,3.9429,4,Monoclinic,2/m,P2_1/c,phosphite,Li,,Mn,,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.206753767181321
mp-32017,Li3Mn3(PO4)4,1.8770294776787853,0.2444917424826293,"Square pyramid, Trigonal bipyramid",2,2a,1,"[0.9818715753601931, 1.425476055717176, 2.087512891007868]",0.0,1.4982868406950791,A3B3C4D16,2,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Li-Mn-O-P,0.039420785961549,-2.499530642014019,0.617899999999999,4,Monoclinic,2,P2_1,phosphate,Li,,Mn,,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.004610173258768
mp-32022,LiMnP2O7,1.6879694513206402,0.5800021670050354,Square pyramid,1,4e,1,[1.25669507377978],0.0,1.25669507377978,ABC2D7,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Li-Mn-O-P,0.019592322727286,-2.545732547095462,1.7197,4,Monoclinic,2/m,P2_1/c,oxide,Li,,Mn,,,,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,1.9852189577536108
mp-32024,Li3Mn2(PO4)3,1.6705235851970244,0.5436222389009279,Octahedron,1,2a,1,"[1.2811385458082811, 1.046671643270275]",0.0,1.163905094539278,A2B3C3D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Li-Mn-O-P,0.033921822750025,-2.533599572489533,0.9571,4,Monoclinic,m,Cc,phosphate,Li,,Mn,,,,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.048909808790775
