material_id,chem_formula,R$_0$,B,Te_chemenv,num_Te_chemenvs,Te_wyckoff,num_Te_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Te_sites,num_CN_env,num_charge_states,TeX_coordn,TeO_coordn,mean_coordn_Te-X,min_coordn_Te-X,max_coordn_Te-X,mean_coordn_Te-O,min_coordn_Te-O,max_coordn_Te-O,mean_Te_charge,min_Te_charge,max_Te_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_TeO_BondL
mp-10349,Na2SnTeO6,1.955879087327788,-0.0496629690546183,Octahedron,1,2c,1,[0.011106799405591],0.0,0.011106799405591,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Na-O-Sn-Te,0.038612535874999,-1.860587601942529,1.243299999999999,4,Monoclinic,2/m,P2_1/c,oxide,Na,,,,Sn,Te,"N, O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9558752507308832
mp-1040443,KBaBiTeO6,1.972140046166404,0.7146922413935453,Octahedron,1,2e,1,[0.030815548467242004],0.0,0.030815548467242004,ABCDE6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Ba-Bi-K-O-Te,0.0,-2.074538539391667,1.561499999999999,5,Monoclinic,2/m,P2_1/m,oxide,K,Ba,,,Bi,"B, Te",O,,,,,"B $\in$ [0.5, 1]",Positive B,1.9725381408051554
mp-10447,Rb2TeMo2(PO7)2,2.018157797031734,1.8786275852660763,See-saw,1,4c,1,[1.9692921580992762],0.0,1.9692921580992762,AB2C2D2E14,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Mo-O-P-Rb-Te,0.0,-2.263805293378684,3.0151,5,Orthorhombic,mmm,Pbcn,oxide,Rb,,Mo,,,Te,"O, P",,,,,B > 1,Positive B,2.0228897053759924
mp-10448,Tl2TeMo2(PO7)2,1.987646267206348,1.7587373924992185,See-saw,1,4c,1,[1.902552133264127],0.0,1.902552133264127,AB2C2D2E14,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",r2SCAN,Mo-O-P-Te-Tl,0.0,-2.064608524886646,2.8927,5,Orthorhombic,mmm,Pbcn,oxide,,,Mo,,Tl,Te,"O, P",,,,,B > 1,Positive B,1.9920764478453248
mp-1046497,Mg4Co5(TeO6)3,1.960641816793375,0.0937238611306418,Octahedron,1,"4f, 2a",2,"[0.332371737136792, 0.207316452960275]",0.0,0.2698440950485335,A3B4C5D18,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Co-Mg-O-Te,0.014215792722217,-1.9021889325,1.4502000000000002,4,Monoclinic,2/m,C2/c,oxide,,Mg,Co,,,Te,"C, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9610127579034864
mp-1046508,Mg4Ni5(TeO6)3,1.9575076724441096,0.1670150933575038,Octahedron,1,"4f, 2a",2,"[0.355064095354062, 0.220912234724735]",0.0,0.2879881650393985,A3B4C5D18,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Mg-Ni-O-Te,0.0237543165,-1.873198462333333,1.8977,4,Monoclinic,2/m,C2/c,oxide,,Mg,Ni,,,Te,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9581669274886535
mp-1046528,Zn4Co5(TeO6)3,1.9663098415055944,0.1644952737598623,Octahedron,1,"4f, 2a",2,"[0.41227045579674604, 0.21465072763596002]",0.0,0.31346059171635304,A3B4C5D18,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA_U,Co-O-Te-Zn,0.0,-1.5492037505,0.9073,4,Monoclinic,2/m,C2/c,oxide,,,"Co, Zn",,,Te,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9669588955929527
mp-1046551,Zn4Ni5(TeO6)3,1.9652978314247656,0.2825696809355356,Octahedron,1,"4f, 2a",2,"[0.42157165142340103, 0.23795138660942802]",0.0,0.32976151901641454,A3B4C5D18,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA_U,Ni-O-Te-Zn,0.002668768092592,-1.5208404539999991,1.2647,4,Monoclinic,2/m,C2/c,oxide,,,"Ni, Zn",,,Te,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.966414891007202
mp-1046588,Mg4Mn5(TeO6)3,1.9602752497174247,0.2087982904556423,Octahedron,1,"4f, 2a",2,"[0.180221727836109, 0.22243366265204803]",0.0,0.2013276952440785,A3B4C5D18,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Mg-Mn-O-Te,0.038078246388886,-2.157546315155173,0.7073,4,Monoclinic,2/m,C2/c,oxide,,Mg,Mn,,,Te,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9610999579340331
mp-1046628,Mn5Zn4(TeO6)3,1.965916108129348,0.3254376348641593,Octahedron,1,"4f, 2a",2,"[0.211043752004017, 0.18472459711298603]",0.0,0.19788417455850152,A3B4C5D18,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA_U,Mn-O-Te-Zn,0.011992117814837,-1.810188886988506,0.2265,4,Monoclinic,2/m,C2/c,oxide,,,"Mn, Zn",,,Te,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9672010499156352
