material_id,chem_formula,R$_0$,B,Ge_chemenv,num_Ge_chemenvs,Ge_wyckoff,num_Ge_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Ge_sites,num_CN_env,num_charge_states,mean_coordn_Ge-X,min_coordn_Ge-X,max_coordn_Ge-X,mean_coordn_Ge-O,min_coordn_Ge-O,max_coordn_Ge-O,mean_Ge_charge,min_Ge_charge,max_Ge_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_GeO_BondL,GeX_coordn,GeO_coordn
mp-10080,PrGeBO5,1.7479217273897507,0.2526667300297363,Tetrahedron,1,3a,1,[1.3283536773630777],0.0,1.3283536773630775,ABCD5,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",SCAN,B-Ge-O-Pr,0.0056120415625002,-2.954505501666667,4.0149,4,Trigonal,3,P3_1,oxide,,,,,,"B, Ge","O, P",,,Pr,,"B $\in$ [0.1, 0.5]",Positive B,1.7495512892827387,[4.0],[4.0]
mp-1019548,BaGe(S2O7)3,1.87842776366918,0.005414111513511,Octahedron,1,4a,1,[0.06897341505550143],0.0,0.0689734150555014,ABC6D21,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",R2SCAN,Ba-Ge-O-S,0.0,-1.9198890295689648,3.945,4,Orthorhombic,222,P2_12_12_1,oxide,,Ba,,,,"B, Ge","O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.8806341345400888,[6.0],[6.0]
mp-1019566,Ca3ZnGe5O14,1.7914430770140384,0.3133640009791813,Tetrahedron,1,"2c, 1b",2,"[1.1280654274680497, 0.6304105311896492, 1.6339121903516367]",0.0,1.1307960496697784,AB3C5D14,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ca-Ge-O-Zn,0.0304601432608659,-2.482016514782608,2.1462,4,Monoclinic,2,C2,oxide,,Ca,Zn,,,Ge,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.7950297168168834,[4.0],[4.0]
mp-1019739,Eu2Ge(BO4)2,1.7736447904048669,0.5209854615736875,Tetrahedron,1,4c,1,[0.08519245258782229],0.0,0.0851924525878222,AB2C2D8,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",GGA,B-Eu-Ge-O,0.0225644287820525,-2.8737193854487177,0.0,4,Orthorhombic,mmm,Pbcn,oxide,,,,,,"B, Ge",O,,,Eu,,"B $\in$ [0.5, 1]",Positive B,1.7744494865089755,[4.0],[4.0]
mp-1020012,Li2Ge4O9,1.7848878805817818,0.3001800861784729,"Octahedron, Tetrahedron",2,4a,1,"[0.16230270729758287, 0.13555458205015028, 0.32897295506793683, 0.4356294773392712]",0.0,0.2656149304387353,A2B4C9,2,2,1,5.0,4.0,6.0,5.0,4.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",GGA,Ge-Li-O,0.0456155703333331,-2.1746445836111112,2.7381,3,Orthorhombic,mm2,Pca2_1,oxide,Li,,,,,Ge,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.8261643199338533,"[4.0, 6.0]","[4.0, 6.0]"
mp-1020030,LiAl(GeO3)2,1.7286150118722894,0.932175162778968,"Tetrahedron, Trigonal bipyramid",2,4e,1,"[1.715688497580576, 0.15498819642162046]",0.0,0.9353383470010982,ABC2D6,2,2,1,4.5,4.0,5.0,4.5,4.0,5.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Ge-Li-O,0.0424963765000008,-2.5016620248333323,3.383,4,Monoclinic,2/m,P2_1/c,oxide,Li,,,,Al,Ge,O,,,,,"B $\in$ [0.5, 1]",Positive B,1.848016920305869,"[4.0, 5.0]","[4.0, 5.0]"
mp-1020596,NaGa(GeO3)2,1.7762689215003842,0.2643388433766034,Tetrahedron,1,4f,1,[0.2529755142285667],0.0,0.2529755142285667,ABC2D6,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Ga-Ge-Na-O,0.0299150794166633,-2.17082517788793,2.6524,4,Monoclinic,2/m,C2/c,oxide,Na,,,,Ga,Ge,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.7722939422183743,[4.0],[4.0]
mp-1020628,SrGe(PO4)2,1.6475730960168171,0.5462654613212766,Octahedron,1,2c,1,[0.12205732597841254],0.0,0.1220573259784125,ABC2D8,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",SCAN,Ge-O-P-Sr,0.0,-2.7909944928571413,4.0991,4,Monoclinic,2/m,C2/c,phosphate,,Sr,,,,Ge,"O, P, S",,,,,"B $\in$ [0.5, 1]",Positive B,1.870052385228255,[6.0],[6.0]
mp-1020650,Sr3Ge2(B3O8)2,1.7681398796209322,0.1614143972943415,Tetrahedron,1,2i,1,[0.1476498610681801],0.0,0.1476498610681801,A2B3C6D16,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Ge-O-Sr,0.0023315776851893,-2.9034679435185176,4.4324,4,Triclinic,-1,P-1,oxide,,Sr,,,,"B, Ge","O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.7682050224500871,[4.0],[4.0]
mp-1020704,Sr2Ge(S2O7)4,1.6752038227844674,0.5027173973109105,Octahedron,1,2d,1,[0.06985279343802786],0.0,0.0698527934380278,AB2C8D28,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",R2SCAN,Ge-O-S-Sr,0.0,-2.0238386869230887,3.9265,4,Monoclinic,2/m,P2_1/c,oxide,,Sr,,,,Ge,"O, S",,,,,"B $\in$ [0.5, 1]",Positive B,1.8791673684590269,[6.0],[6.0]
mp-1020707,Rb2GeB4O9,1.7722529012983417,0.3223029599226182,Tetrahedron,1,2a,1,"[0.3962923969281056, 0.40787130955913886]",0.0,0.4020818532436222,AB2C4D9,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",GGA,B-Ge-O-Rb,0.0,-2.6529681113541663,3.8449,4,Monoclinic,2,P2_1,oxide,Rb,,,,,"B, Ge",O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.7724969088573863,[4.0],[4.0]
mp-1020896,Rb4Ge3B6O17,1.7733070755119826,0.4173931748783094,Tetrahedron,1,2a,1,"[0.21139974424148203, 0.6921085168918907, 0.04461016633509386]",0.0,0.3160394758228221,A3B4C6D17,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",GGA,B-Ge-O-Rb,0.0,-2.5583358565833323,4.401199999999999,4,Monoclinic,m,Cc,oxide,Rb,,,,,"B, Ge",O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.773557179824391,[4.0],[4.0]
mp-1021510,LiGe2(PO4)3,1.752060513844858,0.3288057044234502,Octahedron,1,2c,1,"[0.2788712205480623, 0.20835932106188726]",0.0,0.2436152708049747,AB2C3D12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",GGA,Ge-Li-O-P,0.0101750766203663,-2.4750252881812145,3.6307,4,Trigonal,-3,R-3,phosphate,Li,,,,,Ge,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.8860234341947373,[6.0],[6.0]
mp-1021514,NaGe2(PO4)3,1.774803615141045,0.2745410680573466,Octahedron,1,4c,1,[0.16459034399384967],0.0,0.1645903439938496,AB2C3D12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",GGA,Ge-Na-O-P,0.0038168605555419,-2.4707746247393256,3.1872,4,Trigonal,-3m,R-3c,phosphate,Na,,,,,Ge,"N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.886656910089986,[6.0],[6.0]
mp-1042864,Ti(GeO3)2,1.7689498168875233,0.0608514367117558,Tetrahedron,1,4f,1,[0.25116479761968574],0.0,0.2511647976196857,AB2C6,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA,Ge-O-Ti,0.0278612514814824,-2.3130377214814817,3.0372000000000003,3,Monoclinic,2/m,C2/c,oxide,,,Ti,,,Ge,O,,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.7639042094907438,[4.0],[4.0]
mp-1042873,Sn(GeO3)2,1.7720342421005413,0.2786038830887209,Tetrahedron,1,4f,1,[0.0659127587520175],0.0,0.0659127587520175,AB2C6,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals",GGA,Ge-O-Sn,0.0422015620370377,-1.8206192107407384,2.0843,3,Monoclinic,2/m,C2/c,oxide,,,,,Sn,Ge,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.76908736314814,[4.0],[4.0]
mp-1042982,CaTi(GeO3)2,1.9708567099548189,-0.0208328683930851,"Trigonal bipyramid, Triangular non-coplanar",2,4e,1,"[2.902275216230994, 1.5056418274398]",0.0,2.203958521835397,ABC2D6,2,2,1,4.0,3.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ca-Ge-O-Ti,0.0440159855000024,-2.7162548658333323,2.1745000000000005,4,Monoclinic,2/m,P2_1/c,oxide,,Ca,Ti,,,Ge,"C, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.918789972159624,"[3.0, 5.0]","[3.0, 5.0]"
mp-1043032,Ti(GeO3)2,1.7692953343731346,0.0479639862181809,Tetrahedron,1,4e,1,"[0.29498375171928837, 0.22932671000876256]",0.0,0.2621552308640255,AB2C6,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA,Ge-O-Ti,0.0281855289814814,-2.3127134439814814,3.2157,3,Monoclinic,2/m,P2_1/c,oxide,,,Ti,,,Ge,O,,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.7644437612651496,[4.0],[4.0]
mp-1043139,CaNi(GeO3)2,1.7828450358548724,0.7734394105579371,"Trigonal bipyramid, Tetrahedron",2,4e,1,"[0.3961722955627472, 0.709215786259648]",0.0,0.5526940409111976,ABC2D6,2,2,1,4.5,4.0,5.0,4.5,4.0,5.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Ca-Ge-Ni-O,0.0227523944166652,-2.254945481749999,2.6157,4,Monoclinic,2/m,P2_1/c,oxide,,Ca,Ni,,,Ge,"C, N, O",,,,,"B $\in$ [0.5, 1]",Positive B,1.8360563129443843,"[4.0, 5.0]","[4.0, 5.0]"
mp-1043149,MgCo(GeO3)2,1.7860131552669531,0.3630826381536762,Tetrahedron,1,4e,1,"[0.3175681121106386, 0.6823042179600869]",0.0,0.4999361650353627,ABC2D6,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Co-Ge-Mg-O,0.01961312225,-2.16368851875,1.7168,4,Monoclinic,2/m,P2_1/c,oxide,,Mg,Co,,,Ge,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.7838834191293418,[4.0],[4.0]
mp-1043162,MgNi(GeO3)2,1.7863787482598816,0.4108287299635549,Tetrahedron,1,8f,1,[0.19360432917357595],0.0,0.1936043291735759,ABC2D6,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Ge-Mg-Ni-O,0.0181487557500021,-2.16742712425,2.0863,4,Monoclinic,2/m,C2/c,oxide,,Mg,Ni,,,Ge,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.7878791040836934,[4.0],[4.0]
mp-1043165,CaNi(GeO3)2,1.7855377037978597,0.360947142512087,Tetrahedron,1,8f,1,[0.3751303552823018],0.0,0.3751303552823018,ABC2D6,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Ca-Ge-Ni-O,0.0042268291666642,-2.273471047,2.8164,4,Monoclinic,2/m,C2/c,oxide,,Ca,Ni,,,Ge,"C, N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.782764233068141,[4.0],[4.0]
