material_id,chem_formula,R$_0$,B,Cu_chemenv,num_Cu_chemenvs,Cu_wyckoff,num_Cu_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Cu_sites,num_CN_env,num_charge_states,CuX_coordn,CuO_coordn,mean_coordn_Cu-X,min_coordn_Cu-X,max_coordn_Cu-X,mean_coordn_Cu-O,min_coordn_Cu-O,max_coordn_Cu-O,mean_Cu_charge,min_Cu_charge,max_Cu_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_CuO_BondL
mp-1038310,Mg30AlCuO32,1.172753704987747,0.6020270787550177,Octahedron,1,1c,1,[0.004943999312449],0.0,0.004943999312449,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Al-Cu-Mg-O,0.029989304648437,-2.970354507968749,1.1042,4,Tetragonal,4/mmm,P4/mmm,oxide,,Mg,Cu,,Al,,"C, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.251655055281005
mp-1041019,CuReO4,1.0857394237802636,1.3107652515308883,See-saw,1,4e,1,"[1.484758506737725, 0.9968124800988941]",0.0,1.2407854934183096,ABC4,1,2,1,"[4.0, 5.0]","[4.0, 5.0]",4.5,4.0,5.0,4.5,4.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,Cu-O-Re,0.007758370833333,-1.761377552291666,1.160999999999999,3,Monoclinic,2/m,P2_1/c,oxide,,,"Cu, Re",,,,"C, O",,,,,B > 1,Positive B,2.093477654924002
mp-1041392,V2Zn(CuO4)2,1.805935274933418,0.2205605378081475,"Square pyramid, Square plane",2,4e,1,"[3.108367007089595, 2.273259560052942]",0.0,2.6908132835712686,AB2C2D8,2,2,1,"[4.0, 5.0]","[4.0, 5.0]",4.5,4.0,5.0,4.5,4.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Cu-O-V-Zn,0.028848053461525,-1.800356723653846,0.176399999999999,4,Monoclinic,2/m,P2_1/c,oxide,,,"V, Cu, Zn",,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9903347523881958
mp-1041444,CaV2(CuO4)2,1.5352593167820037,0.5842484492229514,"Trigonal bipyramid, See-saw",2,4e,1,"[3.447502388259651, 2.189593271612224]",0.0,2.8185478299359374,AB2C2D8,2,2,1,"[4.0, 5.0]","[4.0, 5.0]",4.5,4.0,5.0,4.5,4.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Cu-O-V,0.044649555961533,-2.114510688653846,0.2166,4,Monoclinic,2/m,P2_1/c,oxide,,Ca,"V, Cu",,,,"C, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.0237412154837053
mp-1041631,Mg(CuO2)2,1.288977896626001,1.5069277679557307,Square pyramid,1,8e,1,[2.059452295365077],0.0,2.059452295365077,AB2C4,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",r2SCAN,Cu-Mg-O,0.0,-1.309097384642857,0.3094,3,Orthorhombic,mmm,Pbcm,oxide,,Mg,Cu,,,,"C, O",,,,,B > 1,Positive B,1.9591688027798135
mp-1041636,CaCuP2O7,1.3970953680152554,0.7566502621325543,Square pyramid,1,2i,1,[1.5488354048583162],0.0,1.5488354048583162,ABC2D7,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Ca-Cu-O-P,0.011852159318181,-2.620108078571427,0.267799999999999,4,Triclinic,-1,P-1,oxide,,Ca,Cu,,,,"C, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.105687695979801
mp-1041698,ZnCuP2O7,1.5269656959860207,0.5921162809163635,Square pyramid,1,2i,1,[2.380419243949196],0.0,2.380419243949196,ABC2D7,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,Cu-O-P-Zn,0.024548005511362,-2.2061608012987,0.3405,4,Triclinic,-1,P-1,oxide,,,"Cu, Zn",,,,"C, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.0778994401020867
mp-1041735,V2ZnCuO7,1.8435532597188584,0.121797050155105,no_data,1,no_data,1,no_data,0.0,no_data,ABC2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Cu-O-V-Zn,0.019857152348484,-1.9705130492424248,0.0896,4,Monoclinic,2/m,P2/c,oxide,,,"V, Cu, Zn",,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9294067163111357
mp-1041741,MgCuP2O7,1.5769700687108283,0.5586912692838026,Trigonal bipyramid,1,2i,1,[2.8841395192228942],0.0,2.8841395192228942,ABC2D7,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Cu-Mg-O-P,0.0,-2.510072194935064,0.3723,4,Triclinic,-1,P-1,oxide,,Mg,Cu,,,,"C, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.09680150346568
mp-1041772,MgV2CuO7,1.891952431884991,0.0700116018765701,See-saw,1,"4g, 2f",2,"[2.2111723838421398, 2.231786493051276]",0.0,2.221479438446708,ABC2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Cu-Mg-O-V,0.016057684696967,-2.226870957878787,0.317499999999999,4,Monoclinic,2/m,P2/c,oxide,,Mg,"V, Cu",,,,"C, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9413047716121348
mp-1042399,MgCuAs2O7,1.6980894739941377,0.3944537529358147,Trigonal bipyramid,1,4e,1,[2.91846261157991],0.0,2.91846261157991,ABC2D7,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,As-Cu-Mg-O,0.014152689393934,-1.806012882727272,0.043899999999999,4,Monoclinic,2/m,P2_1/c,oxide,,Mg,Cu,,,As,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.065406173571435
mp-1042425,ZnCuAs2O7,1.7036898119986543,0.3756833948336983,Trigonal bipyramid,1,4e,1,[3.075863674402419],0.0,3.075863674402419,ABC2D7,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA,As-Cu-O-Zn,0.030126943314395,-1.524946605681818,0.0292,4,Monoclinic,2/m,P2_1/c,oxide,,,"Cu, Zn",,,As,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0535221129682104
mp-1043118,Cu3(MoO3)4,1.9553389004899189,0.0708379832162109,Square plane,1,"1e, 1g, 1f",3,"[0.041705433132018, 0.037927216009771, 0.043304456565896]",0.0,0.040979035235895,A3B4C12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Cu-Mo-O,0.012061786240605,-1.648708938947369,0.542399999999999,3,Trigonal,-3,R-3,oxide,,,"Cu, Mo",,,,"C, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9757966030283851
mp-1043730,CaTiCu(PO4)3,1.7698641754811324,0.3372467202294726,Octahedron,1,2a,1,[0.385216541610835],0.0,0.385216541610835,ABCD3E12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Ca-Cu-O-P-Ti,0.037462074756942,-2.708056747625661,0.0,5,Trigonal,3m,R3c,phosphate,,Ca,"Ti, Cu",,,,"C, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.009854921761418
mp-1043903,CaLaFeCuO6,1.486266557446415,0.7166460571488464,Octahedron,1,2a,1,[0.11855540061875601],0.0,0.11855540061875601,ABCDE6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Lanthanides, Nonmetals, Transition Metals",GGA_U,Ca-Cu-Fe-La-O,0.045681949374994,-2.3123060945,0.0,5,Monoclinic,m,Pc,oxide,,Ca,"Fe, Cu",,,,"C, O",F,,La,,"B $\in$ [0.5, 1]",Positive B,1.9848647749099007
mp-1044124,MgCuP2O7,3.702311487391884,-1.3516600566492791,Octahedron,1,4e,1,[3.047688149287022],0.0,3.047688149287022,ABC2D7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Cu-Mg-O-P,0.027199998863636,-2.482872196071427,0.249199999999999,4,Monoclinic,2/m,P2_1/c,oxide,,Mg,Cu,,,,"C, O, P",,,,,B < -1,Negative B,2.157837723784965
mp-1044464,CaPr(CuO3)2,1.9597793157416763,0.0009107566215697,Octahedron,1,4b,1,[0.023451432496457],0.0,0.023451432496457,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,2.0,2,2,"O2-, O-","Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Ca-Cu-O-Pr,0.049100569687501,-1.916110749041665,0.0,4,Orthorhombic,mm2,Pmn2_1,oxide,,Ca,Cu,,,,"C, O, P",,,Pr,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.959853424502523
mp-1044602,ZnCuP2O7,4.455052759258921,-2.008339047186532,Octahedron,1,4e,1,[3.173606792972493],0.0,3.173606792972493,ABC2D7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,Cu-O-P-Zn,0.025359082102271,-2.205349724707791,0.382699999999999,4,Monoclinic,2/m,P2_1/c,oxide,,,"Cu, Zn",,,,"C, O, P",,,,,B < -1,Negative B,2.1753325891830326
mp-1045605,YCu7O12,1.8045919192789763,0.1941110793144051,"Octahedron, Square plane",2,"4c, 3b",2,"[0.012202158526295002, 0.38588461916620903]",0.0,0.19904338884625203,AB7C12,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Cu-O-Y,0.023343029250005,-1.045030126999999,0.0,3,Cubic,m-3,Im-3,oxide,,,"Cu, Y",,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.912907843975815
mp-1045680,CaCu(PO3)4,2.578859809788574,-0.4063821465191085,Octahedron,1,2c,1,[0.169929751069568],0.0,0.169929751069568,ABC4D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Ca-Cu-O-P,0.004442694861105,-2.598692519365078,0.173899999999999,4,Monoclinic,2/m,C2/c,phosphite,,Ca,Cu,,,,"C, O, P",,,,,"B $\in$ [-1, -0.1]",Negative B,2.124681871874838
